areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02002985,88.2,0.4,11,0.4
E02002986,88.9,0.4,10.2,0.5
E02002987,89.6,0.4,9.6,0.4
E02002988,88.6,1,9.7,0.7
E02002989,90.1,0.7,8.1,1.1
E02002990,80.7,2.2,15.3,1.8
E02002991,72.1,4,20.4,3.5
E02002992,84,2.9,11.3,1.8
E02002993,64.4,6.6,25.3,3.8
E02002994,89,0.6,9.3,1
E02002995,85.5,3,10.6,0.9
E02002996,53,7,33.1,6.9
E02002997,54.7,12.7,30.3,2.3
E02002998,67.1,10.7,20.2,2
E02002999,86.9,2.4,10,0.8
E02003000,91.4,0.7,7.5,0.5
E02003001,85.7,1.4,11.4,1.6
E02003002,82.7,2.4,13.9,1
E02003003,82.7,3.5,12.5,1.3
E02003004,91.8,0.3,7.5,0.4
E02003005,90.8,0.5,8.4,0.3
E02003006,81.1,0.8,17.3,0.8
E02003007,92.4,0.3,7.1,0.2
E02003008,91.5,0.4,7.9,0.2
E02003009,92.7,0.3,6.7,0.2
E02003010,92.8,0.3,6.6,0.3
E02003011,92.3,0.5,7,0.2
E02003012,91.6,0.2,7.4,0.9
E02003013,90.2,0.8,7.8,1.2
E02003014,92.4,0.3,6.9,0.4
E02003015,85.1,1.8,12,1.1
E02003016,79.9,3.6,14.9,1.6
E02003017,89.9,0.6,8.3,1.1
E02003018,92.6,0.3,6.6,0.5
E02003019,90.7,0.2,8.5,0.6
E02003020,90.1,0.5,8.2,1.2
E02003021,76,5.1,18,0.8
E02003022,91.6,0.6,7.1,0.7
E02003023,81.9,2.1,14.4,1.6
E02003024,84.5,2.1,12.6,0.8
E02003025,88.5,1.1,9.7,0.7
E02003026,68.3,2.1,27.4,2.2
E02003027,77.8,4.3,16.8,1.1
E02003028,82.5,2.7,13.5,1.2
E02003029,90.9,0.5,7.6,1
E02003030,85.8,1.3,11.7,1.1
E02003031,74.5,5.5,18.8,1.2
E02003032,86.4,0.6,11.9,1
E02003033,56.6,16.7,25,1.7
E02003036,60.9,8.7,26.1,4.3
E02003037,59.3,11.2,26.6,2.9
E02003038,90.2,0.2,9,0.6
E02003039,89.3,0.4,9.5,0.8
E02003040,84.3,0.5,14.1,1.1
E02003041,67.3,5.8,24,2.9
E02003044,91.3,0.3,8.1,0.3
E02003045,61.3,6.8,28.5,3.3
E02003046,89,0.5,9.7,0.8
E02003047,81.7,1.3,16.1,1
E02003048,83.1,0.8,15,1.2
E02003049,91.1,0.4,8,0.6
E02003050,78.4,1,19.2,1.4
E02003051,87.2,0.6,11.3,0.8
E02003052,85,0.6,13.8,0.6
E02003053,90.2,0.4,8.4,1
E02003054,90.6,0.3,8.4,0.7
E02003055,92.8,0.3,6.5,0.5
E02003056,93.7,0.2,5.6,0.5
E02003057,91.5,0.1,8.2,0.3
E02003058,91,0.2,8.4,0.3
E02003059,90.2,0.4,9.1,0.3
E02003060,92.2,0.2,7.3,0.3
E02003061,93.2,0.1,6.3,0.4
E02003062,92.7,0.3,6.8,0.2
E02003063,94.3,0.2,5.1,0.3
E02003064,90.4,0.1,9,0.4
E02003065,88.4,0.3,10.6,0.7
E02003066,91.1,0.3,8.1,0.5
E02003067,91.2,0.2,8.3,0.3
E02003068,90.8,0.3,8.4,0.6
E02003070,91.2,0.2,8.1,0.4
E02003072,91.8,0.2,7.6,0.4
E02003073,92.6,0.2,6.8,0.4
E02003075,91.5,0.2,7.9,0.4
E02003077,92,0.4,7.1,0.4
E02003088,88,0.4,11.1,0.5
E02003090,86.5,0.2,12.7,0.6
E02003091,91.8,0.3,7.7,0.2
E02003092,90.4,0.3,8.9,0.4
E02003093,91.6,0.3,7.6,0.4
E02003094,90.1,0.3,9.2,0.5
E02003095,87,0.3,12.3,0.4
E02003096,92.3,0.2,7.2,0.3
E02003097,91.7,0.4,7.5,0.4
E02003098,88,0.4,10.2,1.4
E02003099,93.5,0.2,6,0.3
E02003101,88.8,0.3,9.6,1.3
E02003102,93.1,0.2,6.5,0.2
E02003103,92.7,0.2,6.7,0.4
E02003104,92.6,0.2,6.5,0.7
E02003105,92.8,0.2,6.6,0.3
E02003107,80.5,3.5,14.1,1.8
E02003108,87.2,0.2,12.1,0.5
E02003109,93.5,0.3,5.9,0.3
E02003110,90,0.3,8.9,0.8
E02003111,91.7,0.4,7.4,0.5
E02003112,93.2,0.2,6.3,0.3
E02003113,92,0.3,7.3,0.4
E02003114,91,0.4,8.3,0.3
E02003115,89.4,0.3,9.5,0.7
E02003116,92.4,0.2,7.1,0.4
E02003117,91.3,0.3,8,0.5
E02003118,92.2,0.3,7.1,0.4
E02003119,92.8,0.2,6.8,0.2
E02003120,92.5,0.2,7.2,0.2
E02003121,93.4,0.2,6.2,0.2
E02003172,91.7,0.2,7.6,0.5
