areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02002985,46.7,53.3
E02002986,41.9,58.1
E02002987,56.6,43.4
E02002988,47.5,52.5
E02002989,48.9,51.1
E02002990,36.8,63.2
E02002991,33.4,66.6
E02002992,46.9,53.1
E02002993,26,74
E02002994,54.7,45.3
E02002995,28.5,71.5
E02002996,29.3,70.7
E02002997,22.6,77.4
E02002998,28.6,71.4
E02002999,41.3,58.7
E02003000,56.9,43.1
E02003001,53.7,46.3
E02003002,43.9,56.1
E02003003,41.7,58.3
E02003004,52.8,47.2
E02003005,59.9,40.1
E02003006,44.3,55.7
E02003007,51,49
E02003008,44.5,55.5
E02003009,49.9,50.1
E02003010,47.3,52.7
E02003011,51.4,48.6
E02003012,38.8,61.2
E02003013,37,63
E02003014,34.5,65.5
E02003015,39.3,60.7
E02003016,28.7,71.3
E02003017,50.1,49.9
E02003018,46.8,53.2
E02003019,39.7,60.3
E02003020,58.9,41.1
E02003021,31.1,68.9
E02003022,63,37
E02003023,37.2,62.8
E02003024,33.4,66.6
E02003025,34.1,65.9
E02003026,41.6,58.4
E02003027,35.1,64.9
E02003028,45.6,54.4
E02003029,37.4,62.6
E02003030,34.3,65.7
E02003031,33,67
E02003032,37.7,62.3
E02003033,20.6,79.4
E02003036,18.8,81.2
E02003037,21.1,78.9
E02003038,39.4,60.6
E02003039,35.3,64.7
E02003040,24.5,75.5
E02003041,28.5,71.5
E02003044,42,58
E02003045,20.8,79.2
E02003046,35.5,64.5
E02003047,31.2,68.8
E02003048,29.9,70.1
E02003049,43.2,56.8
E02003050,24.9,75.1
E02003051,33,67
E02003052,39,61
E02003053,44.3,55.7
E02003054,43.8,56.2
E02003055,36.3,63.7
E02003056,34.1,65.9
E02003057,43.7,56.3
E02003058,40.3,59.7
E02003059,38.8,61.2
E02003060,45.3,54.7
E02003061,34.3,65.7
E02003062,32.4,67.6
E02003063,52.6,47.4
E02003064,28.4,71.6
E02003065,47.6,52.4
E02003066,63.8,36.2
E02003067,51.9,48.1
E02003068,52,48
E02003070,58.7,41.3
E02003072,50.8,49.2
E02003073,61.2,38.8
E02003075,61.5,38.5
E02003077,55.8,44.2
E02003088,56.6,43.4
E02003090,52.3,47.7
E02003091,50.8,49.2
E02003092,52.9,47.1
E02003093,59.7,40.3
E02003094,53.4,46.6
E02003095,52.4,47.6
E02003096,43,57
E02003097,53.1,46.9
E02003098,48.7,51.3
E02003099,48.2,51.8
E02003101,48.4,51.6
E02003102,57.5,42.5
E02003103,44.7,55.3
E02003104,48.4,51.6
E02003105,54,46
E02003107,35.1,64.9
E02003108,46.7,53.3
E02003109,60.6,39.4
E02003110,53,47
E02003111,50.9,49.1
E02003112,42.8,57.2
E02003113,56.3,43.7
E02003114,45,55
E02003115,39.4,60.6
E02003116,39.5,60.5
E02003117,42.7,57.3
E02003118,46.4,53.6
E02003119,46.9,53.1
E02003120,53.3,46.7
E02003121,53.4,46.6
E02003172,43.6,56.4
E02003173,44.8,55.2
E02003174,51.2,48.8
E02003175,48,52
E02003176,35.7,64.3
E02003177,52.3,47.7
E02003178,41.3,58.7
E02003179,44,56
E02003180,28.4,71.6
E02003181,45,55
E02003182,54.4,45.6
E02003183,41.5,58.5
E02003194,59.1,40.9
E02003195,49.9,50.1
E02003196,61.4,38.6
E02003197,50.1,49.9
E02003198,46.9,53.1
E02003199,47.6,52.4
E02003200,41.7,58.3
E02003201,42.5,57.5
E02003214,34.8,65.2
E02003215,53.5,46.5
E02003216,48.8,51.2
E02003217,44,56
E02003218,42.5,57.5
E02003219,54.9,45.1
E02003220,51.3,48.7
E02003221,47.2,52.8
E02003222,51.6,48.4
E02003223,44.4,55.6
E02003224,52.1,47.9
E02003225,50.1,49.9
E02003226,52.7,47.3
E02003227,38.9,61.1
E02003228,54.3,45.7
E02003229,50.5,49.5
E02003230,39.3,60.7
E02003231,42.6,57.4
E02003232,47.4,52.6
E02003233,46.1,53.9
E02003234,47.9,52.1
E02003235,51.2,48.8
E02003236,52.8,47.2
E02003368,50.6,49.4
E02003376,47.7,52.3
E02003384,58.8,41.2
E02003550,46.2,53.8
E02003552,40.8,59.2
E02003554,43.3,56.7
E02003555,40.3,59.7
E02003558,38.1,61.9
E02003559,54.1,45.9
E02003560,34.7,65.3
E02003563,39.9,60.1
E02003567,41.6,58.4
E02003568,33.2,66.8
E02003569,33,67
E02003571,15.9,84.1
E02004236,54,46
E02004237,51.6,48.4
E02004238,55.5,44.5
E02004239,56.1,43.9
E02004240,38.6,61.4
E02004241,43,57
E02004243,57.7,42.3
E02004244,57.1,42.9
E02004245,55.8,44.2
E02004246,62.2,37.8
E02004247,59.9,40.1
E02004248,56.3,43.7
E02004249,60.1,39.9
E02004250,51.9,48.1
E02004251,55.8,44.2
E02004252,42.9,57.1
E02004253,58.8,41.2
E02004254,55,45
E02004255,48.1,51.9
E02004256,56.4,43.6
E02004257,44.2,55.8
E02004258,54.1,45.9
E02004259,55,45
E02004260,52.5,47.5
E02004261,46.5,53.5
E02004262,57.4,42.6
E02004263,55.2,44.8
E02004264,51.2,48.8
E02004269,43.6,56.4
E02004270,60.2,39.8
E02004271,56,44
E02004272,55.8,44.2
E02004274,46.6,53.4
E02004779,54.1,45.9
E02004780,46,54
E02004781,49.2,50.8
E02004782,45,55
E02004783,50.5,49.5
E02004784,59.5,40.5
E02004785,55.7,44.3
E02004786,50.8,49.2
E02004787,54.9,45.1
E02004788,57.6,42.4
E02004790,42.7,57.3
E02004793,58.7,41.3
E02004794,59.1,40.9
E02004795,51.3,48.7
E02004796,57.4,42.6
E02004797,47,53
E02004798,44.4,55.6
E02004799,46.2,53.8
E02004800,59.7,40.3
E02004814,56.4,43.6
E02004815,36.5,63.5
E02004817,44,56
E02004818,52.5,47.5
E02004819,51.3,48.7
E02004820,58.8,41.2
E02004821,62.9,37.1
E02004822,60,40
E02004823,55,45
E02004824,42.5,57.5
E02004825,57.9,42.1
E02004826,57.1,42.9
E02004828,57.5,42.5
E02005988,50.2,49.8
E02005991,48.2,51.8
E02006047,54.5,45.5
E02006048,53.1,46.9
E02006049,54.4,45.6
E02006050,37.8,62.2
E02006051,53.6,46.4
E02006052,52.1,47.9
E02006053,44.1,55.9
E02006054,45,55
E02006055,44.2,55.8
E02006056,53.5,46.5
E02006057,39.4,60.6
E02006058,51.1,48.9
E02006059,56.6,43.4
E02006060,40.8,59.2
E02006061,52,48
E02006075,52,48
