areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02002985,34.2,34.2,17.2,14.4
E02002986,30.6,35.7,23,10.8
E02002987,49.9,34.3,5,10.8
E02002988,40.7,30.4,11.3,17.7
E02002989,38.7,29,16.1,16.2
E02002990,30.8,24.8,12.9,31.5
E02002991,26.4,17.6,16.2,39.8
E02002992,34.5,30.6,15.6,19.2
E02002993,22.3,18.4,18.5,40.9
E02002994,47,32.4,7.9,12.7
E02002995,18.3,18.6,45.7,17.4
E02002996,41.7,23.6,5.5,29.2
E02002997,22.3,22,12,43.6
E02002998,26.8,22.8,20.7,29.7
E02002999,36.2,26.6,21.7,15.5
E02003000,49,31.8,10.2,9
E02003001,43.7,33.3,7.3,15.8
E02003002,34.2,27.6,24.2,14
E02003003,32.8,31,17,19.2
E02003004,38.8,39,11.9,10.3
E02003005,47.7,33.6,7.9,10.8
E02003006,38.8,35.5,10.3,15.5
E02003007,40.3,37.1,10.6,12
E02003008,29.6,36.1,19.3,15
E02003009,42.4,36.8,5.7,15.1
E02003010,36.8,38.3,11.9,12.9
E02003011,43.8,30.5,14.8,11
E02003012,24.7,27.7,31.9,15.7
E02003013,23.3,26.4,32.1,18.2
E02003014,18.5,22.6,48.1,10.8
E02003015,27.1,28.5,21,23.4
E02003016,17.1,22.6,30.4,29.9
E02003017,38.9,32.2,12.5,16.4
E02003018,32.4,31.8,26.9,8.9
E02003019,28.1,31.7,20.4,19.8
E02003020,46.9,36.8,6,10.3
E02003021,27.8,36.6,5.5,30.1
E02003022,52.8,37.2,1.7,8.2
E02003023,34.7,27.3,18.6,19.3
E02003024,26.9,30.6,19.6,22.9
E02003025,24.7,31.5,24.9,18.8
E02003026,48.3,33.9,4.3,13.5
E02003027,29.3,37.9,3.8,29.1
E02003028,33.1,33.8,5.3,27.8
E02003029,25.3,32.1,26.7,15.9
E02003030,26,33,9.1,31.9
E02003031,25.5,31.1,3.9,39.6
E02003032,24.8,36.4,13.8,25
E02003033,20.2,21.8,5.3,52.8
E02003036,15.2,19.1,13.9,51.8
E02003037,18.4,20.1,3.8,57.7
E02003038,27.3,35.1,12.3,25.3
E02003039,22.9,35.2,17.4,24.6
E02003040,17.6,35.2,10.1,37.1
E02003041,27.3,17.6,3.8,51.3
E02003044,34.6,39.5,4.5,21.4
E02003045,21.9,20.8,14,43.2
E02003046,22.9,41,13,23.1
E02003047,22.6,34,13.4,29.9
E02003048,19.6,37.6,10.6,32.2
E02003049,31.1,36,15.9,16.9
E02003050,16.4,29.1,18.3,36.2
E02003051,20.7,36,21,22.3
E02003052,30.9,40.2,9.6,19.3
E02003053,33.4,38.9,9.2,18.4
E02003054,33.2,37.3,11.8,17.7
E02003055,21.2,32.1,35.4,11.3
E02003056,19.9,27,39.2,13.9
E02003057,35.8,37.7,11.3,15.3
E02003058,30,34,20.8,15.1
E02003059,28.8,33.8,19.7,17.7
E02003060,36.2,32.7,20.2,10.8
E02003061,22.7,24.8,40.5,12
E02003062,21.9,24.1,44,9.9
E02003063,51.2,35.2,4.2,9.5
E02003064,16,17.6,54.7,11.7
E02003065,36.7,31,10.8,21.5
