geography_code,in_full_time_education-001,in_full_time_education-002
E00011366,16.9,83.1
E00011531,18.4,81.6
E00011550,6.6,93.4
E00018828,18.3,81.7
E00018829,13.1,86.9
E00018830,17.5,82.5
E00018831,20.2,79.8
E00018832,23.4,76.6
E00018833,20.9,79.1
E00018834,27.9,72.1
E00021879,11.4,88.6
E00021880,22.1,77.9
E00021881,19.1,80.9
E00021884,20.4,79.6
E00021886,12,88
E00021888,11.7,88.3
E00021889,23.8,76.2
E00021890,18,82
E00021891,17.7,82.3
E00021892,17.4,82.6
E00021893,17.8,82.2
E00021894,23.1,76.9
E00021895,19.7,80.3
E00021896,19.2,80.8
E00021897,8.9,91.1
E00021899,9.5,90.5
E00021916,15.5,84.5
E00021919,25.5,74.5
E00021927,20.6,79.4
E00022049,24.7,75.3
E00022050,21.1,78.9
E00022051,25.4,74.6
E00022052,22.8,77.2
E00022053,23.2,76.8
E00022060,15.9,84.1
E00022061,13.5,86.5
E00022062,22.4,77.6
E00022063,24.2,75.8
E00022064,21.4,78.6
E00022065,20.9,79.1
E00022066,21.8,78.2
E00022067,25.7,74.3
E00022068,24.8,75.2
E00022069,21.1,78.9
E00108875,17.5,82.5
E00108876,19.5,80.5
E00108877,23.4,76.6
E00108879,21,79
E00108880,12.2,87.8
E00108881,17.7,82.3
E00108882,23.9,76.1
E00108883,17,83
E00108884,13.2,86.8
E00108885,17.6,82.4
E00108886,28.2,71.8
E00108887,30.4,69.6
E00108888,10.4,89.6
E00108889,16.7,83.3
E00108890,22.2,77.8
E00108891,21.3,78.7
E00108892,21.2,78.8
E00108893,7.9,92.1
E00108894,21.4,78.6
E00108901,19.1,80.9
E00108902,6.5,93.5
E00108925,19,81
E00108928,15.5,84.5
E00108932,16.7,83.3
E00108933,17.2,82.8
E00108934,18.7,81.3
E00108935,16.2,83.8
E00108936,22.9,77.1
E00108937,18.1,81.9
E00108938,13.5,86.5
E00108939,17.1,82.9
E00108940,18.6,81.4
E00108941,17.5,82.5
E00108942,21.3,78.7
E00108943,16.3,83.7
E00108944,17.5,82.5
E00108945,15.9,84.1
E00108946,14,86
E00108947,20.9,79.1
E00108948,16.1,83.9
E00108963,17.3,82.7
E00108964,23.7,76.3
E00108965,21.6,78.4
E00108966,18.3,81.7
E00108967,16.7,83.3
E00108968,19.3,80.7
E00108969,17.6,82.4
E00108970,19.7,80.3
E00108971,19.3,80.7
E00108972,20.7,79.3
E00108974,26.3,73.7
E00108987,16.9,83.1
E00108988,14.9,85.1
E00108989,14.4,85.6
E00108991,18.3,81.7
E00108992,20.2,79.8
E00108993,14.9,85.1
E00108994,24.6,75.4
E00108995,18.2,81.8
E00108997,15.3,84.7
E00108998,18.2,81.8
E00108999,19.6,80.4
E00109000,21.6,78.4
E00109001,25.6,74.4
E00109002,22.5,77.5
E00109003,11.5,88.5
E00109004,19.4,80.6
E00109009,21.9,78.1
E00109010,24,76
E00109011,19.7,80.3
E00109012,15.8,84.2
E00109032,20,80
E00109034,24.7,75.3
E00109035,16.4,83.6
E00109036,21.5,78.5
E00109037,15.4,84.6
E00109038,18.2,81.8
E00109039,20.3,79.7
E00109040,16.2,83.8
E00109041,15.9,84.1
E00109042,18,82
E00109043,14.2,85.8
E00109044,10.5,89.5
E00109045,19.8,80.2
E00109046,17.7,82.3
E00109047,22.2,77.8
E00109048,14.8,85.2
E00109049,18.6,81.4
E00109050,15.2,84.8
E00109051,27.4,72.6
E00109052,15.3,84.7
E00109053,22.7,77.3
E00109054,16.7,83.3
E00109055,18.9,81.1
E00109056,18,82
E00109057,18.9,81.1
E00109058,19.7,80.3
E00109059,20.6,79.4
E00109060,18.7,81.3
E00109061,18.9,81.1
E00109062,25.7,74.3
E00109063,11.4,88.6
E00109064,13.8,86.2
E00109065,22.2,77.8
E00109066,19.7,80.3
E00109067,16.9,83.1
E00109068,21.6,78.4
E00109069,23.2,76.8
E00109070,13.1,86.9
E00109071,21.5,78.5
E00109072,15.5,84.5
E00109078,10.5,89.5
E00109079,15,85
E00109080,18.6,81.4
E00109081,14.9,85.1
E00109082,12.6,87.4
E00109083,20.4,79.6
E00109084,14.1,85.9
E00109085,18.9,81.1
E00109086,14.3,85.7
E00109087,15.3,84.7
E00109088,18.1,81.9
