geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00011366,80.9,5,14.2
E00011531,87.2,6.7,6.1
E00011550,75.4,7,17.6
E00018828,93.1,5.4,1.5
E00018829,90.5,4,5.5
E00018830,85.8,10.1,4.1
E00018831,77.7,16.4,5.9
E00018832,92.7,6,1.3
E00018833,86.1,8.9,5
E00018834,91.8,7.1,1
E00021879,88.2,5.9,5.9
E00021880,79.7,12.7,7.5
E00021881,76.5,17.1,6.4
E00021884,75.8,18.1,6.1
E00021886,85.8,8.4,5.7
E00021888,84.4,11.3,4.3
E00021889,63.8,28.7,7.5
E00021890,86.5,7.1,6.3
E00021891,78.6,17.6,3.8
E00021892,82,8.6,9.5
E00021893,78.5,16.1,5.4
E00021894,84.2,9.8,6
E00021895,87.2,9.5,3.3
E00021896,95.1,1.2,3.7
E00021897,83.8,6.4,9.8
E00021899,74.6,16.9,8.5
E00021916,86.1,10.2,3.6
E00021919,76.6,16.7,6.8
E00021927,94.1,3.4,2.5
E00022049,76.9,17.3,5.8
E00022050,80.7,7.5,11.8
E00022051,86.1,6.4,7.5
E00022052,76.1,11.9,11.9
E00022053,63.9,14.5,21.6
E00022060,75.2,14.7,10.1
E00022061,81.2,12.8,5.9
E00022062,77.4,11.7,10.9
E00022063,79.4,13.6,7
E00022064,80.2,11.8,8
E00022065,71.5,10.8,17.6
E00022066,83,8,9
E00022067,81.6,13.4,5
E00022068,82.4,7,10.6
E00022069,72.7,17.5,9.7
E00108875,90.7,3.9,5.4
E00108876,83.1,11,5.8
E00108877,69.5,11.1,19.5
E00108879,91.5,4.9,3.6
E00108880,83.7,5.8,10.5
E00108881,85.2,10.1,4.7
E00108882,85.8,6.5,7.7
E00108883,89,5.5,5.5
E00108884,90.6,4,5.4
E00108885,88,5.9,6.2
E00108886,88.7,7.4,3.8
E00108887,83.4,8,8.6
E00108888,80.6,2.1,17.3
E00108889,82.9,7.7,9.4
E00108890,85.4,6.4,8.2
E00108891,80,13.2,6.8
E00108892,84.8,11.3,3.9
E00108893,75.9,11.8,12.3
E00108894,84.5,8.7,6.8
E00108901,73.9,19.1,7
E00108902,78,16.2,5.8
E00108925,74.1,10.7,15.1
E00108928,82.4,9.2,8.5
E00108932,93.7,2.2,4.2
E00108933,92.6,1.2,6.2
E00108934,93,1.7,5.4
E00108935,78,5.7,16.3
E00108936,91.4,1.4,7.2
E00108937,91.1,3.3,5.6
E00108938,92.6,1.9,5.6
E00108939,94.8,1.7,3.5
E00108940,93,0.6,6.4
E00108941,94.7,2.2,3.1
E00108942,80,0.8,19.2
E00108943,89.1,1.4,9.4
E00108944,87.9,5.4,6.7
E00108945,93.4,2.1,4.5
E00108946,90.8,2.4,6.8
E00108947,89.8,1.2,9
E00108948,90.1,4.7,5.2
E00108963,95,2.5,2.5
E00108964,90.8,5,4.2
E00108965,93.6,2.2,4.2
E00108966,89,6.9,4.1
E00108967,84.6,2.4,12.9
E00108968,90.2,7.3,2.4
E00108969,86,5.9,8.1
E00108970,87.2,9.9,3
E00108971,93,3.5,3.5
E00108972,85.6,1.9,12.5
E00108974,78.5,8.3,13.2
E00108987,92,5.2,2.8
E00108988,81.1,6.1,12.7
E00108989,86.6,3.9,9.5
E00108991,88.2,3.7,8.1
E00108992,84.2,8.3,7.5
E00108993,90,3,7
E00108994,78.8,4.4,16.8
E00108995,88.6,3.1,8.3
E00108997,75.8,7.6,16.6
E00108998,82.3,7.8,9.9
E00108999,86.5,5.7,7.7
E00109000,74.6,9.9,15.4
E00109001,94.6,4.8,0.5
E00109002,89.5,8.4,2.1
E00109003,85.8,8.3,5.8
E00109004,90.6,2.4,7
E00109009,92.2,4.6,3.2
E00109010,91.6,4.9,3.5
E00109011,92.2,4.1,3.8
E00109012,92.7,3.2,4.1
E00109032,89.8,5.7,4.4
E00109034,79.6,9.7,10.7
E00109035,86.5,2,11.4
E00109036,88.8,4.5,6.7
E00109037,86.5,3.1,10.4
E00109038,82.2,5.3,12.5
E00109039,87,6.2,6.8
E00109040,91.3,4.1,4.6
E00109041,84.8,7.5,7.8
E00109042,89.6,4.3,6.1
E00109043,89.1,2.7,8.3
E00109044,86,3.6,10.4
E00109045,82.2,7.5,10.3
E00109046,84.9,3,12
E00109047,79.1,5.4,15.5
E00109048,77.4,4.6,18
E00109049,83.6,4.3,12.1
E00109050,75.6,4,20.4
E00109051,71.5,9.6,18.9
E00109052,73.2,5.4,21.4
E00109053,94.4,2.5,3.1
E00109054,95.9,1.6,2.6
E00109055,87.7,4.7,7.7
E00109056,85.8,5.5,8.7
E00109057,91.2,2.4,6.5
E00109058,88.4,5,6.6
E00109059,82.9,4.8,12.3
E00109060,93.2,3.8,3
E00109061,90.3,2.8,6.9
E00109062,89.9,5.7,4.4
E00109063,77.6,16.9,5.5
E00109064,77.4,16.6,6
E00109065,93.1,3.9,3
E00109066,94,3,3
E00109067,89.9,7.2,2.8
E00109068,92.6,5.8,1.6
