geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00036438,18.6,42.6,30.2,8.5
E00036439,28.7,45.6,19.5,6.2
E00036440,26.3,37.7,24.6,11.4
E00036441,12.3,47.4,33.3,7
E00036442,24.7,55.3,15.3,4.7
E00036443,4.8,26.6,54.8,13.7
E00036444,20.7,46.2,28.3,4.8
E00036446,29.3,54.8,15.3,0.6
E00036447,26.9,51.5,18.7,3
E00036448,26.4,46.6,17.2,9.8
E00036449,21.9,53.9,21.1,3.1
E00036451,34.3,43.1,17.5,5.1
E00036452,6,30.2,44,19.8
E00036453,9.9,37.8,37.8,14.4
E00036454,12.1,36.9,35.5,15.6
E00036455,10.6,45.7,35.1,8.5
E00036456,19,53.4,17.2,10.3
E00036457,13.6,41.8,34.5,10
E00036458,42.7,41.8,14.5,0.9
E00036459,37.8,44.2,13.4,4.7
E00036460,24.7,46.8,23.4,5.2
E00036461,6.7,34.6,38.5,20.2
E00036462,31,41.9,23.3,3.9
E00036463,22.4,49,25.9,2.8
E00036464,9.5,44.4,34.9,11.1
E00036465,22.3,56.1,15.5,6.1
E00036466,16,54.4,24.8,4.8
E00036467,24.5,35.5,27.7,12.3
E00036474,7.8,38.3,43.8,10.2
E00036475,8.7,38.9,45.6,6.7
E00036477,5.4,35.1,41.4,18
E00036479,6.6,38.2,33.8,21.3
E00036481,22.3,48.2,23.7,5.8
E00036482,7.4,40.7,44.4,7.4
E00036484,11.3,51.8,27.7,9.2
E00036486,20,44.4,30.4,5.2
E00036487,34.9,45.6,14.2,5.3
E00036488,29.3,40.5,22.4,7.8
E00036489,38.9,48.1,11.1,1.9
E00036490,23.7,50.4,23.7,2.3
E00036785,26.4,42.4,23.2,8
E00036786,19.7,45.8,28.9,5.6
E00036791,19.3,51.1,23,6.7
E00036796,5,37.2,44.6,13.2
E00036806,4.2,26.1,46.5,23.2
E00036826,30.4,41.7,19.1,8.7
E00036828,26.4,41.3,26.4,5.8
E00036886,10.9,45.6,34.7,8.8
E00036894,4.9,33.3,41.7,20.1
E00036899,3.3,39.2,39.2,18.3
E00036931,2,29.4,45.1,23.5
E00036932,25.3,50,21.3,3.3
E00036933,26,49.6,18.9,5.5
E00036934,21.2,50,23.5,5.3
E00036935,13.1,44.3,35.2,7.4
E00036936,15.7,50.4,27,7
E00036937,20.1,47,28.9,4
W00001134,46.4,35.5,11.6,6.5
W00001135,35.7,44.6,17,2.7
W00001136,17.7,52.2,23,7.1
W00001138,30.3,49.2,12.3,8.2
W00001141,27.9,37.5,27.9,6.6
W00001142,21.5,31.8,31.8,15
W00001143,6.8,36.4,35.6,21.2
W00001145,24.8,45,22.9,7.3
W00001146,46.2,34,15.4,4.5
W00001147,8.3,34.8,39.4,17.4
W00001148,10.3,37.6,40.2,12
W00001149,38.3,30.4,20,11.3
W00001150,9,34.2,35.1,21.6
W00001151,6.2,34.5,42.5,16.8
W00001152,18.8,48.1,20.3,12.8
W00001153,43,37.4,17.8,1.9
W00001154,14.6,42.3,35,8.1
W00001162,21.1,50.8,20.3,7.8
W00001164,16.9,61,20.3,1.7
W00001166,22.2,44.4,24.8,8.5
W00001167,23.6,51.2,19.5,5.7
W00001169,12.6,49.6,28.3,9.4
W00001170,16.3,43.9,31.7,8.1
W00001171,13.3,60.9,22.7,3.1
W00001173,17.6,37.6,30.7,14.1
W00001174,21.2,43.2,23.7,11.9
W00001175,27.8,43.5,17.4,11.3
W00001176,16.1,37.9,35.5,10.5
W00001177,13,40,37.4,9.6
W00001178,43.7,47,8.6,0.7
W00001179,36.2,40.5,16.4,6.9
W00001180,19.8,47.4,21.6,11.2
W00001181,15.1,44.5,31.1,9.2
W00001536,9.9,52.1,26.4,11.6
W00001537,6.4,43.6,34.6,15.4
W00001541,16.9,59.2,18.3,5.6
W00001592,25.9,47.3,21.4,5.4
W00001593,7.9,40.4,37.1,14.6
W00001594,12.1,57.9,23.4,6.5
W00001595,9.3,36.4,35,19.3
W00001596,9.3,41.1,34.9,14.7
W00001597,16.3,36.7,34.7,12.2
W00010012,11,58.7,24.8,5.5
W00010013,6.5,57.4,25.9,10.2
W00010015,11.5,38.5,36.5,13.5
W00010016,15,43,30,12
