geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00139395,25,27.8,37,10.2
E00139396,1.7,12.2,85.2,0.9
E00139397,8.4,16.8,60.1,14.7
E00139398,0,18.9,78.4,2.7
E00139399,37.7,9.3,44.4,8.6
E00139400,0,0.9,91.9,7.2
E00139401,0,11.7,48.3,40
E00139402,19.3,22.8,54.4,3.5
E00139403,18.2,24.7,50,7.1
E00139404,21.8,18.8,51.1,8.3
E00139405,14.7,12.9,64.7,7.8
E00139406,7.5,33.3,52.5,6.7
E00139407,3.3,15.8,80.8,0
E00139408,1.6,26,69.1,3.3
E00139409,8.3,29.2,57.5,5
E00139410,8.7,16.1,63.1,12.1
E00139411,0,15.6,74,10.4
E00139412,7.1,9.7,77.9,5.3
E00139413,18.1,38.8,39.7,3.4
E00139414,11.2,38.8,43.9,6.1
E00139415,1.6,19.5,72.7,6.3
E00139416,1.8,25.9,60.7,11.6
E00139417,2.5,23,67.2,7.4
E00139419,11.7,57,30.5,0.8
E00139420,20.7,38.8,38.8,1.7
E00139421,22.9,38.9,32.8,5.3
E00139422,35.1,31.9,31.9,1.1
E00139424,32.3,51.6,14.1,2.1
E00139425,2.5,48.1,48.7,0.6
E00139427,4.5,36.4,56.1,3
E00139429,0,0.9,69.2,29.9
E00139430,8.4,24.4,60.3,6.9
E00139431,17.8,34.4,26.8,21
E00139432,0,84.1,14,1.9
E00139433,11.8,31.3,49.3,7.6
E00139434,0,1.8,73,25.2
E00139435,0.9,3.7,68.2,27.1
E00139436,0.8,4.2,81.4,13.6
E00139437,0,5.5,83.6,10.9
E00139438,12.3,38.5,32.8,16.4
E00139439,0,6.2,72.6,21.2
E00139440,2.7,27.9,50.5,18.9
E00139443,0,5.9,48.1,45.9
E00139445,0,18.6,65.9,15.5
E00139448,0,5.5,62.2,32.3
E00139450,0.8,7.5,67.5,24.2
E00139451,0,2.6,32.8,64.7
E00139453,0,6.9,29.8,63.4
E00139454,0.8,19.3,65.5,14.3
E00139457,0,59,36.1,4.9
E00139458,0.8,32.8,38.4,28
E00139460,0,39,50.7,10.3
E00139462,1.7,38.8,43,16.5
E00139464,0.8,25,60.9,13.3
E00139465,1.7,36.8,37.6,23.9
E00139468,10.2,27.3,60.9,1.6
E00139483,12.1,44.7,42.4,0.8
E00139488,9.8,41.4,48.1,0.8
E00139496,11.9,36.4,30.5,21.2
E00139509,5.6,21.4,48.4,24.6
E00139510,19.8,41.3,35.7,3.2
