geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00155903,94.5,1,4.5
E00155911,76.3,2.7,21
E00155912,89.5,2.5,8
E00155914,63.2,4,32.8
E00155915,85.4,1.2,13.4
E00155916,84.5,3.9,11.6
E00155917,84.1,1.6,14.4
E00155918,85.5,1.6,12.9
E00155919,86.9,2.5,10.6
E00155920,91.3,1.7,7
E00155921,88.3,5,6.7
E00155922,90.1,2.6,7.3
E00155923,94.6,2.1,3.3
E00155924,79.5,4,16.5
E00155925,86.4,1.5,12
E00155926,85.3,4.1,10.6
E00155927,86.2,3.4,10.4
E00155928,91.8,2.1,6.1
E00155929,69.3,3.7,27
E00155930,91.8,2.9,5.3
E00155931,87.2,3,9.8
E00155932,90,2.6,7.4
E00155933,88,2.5,9.5
E00155934,91.6,3.2,5.1
E00155935,77.7,4.5,17.8
E00155936,89.9,0.6,9.4
E00155937,89.8,0.7,9.5
E00155940,82,3,15
E00155952,96.1,0.8,3.1
E00155953,84.6,1.6,13.8
E00155954,87.6,1.6,10.8
E00155968,92.2,0,7.8
E00155976,91.3,3.6,5.1
E00155985,95.1,2.3,2.6
E00155986,97.1,1.5,1.5
E00155993,92.6,2.1,5.3
E00155994,94,1.1,4.9
E00155997,93.6,0.6,5.7
E00155999,93.6,0.9,5.5
E00156000,94.1,0.3,5.6
E00156029,72.3,5.1,22.5
E00156036,87.7,2.9,9.4
E00156051,88.5,3.9,7.5
E00156052,92.3,1.4,6.3
E00156053,89.7,4.9,5.4
E00156054,91.8,2,6.1
E00156055,94.4,1.7,3.9
E00156056,91.2,1.9,6.9
E00156057,89,3.6,7.4
E00156058,95.6,1.3,3.1
E00156059,89.2,0.3,10.5
E00156060,80.3,5.3,14.4
E00156061,96.5,0.6,2.9
E00156062,90.2,1.6,8.3
E00156063,89.9,2.7,7.5
E00156064,92.2,3,4.8
E00156065,91.8,2.7,5.4
E00156066,91.1,2.6,6.4
E00156067,94.9,0.9,4.3
E00156068,85.5,4.8,9.7
E00156069,91,1.3,7.7
E00156070,89.5,2.3,8.2
E00156071,87.3,1.6,11.1
E00156072,89.9,3.8,6.3
E00156073,89.1,1.8,9.1
E00156074,94.2,0.8,5
E00156075,88.3,1.8,9.9
E00156108,61.5,2.9,35.6
E00156110,78.5,3.8,17.7
E00156111,92.5,2.3,5.2
E00156112,86,2.2,11.7
E00156113,91.3,0.9,7.7
E00156114,73.6,1.9,24.5
E00156115,90.6,1.3,8.1
E00156116,63.8,2.3,33.9
E00156118,89.7,3.3,7
E00156119,65.4,4.9,29.7
E00156120,80.7,2.2,17
E00156121,65.5,3.6,30.9
E00156123,88.1,4.9,7
E00156124,89.2,3,7.8
E00156126,91.7,0.3,8
E00156127,85.8,1.5,12.7
E00156128,83.6,2.7,13.7
E00156129,90.2,0.4,9.4
E00156130,87.2,4.3,8.5
E00156131,79.4,3.7,16.9
E00156132,80.9,2.8,16.3
E00156133,75,5.6,19.4
E00156134,71.3,3.2,25.4
E00156135,85,3.8,11.2
E00156138,91.5,1.5,7
E00156140,75.7,3.9,20.4
E00156143,68.8,3.6,27.6
E00156144,81.7,4.7,13.6
E00156145,80.2,3.1,16.7
E00156146,69.8,5.7,24.4
E00156148,54.1,3.2,42.8
E00156149,90.7,2.2,7.1
E00156150,88.5,4.5,7
E00156152,88,1.8,10.2
E00156154,88.4,4.2,7.3
E00156155,87.6,3,9.4
E00156157,84.5,0.7,14.8
E00156176,79.7,2.3,18
E00156201,93.6,1.4,5
E00156203,93.2,0.9,5.9
E00156204,96.1,1,2.8
E00156206,94.9,1.4,3.7
E00156207,90.5,1.7,7.8
E00156208,92.3,2.5,5.2
E00157105,96.9,1.3,1.7
E00157106,92.6,1.3,6.1
E00157107,97.2,0.3,2.5
E00157108,96.4,0.7,2.9
E00157109,97.1,0.6,2.3
E00157110,96.2,0.6,3.2
E00157111,96.2,1.4,2.5
E00157112,92,1.6,6.4
E00157113,92.8,1.6,5.5
E00157114,94.8,1,4.2
E00157115,95.5,2.3,2.3
E00157116,94.5,2.9,2.5
E00157117,94,1,5
E00157118,96.6,0,3.4
E00157119,92,2,6
E00157120,90.9,1.4,7.7
E00157121,95.3,0.4,4.3
E00157122,93.3,1.4,5.3
