areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00015204,26.8,26.8,35.2,9.2,2.1
E00015205,13.2,23.9,54.7,7.5,0.6
E00015206,8.7,23,40.5,23,4.8
E00015229,10.8,31.2,52.7,5.4,0
E00015230,21.1,20.2,52.3,2.8,3.7
E00015231,22.6,32.3,42.1,3,0
E00015232,18.3,26.8,47.6,5.5,1.8
E00015234,29.8,26,38.9,5.3,0
E00015235,22.6,26,42.5,7.5,1.4
E00015236,9.6,24.8,52.8,12.8,0
E00015237,13.2,38,43.8,4.1,0.8
E00015238,0.8,17.3,63,15,3.9
E00015239,11.7,31.7,47.6,6.2,2.8
E00015240,17.5,24.1,53.3,5.1,0
E00015241,2.4,19.2,61.6,12,4.8
E00015242,2,21.5,61.7,11.4,3.4
E00015243,9.9,24,49.6,15.7,0.8
E00015244,16.2,28.2,46.3,6.9,2.3
E00015245,7.6,24.8,47.6,12.4,7.6
E00015246,20.9,42.6,32.6,2.3,1.6
E00015247,1.8,28.1,51.8,13.2,5.3
E00015249,18.1,27.7,43.4,9,1.8
E00015435,23,31.9,38.9,5.3,0.9
E00015436,22.7,26.1,37.8,8.4,5
E00015437,12.6,21.6,48.2,16.1,1.5
E00015438,10.9,40.1,43.1,5.8,0
E00015439,21.1,40.7,28.5,8.1,1.6
E00015440,3.7,39.3,45.2,8.9,3
E00015443,28.1,25,38.3,5.5,3.1
E00015444,12.6,44.8,28.7,11.5,2.3
E00015445,29.6,32,30.4,8,0
E00015446,9,29.3,52.6,7.5,1.5
E00015447,9.9,31.2,44,12.8,2.1
E00015448,29.1,27.3,40.9,1.8,0.9
E00015450,11.3,29.6,39.4,18.3,1.4
E00015451,5,33.3,51.7,10,0
E00015452,12.4,24.8,48.7,12.4,1.8
E00015475,8.9,30.1,51.2,9.8,0
E00015476,47.6,27.8,23,1.6,0
E00015477,10.4,39.1,42.6,6.1,1.7
E00015478,27.7,29.9,37.2,4.4,0.7
E00015479,23.4,21.5,40.5,13.9,0.6
E00015480,37.3,39.8,20.3,2.5,0
E00015481,14.5,29,43.5,10.5,2.4
E00015482,10.3,21.1,49.1,15.4,4
E00015483,9.2,23.5,55.1,11.2,1
E00015490,14.8,29.6,51.7,3.9,0
E00015526,38,25.6,22.5,12.4,1.6
E00015527,30.6,22.5,41.4,5.4,0
E00015528,34.5,26.1,31.9,5.9,1.7
E00015529,28.6,36.6,24.1,8.9,1.8
E00015530,62.6,22.3,10.1,3.6,1.4
E00015532,17.6,20.4,50,11.1,0.9
E00015533,20.8,42.6,28.7,7.9,0
E00015534,15.5,17.5,37.1,21.6,8.2
E00015536,39.7,31.9,25,0.9,2.6
E00015540,24.2,31.9,36.3,4.4,3.3
E00015551,9.7,26,54.5,7.1,2.6
E00015552,7.6,23.3,51.7,14.5,2.9
E00015553,39.2,27.7,26.9,4.6,1.5
E00015554,13.5,35.8,41.2,6.1,3.4
E00015555,11.6,18.6,59.7,8.5,1.6
E00015556,18.2,24.8,45.5,10.7,0.8
E00015557,34.7,35.6,23.7,5.9,0
E00015558,12.3,29.9,47.6,8.6,1.6
