geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00068616,1.1,0,2.9,95.3,0.7
E00068617,0.4,0,0.4,98.9,0.4
E00068618,1.7,0.4,2.6,95.3,0
E00068619,0,0.3,2.7,96.9,0
E00068621,0.8,0.3,0.8,97.7,0.3
E00068622,0.4,0,0.4,99.2,0
E00068623,0,0,1.4,98.6,0
E00068624,0.4,0.4,1.6,97.6,0
E00068626,0.4,0.4,0,99.3,0
E00068627,2.8,2.8,1.6,92.7,0
E00068628,0.8,0,1.3,97.9,0
E00068629,1,0.3,0.7,98,0
E00068630,0.7,0.3,2,97.1,0
E00068631,0,0,0,99.7,0.3
E00068632,3.6,2.2,2.7,90.6,0.9
E00068633,0,0.4,0.4,99.3,0
E00068635,0,0.7,0.7,98.5,0
E00068637,2.7,3.1,2.3,91.8,0
E00068638,1.9,1.1,1.1,95.8,0
E00068640,1.8,1.5,3.6,93,0
E00068641,3.3,2.2,2.9,91.2,0.4
E00068642,0.3,1,2.7,94.6,1.4
E00068644,0.4,0,0.7,98.9,0
E00068645,1.6,0.8,2.4,95.3,0
E00068647,0,1.3,0.4,98.3,0
E00068649,2,1.7,1.7,94.6,0
E00068651,0.7,3.1,1.4,93.4,1.4
E00068652,0.3,1.9,1,96.8,0
E00068653,0.6,0.9,4,93.5,0.9
E00068654,0.5,1,0,98.5,0
E00068655,1.6,3.1,3.1,91.9,0.3
E00068656,1.6,1.9,4.8,91.7,0
E00069909,5.7,6.7,8.1,74.6,4.9
E00069911,6.4,15.2,4.4,70.3,3.7
E00069913,7.6,12.7,3.3,75.2,1.2
E00069915,20,4.7,4.4,64.4,6.4
E00069916,12.8,14.9,7.6,63.3,1.4
E00069918,9.3,8.7,9.3,71,1.8
E00069919,3.7,7.3,7.3,78.4,3.3
E00069921,43.7,5.9,5.1,42.2,3.1
E00069922,11.1,9.8,6.6,70.9,1.6
E00069923,9.8,10.1,6.1,60.3,13.8
E00069924,16,15.6,7.6,58.8,1.9
E00069925,4.2,2.7,7.3,83.4,2.3
E00069926,20.3,1.2,6.3,66.8,5.5
E00069927,31.3,2.2,6.3,58,2.2
E00069928,9.4,16.2,11.7,60.8,1.9
E00069929,7.7,7.7,5.6,76.4,2.5
E00069930,11.5,11.5,10.3,63.5,3.2
E00069933,6,6.4,13.7,69.5,4.3
E00069935,5.7,10.8,8.2,70.3,5
E00069955,8.3,9.8,2.8,77.3,1.8
E00069961,5.7,10.9,9.4,72.1,1.9
E00069962,15,8.7,6.9,66.2,3.3
E00070539,37.2,4.1,2,50.5,6.1
E00070545,30.2,5,4.4,47.6,12.7
E00070546,6.8,8.9,7.9,74.2,2.1
E00070547,15.9,0,1.8,77.3,5
E00070548,30.2,0.4,3.6,60.8,5
E00070563,28.2,0,2.3,62.4,7
E00070571,29.9,5.3,8.3,48.5,8
E00070572,11.6,5.8,4.2,72.1,6.3
E00070573,4.7,14,7.2,65.9,8.2
E00070575,15,1,4.3,78.4,1.3
E00070577,8.6,1.4,3.5,77.3,9.2
E00070581,13.5,2.4,2,82.2,0
E00070583,20.8,1.9,4.6,66.8,5.8
E00098293,0.4,0,1.7,97.8,0
E00098294,0,0,0.4,99.6,0
E00098295,0.6,2.2,2.2,95.1,0
E00098296,0.2,0.2,2.2,97.3,0
E00098297,1.1,0,0,98.9,0
E00098298,0.8,0,3.1,96.1,0
E00098299,0,0,1.4,98.6,0
E00098300,1.3,0,0.7,97.8,0.2
E00098301,0,0,0.8,98,1.1
E00098302,0,0,0,99.7,0.3
E00098303,0.9,1.2,0.6,97.2,0
E00098304,0,0,0.4,99.3,0.4
E00098305,1.6,0,0.4,98.1,0
E00098306,3.4,0,0.7,96,0
E00098307,1.5,0.3,1.5,96.7,0
E00098308,0,2.2,1.1,96.7,0
