geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00125017,94.8,1.3,4
E00125018,94.7,1.8,3.5
E00125019,96.8,1,2.3
E00125020,93.7,1.4,4.9
E00125021,96.2,0.6,3.1
E00125022,97.9,1.1,1.1
E00125023,94.5,0,5.5
E00125024,93.8,0.8,5.3
E00125025,95.1,0.7,4.2
E00125026,94.8,0.5,4.7
E00125027,95.1,1.3,3.6
E00125028,95.9,1,3.1
E00125029,99.1,0,0.9
E00125030,95.4,0.7,3.9
E00125069,96.6,1.3,2.1
E00125070,86.6,4.1,9.3
E00125071,95.3,0.5,4.2
E00125072,93.8,2.1,4.1
E00125073,92.7,2.9,4.4
E00125074,98.3,0.7,1
E00125075,98.3,0,1.7
E00125076,97.6,0,2.4
E00125077,92.5,0.3,7.2
E00125078,95.5,0.8,3.8
E00125079,90.3,2.1,7.7
E00125080,91.4,1.4,7.2
E00125081,98.2,0.6,1.2
E00125082,92.3,3.3,4.4
E00125083,96.8,0.8,2.4
E00125084,98.4,0.4,1.2
E00125085,91.7,1.2,7.1
E00125086,89.7,1,9.3
E00125087,94.2,1.1,4.7
E00125088,92.8,2.1,5.1
E00125089,97.3,0,2.7
E00125091,90.2,3,6.8
E00125092,94.9,1.5,3.6
E00125093,90.6,1.4,8
E00125094,88.9,3.2,7.9
E00125095,91.2,4.4,4.4
E00125096,91.7,2,6.3
E00125097,91.7,2.6,5.6
E00125099,87.7,2.9,9.3
E00125100,91.2,2.7,6.1
E00125101,89.4,1.8,8.9
E00125102,96.1,1,2.9
E00125103,87.1,0.4,12.4
E00125104,92.9,1.1,6
E00125105,93.2,4.5,2.3
E00125106,90.8,4.4,4.8
E00125107,87,2.9,10
E00125108,94.6,0.8,4.7
E00125109,87.9,0.4,11.7
E00125110,90.5,1.8,7.7
E00125111,86.8,2.9,10.3
E00125112,88.1,2.1,9.7
E00125114,92.8,0.8,6.4
E00125129,96.4,1,2.6
E00125130,98.7,0,1.3
E00125132,92.5,4.6,2.9
E00125133,87.1,1.1,11.8
E00125134,94.4,3.3,2.3
E00125135,97.6,1,1.4
E00125136,95.3,1,3.7
E00125137,99.2,0.4,0.4
E00125138,100,0,0
E00125139,95.3,0.8,3.9
E00125140,95.8,0.8,3.4
E00125141,96.7,0.9,2.4
E00125142,95.4,0,4.6
E00125144,98.8,0.4,0.8
E00125145,94.3,0.7,5
E00125146,95.6,0,4.4
E00125147,91.4,1.8,6.8
E00125148,96.9,0.8,2.3
E00125149,94.1,0.4,5.5
E00125150,94.4,1,4.5
E00125151,98.1,1.1,0.7
E00125178,97.1,0.5,2.4
E00125183,96.4,1.7,2
E00125185,94.4,0.3,5.2
E00125187,98.9,0,1.1
E00125189,92,0.6,7.3
E00125190,97.6,0.3,2.1
E00125192,91.5,0.9,7.6
E00125193,91,0.6,8.4
E00125194,93.1,0.8,6.1
E00125195,93.6,0,6.4
E00125202,82.8,1.9,15.4
E00125203,91.4,1.8,6.8
E00125204,91,4,5
E00125205,92.5,1.5,6
E00125206,80.6,0,19.4
E00125207,90.6,0.8,8.6
E00125208,85.8,0.8,13.4
E00125209,86.8,0.4,12.8
E00125210,88,0.9,11
E00125211,82.1,1.5,16.4
E00125212,95.5,0.6,3.9
E00125213,83.4,1.9,14.7
E00125214,93.7,1.4,4.9
E00125215,93.5,1.1,5.4
E00125216,92.7,1.2,6.1
E00125217,96.3,0.7,3
E00125218,91.5,0.3,8.2
E00125219,92,2.8,5.2
E00125220,90.1,2.3,7.6
E00125221,93.4,0.6,6
