areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00114795,80.1,14.4,5.6
E00114796,84.6,11.5,3.9
E00114801,89.2,8.8,1.9
E00116106,88.3,8.8,2.9
E00116107,88.2,9.6,2.2
E00116108,91,6.9,2
E00116109,91.1,7.7,1.2
E00116110,87.5,11,1.5
E00116111,84.9,11.5,3.5
E00116112,85.1,12,3
E00116113,88.2,9.2,2.6
E00116114,83.3,11.6,5.2
E00116115,78.7,17.9,3.4
E00116116,86.8,9.9,3.3
E00116117,79.8,13.6,6.6
E00116118,84,12.2,3.8
E00116119,85.6,10.8,3.6
E00116120,90.9,6.1,3
E00116121,88.5,7.8,3.7
E00116122,91,6.7,2.3
E00116123,88.9,9.9,1.3
E00116124,90,6.9,3.1
E00116125,89.9,8.8,1.3
E00116126,82.6,15.8,1.6
E00116127,67.5,22.5,10
E00116128,88.8,7.3,3.9
E00116129,93.9,5.8,0.3
E00116130,92.5,6.8,0.6
E00116131,90.9,6.7,2.4
E00116132,88.4,9,2.6
E00116133,91.3,7.3,1.4
E00116134,91.8,7.3,0.9
E00116135,86.2,10.1,3.6
E00116136,87.2,10.1,2.7
E00116137,92.1,5.4,2.5
E00116138,80.5,7.6,11.9
E00116139,94.4,5.6,0
E00116140,82.4,14.2,3.3
E00116141,90,7.1,2.8
E00116142,87.9,10.1,2
E00116143,89.5,8.1,2.4
E00116144,89.6,6.1,4.3
E00116145,88.1,10.1,1.8
E00116148,84.6,10.5,4.9
E00116149,91.5,8.5,0
E00116159,87,10.3,2.7
E00116160,88.1,9.5,2.4
E00116161,86.5,10.2,3.3
E00116162,85.6,9.9,4.5
E00116163,87.3,9.4,3.3
E00116164,88.2,9.6,2.2
E00116165,92,7.5,0.5
E00116166,89.6,9.2,1.2
E00116167,77.4,17.7,4.9
E00116168,72.4,24.1,3.5
E00116169,65.4,25.2,9.4
E00116171,89.3,9.3,1.4
E00116172,78.8,17.2,4.1
E00116173,88.9,8.8,2.3
E00116174,88.6,9.6,1.8
E00116175,89.3,7.9,2.8
E00116176,90,7.5,2.4
E00116177,83.7,13.1,3.1
E00116178,90,9,0.9
E00116179,75.7,18.7,5.6
E00116180,83.1,13.4,3.5
E00116181,86.1,10.4,3.5
E00116182,86.4,10,3.6
E00116183,89.8,8.9,1.3
E00116184,83.2,13.4,3.4
E00116185,87.5,11.5,1
E00116186,84.4,12.2,3.4
E00116187,74.5,18.2,7.4
E00116188,90,10,0
E00116189,84.2,12.5,3.4
E00116190,89.1,8.8,2.2
E00116201,80.3,15.3,4.4
E00116202,87.4,10.7,1.9
E00116203,85.8,11.4,2.8
E00116204,87.2,9.5,3.3
E00116205,91.1,7.2,1.7
E00116206,90.3,7.4,2.3
E00116207,85.9,10.7,3.4
E00116208,84.3,10.9,4.9
E00116209,86.2,10.2,3.7
E00116210,84.7,11.7,3.6
E00116211,85.1,14.4,0.5
E00116212,88.3,8.6,3.1
E00116213,85,13.2,1.8
E00116214,88.3,9.5,2.1
E00116215,82.6,12.1,5.3
E00116216,76.8,16.9,6.3
E00116217,81.8,14.7,3.5
E00116218,88.6,8.4,3
E00116219,87.6,9.5,2.9
E00116220,91.7,6.1,2.2
E00116221,66.4,22.3,11.3
E00116222,89.5,8.1,2.4
E00116223,85.4,10.6,4
E00116224,90.5,7.9,1.6
E00116226,88.9,9.8,1.3
E00116227,88.8,9.4,1.9
E00116228,92.1,7.9,0
E00116229,91,6.3,2.7
E00117332,87.9,9.8,2.3
E00117333,93.6,5.3,1.1
E00117334,85.5,10.9,3.5
E00117335,90.4,7.7,1.9
E00117348,92,6.4,1.6
E00117349,79.8,15.4,4.8
E00117350,87.2,9.7,3
E00117351,85.2,12.5,2.4
E00117370,85.5,10.3,4.1
E00117409,76.9,14.4,8.7
E00117410,75.7,16.5,7.8
E00117411,71.8,20.1,8.1
E00117412,64.9,25.3,9.8
E00117413,66.2,20.1,13.7
E00117414,64.2,23,12.8
E00117415,87.5,10.6,1.9
E00117416,81.6,12.8,5.6
E00117417,84.9,12.9,2.2
E00117418,83.4,12.2,4.4
E00117419,84.9,13.9,1.2
E00117420,73.6,18.4,8
E00117421,87.1,9.9,3
E00117422,83.7,11.3,5
E00117423,82.1,14.1,3.9
E00117424,74.1,19,6.9
E00117425,79,14.7,6.3
E00117426,79.8,14.5,5.6
E00117427,73.8,18.4,7.8
E00117428,78.3,16.1,5.6
E00117429,89.6,8.4,2.1
E00117430,69.2,24.6,6.2
E00117431,83.9,11.9,4.2
E00117432,78.4,16,5.6
E00117433,88.6,9.4,2
E00117434,87.8,7.6,4.6
E00117435,90.1,9.6,0.3
E00117436,88.6,10.6,0.8
E00117438,90.8,7,2.2
E00117442,73.9,18.5,7.7
E00117443,86.7,12,1.3
E00117444,87.8,10.2,2
E00117445,89.8,7.3,2.8
E00117446,87,10.3,2.7
E00117448,88.8,8.2,3
E00117449,90,6.9,3
E00117450,84.9,12.3,2.8
E00117451,87.9,11,1.2
E00117452,87.7,10.2,2.1
E00117453,77.8,17.9,4.3
E00117454,84.6,11.9,3.5
E00117455,92.6,5,2.3
E00117456,79.3,15.6,5.2
E00117457,85.4,12.1,2.5
E00117458,86.6,10.3,3.1
E00117459,84.4,12.6,3.1
E00117460,88.1,9.3,2.6
E00117461,83.3,11.7,5
E00117462,86.9,11.4,1.7
E00117463,86.8,9.2,4
E00117464,86.6,10.8,2.6
E00117465,87.2,11.1,1.7
E00117466,76.2,16.6,7.2
E00117486,85.6,11.2,3.2
E00117487,81.4,14.2,4.4
E00117488,81.5,13.9,4.6
E00117489,86.4,11.5,2.1
E00117490,81.3,13.4,5.4
E00117491,83.1,13.5,3.4
E00117492,85.2,12.5,2.3
E00117493,84.5,13.4,2.1
E00117494,85.5,12.1,2.4
E00117496,83.4,13.2,3.4
E00117497,85.9,11,3.1
E00117498,82.7,12.1,5.3
E00117499,81.4,13.1,5.5
E00117500,88.6,4.9,6.5
E00117501,85.4,10.1,4.5
E00117503,81,14.8,4.2
E00117504,88.7,9.2,2.1
E00117505,88.2,9.9,2
E00117506,81.4,14.7,3.8
E00117507,83.9,10.6,5.5
E00117508,84.8,13.4,1.8
E00117509,84.2,13.1,2.7
E00117510,83.2,13.3,3.5
E00117511,48.6,38.7,12.7
E00117512,88.2,9.8,2.1
E00117513,79.7,11.2,9.1
E00117514,76,14,10.1
E00117515,83.4,13.1,3.5
E00117516,80.3,15.2,4.5
E00117517,77.7,15.5,6.8
E00117518,82.4,14.9,2.7
E00117519,82.6,12.4,5
E00117520,87.2,10.5,2.3
E00117521,86.9,8.8,4.4
E00117522,79.5,13.8,6.7
E00117523,82.3,12.4,5.3
E00117524,84.3,13.3,2.4
E00117525,87.9,9.6,2.5
E00117526,85.6,10,4.4
E00117527,90.1,7.3,2.6
E00117549,88.4,8.5,3.1
E00117551,90.2,6.7,3.1
E00117552,60.1,25.3,14.6
E00117553,85.1,10.9,4
E00117554,83.5,12.6,3.9
E00117555,77.7,17.2,5.1
E00117558,88.1,9.7,2.2
E00117559,86.2,9.7,4.1
E00117560,87.6,8.3,4.1
E00117562,85.7,10.9,3.4
E00117563,80.2,14.2,5.5
E00117564,80.8,12.2,7
E00117565,88.3,9.9,1.8
E00117566,88.1,9.9,2
E00117567,85,11.7,3.4
