areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E00000576,31.9,68.1
E00000578,25.4,74.6
E00000579,28.9,71.1
E00000580,28.1,71.9
E00000581,31.6,68.4
E00000583,29.8,70.2
E00000584,29.3,70.7
E00000585,29.4,70.6
E00000586,36.1,63.9
E00000587,34.8,65.2
E00000588,29.3,70.7
E00000589,34.2,65.8
E00000590,29.3,70.7
E00000591,35.5,64.5
E00000592,35,65
E00000593,31.2,68.8
E00000594,31,69
E00000595,41.8,58.2
E00000596,39,61
E00000597,35.4,64.6
E00000598,27.8,72.2
E00000599,39.7,60.3
E00000600,33,67
E00000601,36.9,63.1
E00000602,27.8,72.2
E00000603,30.1,69.9
E00000604,33.5,66.5
E00000605,28.5,71.5
E00000606,39.2,60.8
E00000607,30.7,69.3
E00000608,32.4,67.6
E00000610,40.4,59.6
E00000611,31.9,68.1
E00000612,31.6,68.4
E00000613,28.1,71.9
E00000614,29.9,70.1
E00000615,31.3,68.7
E00000616,33.3,66.7
E00000617,26.3,73.8
E00000618,30.5,69.5
E00000619,29.3,70.7
E00000620,33.3,66.7
E00000807,38.9,61.1
E00000808,28.6,71.4
E00000809,43.8,56.3
E00000811,29.8,70.2
E00000812,38.1,61.9
E00000819,34.1,65.9
E00000820,30.5,69.5
E00000821,25.2,74.8
E00000822,30.9,69.1
E00000823,33.7,66.3
E00000824,22.8,77.2
E00000825,35.4,64.6
E00000826,28.8,71.2
E00000827,34.2,65.8
E00000828,29.7,70.3
E00000829,32.5,67.5
E00000830,30,70
E00000831,29,71
E00000832,26.8,73.2
E00000833,30.5,69.5
E00000834,40,60
E00000835,31.5,68.5
E00000836,34.4,65.6
E00000837,38.1,61.9
E00000838,37.1,62.9
E00000839,29.2,70.8
E00000840,40.8,59.2
E00000841,33.3,66.7
E00000842,31,69
E00000843,31.8,68.2
E00000844,31.8,68.2
E00000845,42.9,57.1
E00000846,35,65
E00000847,34,66
E00000848,32.7,67.3
E00000849,40.8,59.2
E00000850,32,68
E00000851,28.4,71.6
E00000852,31,69
E00000853,32.1,67.9
E00000854,32.7,67.3
E00000855,35.6,64.4
E00000856,27.2,72.8
E00000857,29,71
E00000858,25.9,74.1
E00000859,32.2,67.8
E00000860,27.4,72.6
E00000861,35,65
E00000863,31.7,68.3
E00000864,30.6,69.4
E00000865,29.2,70.8
E00000866,32.6,67.4
E00000867,32.5,67.5
E00000868,34.8,65.2
E00000869,26.7,73.3
E00001248,27,73
E00001302,22.6,77.4
E00001305,30.1,69.9
E00001306,21.5,78.5
E00001307,27.8,72.2
E00001309,37.8,62.2
E00001310,35.1,64.9
E00001311,26.4,73.6
E00001312,30.5,69.5
E00001313,37.8,62.2
E00001314,34.1,65.9
E00001315,30.1,69.9
E00001316,29.1,70.9
E00001317,31.5,68.5
E00001318,36.1,63.9
E00001319,33.8,66.2
E00001320,33.9,66.1
E00001321,39.3,60.7
E00001322,32.9,67.1
E00001323,31.3,68.7
E00001324,36.9,63.1
E00001325,30.9,69.1
E00001326,24.8,75.2
E00001327,28.6,71.4
E00001328,30.5,69.5
E00001329,46.6,53.4
E00001330,31,69
E00001331,33.3,66.7
E00001338,31.9,68.1
E00001339,27.6,72.4
E00001343,34.1,65.9
E00001344,27,73
E00001345,29.8,70.2
E00001347,32.1,67.9
E00001348,32.4,67.6
E00001377,25.5,74.5
E00001378,27.8,72.2
E00001379,19.4,80.6
E00001387,31,69
E00001388,48.5,51.5
E00001571,28.9,71.1
E00001574,34.2,65.8
E00001575,24.6,75.4
E00001576,26.8,73.2
E00001578,25.1,74.9
E00006964,24.3,75.7
E00006968,36.9,63.1
E00007003,49.6,50.4
E00007006,30.5,69.5
E00007008,39,61
E00007013,32.5,67.5
E00007014,33.3,66.7
E00007017,35.7,64.3
E00007034,39.1,60.9
E00007035,35,65
E00007036,35.9,64.1
E00007037,31,69
E00007038,38.4,61.6
E00007039,28.5,71.5
E00007040,25.6,74.4
E00007041,36.6,63.4
E00007042,38.7,61.3
E00007043,34.4,65.6
E00007044,30.4,69.6
E00007045,34.2,65.8
E00007047,39.5,60.5
E00007049,33,67
E00007050,34.5,65.5
E00007052,28.4,71.6
E00007054,30.2,69.8
E00007055,32.8,67.2
E00007056,31.1,68.9
E00007058,28.9,71.1
E00007059,30.3,69.7
E00007060,32.5,67.5
E00007061,35.2,64.8
E00007062,43.6,56.4
E00007063,28.7,71.3
E00007064,54.5,45.5
E00007066,34.7,65.3
E00007067,31.9,68.1
E00007068,28.6,71.4
E00007069,33.9,66.1
E00007070,36.9,63.1
E00007071,37.1,62.9
E00007072,37,63
E00007073,32,68
E00007208,31.3,68.7
E00007210,34.8,65.2
E00007211,31.6,68.4
E00007212,20.1,79.9
E00007213,29.5,70.5
E00007215,32.2,67.8
E00007216,28.4,71.6
E00007217,25.8,74.2
E00007219,37.1,62.9
E00007224,31.7,68.3
E00007225,29.1,70.9
E00007228,32.9,67.1
E00007229,32.7,67.3
E00007230,30.9,69.1
E00007231,33.1,66.9
E00007234,31.4,68.6
E00007236,24.3,75.7
E00007237,31.6,68.4
E00007238,28.7,71.3
E00007240,37.1,62.9
E00007241,29.2,70.8
E00007242,27,73
E00007243,27,73
E00007244,29.1,70.9
E00007293,33.1,66.9
E00007294,26.4,73.6
E00007295,35.3,64.7
E00007296,27.4,72.6
E00007297,25,75
E00007298,30.2,69.8
E00007299,33.3,66.7
E00007300,34.6,65.4
E00007301,20.8,79.2
E00007302,31.3,68.7
E00007303,33.3,66.7
E00007304,29.4,70.6
E00007305,29.8,70.2
E00007306,33.1,66.9
E00007307,34.8,65.2
E00007308,33.3,66.7
E00007309,34.2,65.8
E00007310,33.6,66.4
E00007311,29.6,70.4
E00007312,30.6,69.4
E00007313,37.7,62.3
E00007314,22.4,77.6
E00007315,36.3,63.7
E00007316,26.7,73.3
E00007317,23.9,76.1
E00007318,28.3,71.7
E00007319,33.3,66.7
E00007320,35.6,64.4
E00007321,29.9,70.1
E00007322,29.7,70.3
E00007323,29.7,70.3
E00007324,22.3,77.7
E00007325,21,79
E00007326,32.5,67.5
E00007327,23.2,76.8
E00007328,25,75
E00007329,29.1,70.9
E00007330,23.7,76.3
E00007331,31.3,68.7
E00007332,26.6,73.4
E00007333,21.1,78.9
E00007334,25.5,74.5
E00007417,31.5,68.5
E00007418,32.6,67.4
E00007419,35.9,64.1
E00007420,35,65
E00007421,24.1,75.9
E00007422,51.3,48.7
E00007423,28.3,71.7
E00007426,35.8,64.2
E00007427,26,74
E00007428,27.4,72.6
E00007429,27.7,72.3
E00007430,25.7,74.3
E00007431,40.3,59.7
E00007432,37.9,62.1
E00007433,28.5,71.5
E00007435,32.9,67.1
E00007437,38.3,61.7
E00007440,31.3,68.7
E00007443,24.5,75.5
E00007452,34.2,65.8
E00007453,32.9,67.1
E00007454,31.4,68.6
E00007455,33.9,66.1
E00007456,36.5,63.5
E00007457,30.5,69.5
