areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00000576,3.4,5,47.9,43.7
E00000578,3,4.5,53.7,38.8
E00000579,5.1,22.6,38.4,33.9
E00000580,0,3.2,52.4,44.4
E00000581,1.6,38.5,46.2,13.7
E00000583,15.7,26.2,39.8,18.3
E00000584,4.2,3.3,60,32.5
E00000585,0,2.5,35.6,61.9
E00000586,0.8,13.7,50.8,34.7
E00000587,0.8,3.9,60.6,34.6
E00000588,3.1,4.6,61.5,30.8
E00000589,11,24.3,43.4,21.3
E00000590,3.4,5.1,72.6,18.8
E00000591,2.4,5.5,65.4,26.8
E00000592,14,23.5,45.6,16.9
E00000593,2.4,1.6,59.7,36.3
E00000594,2.3,15.3,49.6,32.8
E00000595,5.3,59.4,29.3,6
E00000596,15.6,16.3,37,31.1
E00000597,0.9,17.9,63.2,17.9
E00000598,0.8,2.3,49.6,47.4
E00000599,22.3,44.6,28.1,5
E00000600,0,15.4,69.2,15.4
E00000601,0,1.6,52.4,46
E00000602,24.4,38.2,32.1,5.3
E00000603,10.4,34.8,38.5,16.3
E00000604,24,44.4,24.6,7
E00000605,17.1,9.9,44.7,28.3
E00000606,23.4,34.8,34.8,7.1
E00000607,11.5,53.8,27.4,7.2
E00000608,2.3,14.8,61.7,21.1
E00000610,0,2.3,56.9,40.8
E00000611,0,0,30,70
E00000612,1.7,3.4,53,41.9
E00000613,5.3,3.8,33.3,57.6
E00000614,0.9,2.7,50.9,45.5
E00000615,1.6,8.2,50.8,39.3
E00000616,4.1,9.9,55.4,30.6
E00000617,1.6,56.7,26.8,15
E00000618,31.5,3.1,33.1,32.3
E00000619,4,2.4,42.7,50.8
E00000620,0.7,2.2,56.7,40.3
E00000807,18.7,42.1,32.7,6.5
E00000808,26.9,51.5,15.7,6
E00000809,20.4,51.6,26.9,1.1
E00000811,0.8,1.5,34.1,63.6
E00000812,7.1,2.8,35.5,54.6
E00000819,39.6,16.9,22.1,21.4
E00000820,3.3,5.8,46.7,44.2
E00000821,52.3,37.8,6.3,3.6
E00000822,20.2,33.3,30.3,16.2
E00000823,17.3,56.7,17.3,8.7
E00000824,0,33.3,44.4,22.2
E00000825,60.5,24.4,7.6,7.6
E00000826,11.3,60,23.5,5.2
E00000827,8.6,17.1,46.4,27.9
E00000828,16.1,29.5,31.3,23.2
E00000829,10.4,16.8,41.6,31.2
E00000830,22.3,55.5,17.4,4.9
E00000831,22.9,20.1,29.9,27.1
E00000832,0,9.8,44.6,45.5
E00000833,21.7,52.2,19.1,7
E00000834,1,6.9,37.3,54.9
E00000835,0,16.9,52.5,30.5
E00000836,2.5,8.3,35.5,53.7
E00000837,38.8,26.2,12.6,22.3
E00000838,26.1,60.9,10.4,2.6
E00000839,0.9,1.9,29.6,67.6
E00000840,23.6,54.6,19,2.9
E00000841,9.4,4.3,25.6,60.7
E00000842,24.2,29.4,30.7,15.7
E00000843,12.9,60.3,21.9,4.9
E00000844,1.8,4.5,50,43.8
E00000845,9.2,34.4,38.9,17.6
E00000846,2.1,4.1,72.4,21.4
E00000847,0.9,6.8,42.7,49.6
E00000848,0,2.6,56.4,41
E00000849,11.9,41.5,33.3,13.3
E00000850,1.9,10.3,60.7,27.1
E00000851,26.4,40.9,20.8,11.9
E00000852,0.9,1.9,53.8,43.4
E00000853,21,65.9,10.1,2.9
E00000854,0,5.9,63.9,30.3
E00000855,15.2,54.9,22,7.9
E00000856,0.8,5.6,52.8,40.8
E00000857,6,58.7,22.7,12.7
E00000858,1.4,35.9,42.8,20
E00000859,27.3,55.6,15.2,2
E00000860,2.4,18.5,45.2,33.9
E00000861,1.8,6.2,56.6,35.4
E00000863,0,16.7,48.3,35
E00000864,0.8,3.8,70.7,24.8
E00000865,3.2,10.3,64.5,21.9
E00000866,8.9,47.5,20.9,22.8
E00000867,7.7,33.3,43.6,15.4
E00000868,0,69.2,19.7,11.1
E00000869,10.6,45.5,23.5,20.5
E00001248,40.4,46.3,8.8,4.6
E00001302,10.4,17.6,28.8,43.2
E00001305,4,19.2,13.9,62.9
E00001306,34,30,15.8,20.2
E00001307,5,2.5,21.8,70.6
E00001309,3.8,36.2,25.4,34.6
E00001310,44.1,46.2,3.2,6.5
E00001311,2.5,4.1,5,88.4
E00001312,2.1,15,15.7,67.1
E00001313,10.3,24.3,17.8,47.7
E00001314,11.6,35.5,23.9,29
E00001315,38.8,41.4,14.7,5.2
E00001316,24.4,39.5,25.2,10.9
E00001317,0.8,3.1,67.2,28.9
E00001318,13.7,58.2,24.7,3.4
E00001319,13.1,13.1,55.4,18.5
E00001320,5.6,8.9,18.5,66.9
E00001321,2.4,12.1,28.2,57.3
E00001322,18.2,40.9,30.3,10.6
E00001323,2.3,5.5,18.8,73.4
E00001324,16.7,17.4,40.2,25.8
