geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E00139441,96.9,3.1
E00139442,97.1,2.9
E00139444,96.9,3.1
E00139446,99.3,0.7
E00139447,98.5,1.5
E00139449,97,3
E00139452,99.4,0.6
E00139455,96,4
E00139456,98.1,1.9
E00139459,97.6,2.4
E00139461,98.4,1.6
E00139466,98.1,1.9
E00139482,97.2,2.8
E00139484,97.5,2.5
E00139485,95.3,4.7
E00139486,98,2
E00139487,99.6,0.4
E00139489,96,4
E00139490,98.1,1.9
E00139491,97.3,2.7
E00139492,97.2,2.8
E00139495,96.6,3.4
E00139497,98.8,1.2
E00139498,97.1,2.9
E00139499,97.6,2.4
E00139500,97.2,2.8
E00139501,99.2,0.8
E00139502,98.8,1.2
E00139504,98.7,1.3
E00139505,96.3,3.7
E00139506,96.2,3.8
E00139507,97.2,2.8
E00139508,97.1,2.9
E00139697,94.1,5.9
E00139698,94.8,5.2
E00139700,95.3,4.7
E00139718,91.2,8.8
E00139719,95.7,4.3
E00139720,99.2,0.8
E00139721,95.6,4.4
E00139722,92.5,7.5
E00139723,91.7,8.3
E00139724,93.7,6.3
E00139725,93.7,6.3
E00139726,96.5,3.5
E00139727,93.4,6.6
E00139728,96.8,3.2
E00139729,92.9,7.1
E00139730,97.8,2.2
E00139731,93.6,6.4
E00139732,93.8,6.2
E00139733,95.8,4.2
E00139734,97.7,2.3
E00139735,97.8,2.2
E00139736,98,2
E00139737,96.4,3.6
E00139738,95.3,4.7
E00139739,97.8,2.2
E00139740,96.3,3.7
E00139741,95.9,4.1
E00139742,92.9,7.1
E00139743,94.6,5.4
E00139744,94.9,5.1
E00139745,96.6,3.4
E00139746,99.3,0.7
E00139747,93.3,6.7
E00139748,96.7,3.3
E00139749,97,3
E00139750,96.8,3.2
E00139751,98.1,1.9
E00139752,93.9,6.1
E00139753,96.4,3.6
E00139755,95.7,4.3
E00139756,95.1,4.9
E00139757,98.4,1.6
E00139758,95.4,4.6
E00139759,99.6,0.4
E00139760,98,2
E00139761,96.7,3.3
E00139762,95.9,4.1
E00139763,94.9,5.1
E00139764,98.5,1.5
E00139765,91.9,8.1
E00139774,98.8,1.2
E00139775,96.7,3.3
E00139776,96,4
E00139820,97.7,2.3
E00139821,97.3,2.7
E00140037,99.4,0.6
E00140038,97.8,2.2
E00140039,97.5,2.5
E00140040,97.2,2.8
E00140041,98.5,1.5
E00140042,95.4,4.6
E00140043,97.1,2.9
E00140044,95.6,4.4
E00140045,98.1,1.9
E00140046,99.2,0.8
E00140047,96.5,3.5
E00140048,99,1
E00140049,96.4,3.6
E00140050,96.7,3.3
E00140062,95.3,4.7
E00140065,94.2,5.8
E00140066,96.6,3.4
E00140067,96.9,3.1
E00140068,99,1
E00140069,93.1,6.9
E00140070,98.2,1.8
E00140071,96.5,3.5
E00140072,96.3,3.7
E00140073,97,3
E00140074,97.9,2.1
E00140075,99,1
E00140077,99.4,0.6
E00140078,96.4,3.6
E00140079,95.5,4.5
E00140080,97.8,2.2
E00140081,97.7,2.3
E00140082,99.5,0.5
E00140083,94.7,5.3
E00140084,97.8,2.2
E00140085,97.8,2.2
E00140090,99,1
E00140093,98.2,1.8
E00140094,98.5,1.5
E00140114,96,4
E00140115,96.2,3.8
E00140116,96.2,3.8
E00140117,99.2,0.8
E00140118,96.6,3.4
E00140119,99.6,0.4
E00140120,99.7,0.3
E00140121,96.5,3.5
E00140122,97.4,2.6
E00140123,97,3
E00140138,97.4,2.6
E00140139,99,1
E00140140,98.1,1.9
E00140141,96.1,3.9
E00140142,98.6,1.4
E00140143,96.1,3.9
E00140144,96,4
E00140145,98.7,1.3
E00140146,99.6,0.4
E00140147,98.5,1.5
E00140148,99.1,0.9
E00140149,98.6,1.4
E00140241,99.3,0.7
E00140246,97.4,2.6
E00140247,98.5,1.5
E00140248,98.8,1.2
E00190021,95.1,4.9
E00190023,95.9,4.1
E00190027,94.1,5.9
E00190028,97,3
E00190038,95.2,4.8
E00190041,97.6,2.4
E00190060,99.6,0.4
E00190066,98.6,1.4
E00190068,97,3
E00190069,96.3,3.8
E00190079,98.3,1.7
E00190095,95.6,4.4
E00190106,97.2,2.8
E00190107,93.1,6.9
E00190109,98.3,1.7
E00190115,96.7,3.3
E00190119,97.2,2.8
E00190125,96.9,3.1
E00190132,96.6,3.4
