areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00126481,1.1,0,0,98.9,0
E00126482,1.3,3,1.7,94.1,0
E00126483,1.4,2.8,1.1,94.4,0.4
E00126484,0,1.4,0,98.6,0
E00126485,2.9,0,1.1,92.9,3.2
E00126486,0.7,0.4,1.8,93.5,3.6
E00126487,1.6,2.7,1.6,93.4,0.8
E00126488,1.7,2,2,91.8,2.4
E00126489,0,3,1,96,0
E00126490,3.5,0,3.5,93,0
E00126491,3.8,0,3.4,91.8,1
E00126563,0,0.6,2.2,97.2,0
E00126564,2.4,0,1.5,96,0
E00126565,3.8,0,0,96.2,0
E00126568,0.4,0.4,0,99.2,0
E00126570,1.7,0,1,96.7,0.7
E00126571,1.1,0.4,0.4,97.8,0.4
E00126572,2.5,0,0.4,97.1,0
E00126573,0,0,1.1,98.5,0.4
E00126575,0,0,0.4,99.6,0
E00126578,2.2,1.3,1.3,93.9,1.3
E00126609,0,0,0,100,0
E00126612,0.8,1.3,5.5,92.4,0
E00126622,3.8,0,1.5,94.7,0
E00126623,0.3,0.3,2,96.4,1
E00126625,0,0.6,0.9,98.5,0
E00126626,1.3,0.3,0,98.3,0
E00126628,0,0,1,99,0
E00126630,0,0.3,0.3,99.3,0
E00126631,1.1,0,1.4,97.2,0.4
E00126632,6.6,0,0.5,92.9,0
E00126633,1.6,0,1.1,95.9,1.4
E00126637,1.9,0.4,2.3,95.4,0
E00126639,3.2,0,1.9,94.6,0.3
E00126643,1.1,0,2.2,96.1,0.6
E00126644,1.5,0,1.2,97.3,0
E00126645,0,0,0,99.6,0.4
E00126646,1.2,0,1.2,97.3,0.2
E00126648,0.9,0,2.2,96.7,0.2
E00126649,1.5,1.5,1.5,95.6,0
E00126651,2.5,4.7,3.3,89.4,0
E00126652,0,2,0,97,1
E00126654,0.8,0.4,2.7,96.1,0
E00126656,0.5,0,3,95.5,1
E00126657,0,2.4,0.5,96.6,0.5
E00126658,2.6,2.9,2.9,90.5,1
E00126661,3,3.9,0,93.1,0
E00126662,0.7,2.7,2,94.6,0
E00126663,2.1,0,4.1,93.8,0
E00126664,0.3,2.9,1.2,95.3,0.3
E00126666,1.1,0,1.9,97,0
E00126667,0,0.3,0.3,99.4,0
E00126668,0.6,0,1.6,97.8,0
E00126669,3.1,0.3,1,95.5,0
E00126670,0.5,0,0,99.3,0.2
E00126674,1.4,1.4,0.9,96.2,0
E00126675,2.7,0.9,2.7,93.2,0.5
E00126676,1.7,0,1.3,97,0
E00126677,3.2,0.3,2.6,93.9,0
E00126678,1.1,0.7,0,97.4,0.7
E00126700,0,0,1.5,98.5,0
E00126703,0.3,0,0,99.7,0
E00126704,0.5,0,1.1,98.2,0.3
E00126705,0.6,0,2.8,96.6,0
E00126706,0,0,0.4,99.6,0
E00126707,2.1,0,0.4,97.5,0
E00126708,0.4,0,1.2,98.4,0
E00126709,0,0,0.3,99.3,0.3
E00126711,2.3,0,0,97.7,0
E00126713,1.2,0,1.2,97.5,0
E00126720,1.3,0,1.6,96.6,0.6
E00126721,2.5,1.3,1.3,95,0
E00126722,0.8,0.8,3.6,94.1,0.8
E00126723,1.1,0.4,2.6,95.6,0.4
E00126724,0.3,0.6,0.6,97.8,0.6
E00126725,0.7,0,0.7,98.7,0
E00126727,3.7,0.9,1.9,92.2,1.2
E00126728,0,0,2.5,97.5,0
E00126729,0,0,0,99.7,0.3
E00126730,0,0.4,0,99.2,0.4
E00126731,0,0,0.4,99.6,0
E00126733,0.8,0,2.4,96.8,0
E00126734,2.1,0,1.4,96.2,0.3
E00126735,0,0,1.9,97.7,0.3
E00126736,1,0.2,1,97.8,0
E00126737,1.1,0.4,1.4,97.1,0
E00126738,1.2,0,0,97.6,1.2
