geography_code,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00097332,52.3,37.1,9.1,1.5,0
E00097337,60.7,33.6,5.6,0,0
E00097338,72.6,23.1,3.4,0.9,0
E00097339,58,34.1,7.2,0,0.7
E00097340,53.4,30.5,13.7,2.3,0
E00097341,50.4,30.6,17.4,1.7,0
E00097342,58,31.9,10.1,0,0
E00097348,52.8,36.2,10.2,0.8,0
E00097349,62.3,32.5,4.4,0.9,0
E00097350,70.9,24.3,4.1,0.7,0
E00097351,58,34.5,7.6,0,0
E00097352,58.7,35.8,5.5,0,0
E00097353,54.6,35.4,9.2,0.8,0
E00097354,58.1,32.5,9.4,0,0
E00097355,47.5,42.9,9.6,0,0
E00097356,51.7,32.2,11.9,2.5,1.7
E00097357,44.4,43.5,11.3,0.8,0
E00097358,48.4,38.9,12.7,0,0
E00097359,43.9,50.7,4.7,0,0.7
E00097360,73.9,21.8,4.2,0,0
E00097361,26.8,45.5,25.2,2.4,0
E00097362,61.2,28.9,9.9,0,0
E00097363,47.7,42,9.7,0.6,0
E00097364,26,59.6,12.5,1.9,0
E00097365,53.2,37.3,8.7,0,0.8
E00097370,50,38.1,11.5,0.4,0
E00097371,50.4,35.8,13,0.8,0
E00097373,39.1,50.8,10.2,0,0
E00097374,48.8,35.2,14.4,1.6,0
E00097375,53.7,32,14.3,0,0
E00097378,53,36.8,10.3,0,0
E00097379,31.6,39.5,28.1,0.9,0
E00097384,40.4,42.1,15.8,1.8,0
E00097385,42.3,40.1,16.8,0.7,0
E00097386,45.3,41.6,11.7,1.5,0
E00097397,34.6,34.6,28.6,2.3,0
E00097398,40.3,43.1,15.3,1.4,0
E00097399,44.3,40.5,13.7,1.5,0
E00097400,57.9,30.8,10.7,0.6,0
E00097401,43.8,36.8,17.8,1.6,0
E00097402,36.8,33.3,26.3,3.5,0
E00097403,32.1,41.1,25.9,0.9,0
E00097404,32.4,45,21.6,0.9,0
E00097405,41.4,42.2,15.5,0.9,0
E00097406,45.2,39.5,12.9,2.4,0
E00097407,60.3,25,14.7,0,0
E00097408,45.7,35.3,18.1,0.9,0
E00097409,38.6,41.4,17.9,2.1,0
E00097410,53.8,34.2,10.3,1.6,0
E00097411,35.7,47.1,16.4,0.7,0
E00097412,39,50.3,10.1,0.6,0
E00097413,67.8,22,10.2,0,0
E00097414,70.4,23.5,5.2,0.9,0
E00097415,13.6,70.3,16.1,0,0
E00097416,39.8,39.8,20.3,0,0
E00097417,60.3,26.2,12.7,0.8,0
E00097418,56.7,33.3,10,0,0
E00097419,36.8,37.6,24,1.6,0
E00097420,63.5,29.6,7,0,0
E00097421,37.9,44,13.8,4.3,0
E00097422,44,44,10.9,1,0
E00097423,29.8,44.7,22.8,1.8,0.9
E00097424,45.4,38.9,15.7,0,0
E00097425,48.7,31.3,19.1,0.9,0
E00097426,54.7,33,9.4,2.8,0
E00097427,50.6,35.8,11.1,2.5,0
E00097446,59.7,22.3,18,0,0
E00097447,19.4,45.3,33.8,1.4,0
E00097448,24.5,44.6,30.2,0.7,0
E00097449,12.7,37.3,48.3,1.7,0
E00097450,7.5,48.1,44.3,0,0
E00097451,69.2,26.2,4.6,0,0
E00097452,44.1,38.2,15.8,2,0
E00097453,51.7,38.1,9.5,0.7,0
E00097454,50.4,28.8,17.6,3.2,0
E00097455,52.6,29.3,13.8,4.3,0
E00097456,69.6,19.6,10.7,0,0
E00097457,44.6,46.5,8.9,0,0
E00097458,9.7,51.9,38.4,0,0
E00097459,6.1,39.5,54.4,0,0
E00097460,9.2,55.4,34.6,0.8,0
E00097461,9.8,34.3,55.9,0,0
E00097467,46.2,40.3,12.6,0.8,0
E00097468,35.2,43.8,21,0,0
E00097469,41.9,44.8,13.3,0,0
E00097470,35.9,49.6,13.7,0.8,0
E00097471,50.4,36.8,11.2,1.6,0
E00097472,37.6,39.3,20.5,1.7,0.9
E00097473,31.7,51.9,15.4,1,0
E00097474,40,40,17.6,2.4,0
E00097475,45,41.6,12.1,1.3,0
E00097476,44.4,39.5,15.3,0.8,0
E00097477,40.5,44,15.5,0,0
E00097478,36.7,35.8,26.7,0.8,0
E00097479,35.5,40.5,20.7,2.5,0.8
E00097480,14.8,27.8,56.5,0.9,0
E00097481,28.1,48.9,20.1,2.9,0
E00097482,54.2,38.2,7.6,0,0
E00097483,69.8,27.1,3.1,0,0
E00097484,67.8,27.3,5,0,0
E00097485,46.4,39.2,12.8,1.6,0
E00097486,52,38.5,8.8,0.7,0
E00097487,73.8,18.3,7.9,0,0
E00097488,65.7,29.9,3.7,0,0.7
E00097489,57.4,32,10.7,0,0
E00097499,30.5,51,18.5,0,0
E00097500,44.3,44.3,11.5,0,0
E00097501,44.3,38.9,14.8,1.3,0.7
E00097502,42.2,46.9,10.9,0,0
E00097503,32.5,47.6,18.3,1.6,0
E00097504,44,37.6,16.8,1.6,0
E00097505,40.9,40.9,15,3.1,0
E00097506,51.7,31.9,16.4,0,0
E00097507,22.5,29.7,45,2.7,0
E00097513,54.5,29.3,16.3,0,0
E00097514,41.5,25.4,33.1,0,0
E00097515,34.1,38.2,23.6,4.1,0
E00097516,31.5,38.7,25,4.8,0
E00097517,39.8,32.4,25.9,1.9,0
E00097518,33,45,20.2,1.8,0
E00097519,46.8,39.7,11.9,1.6,0
E00097520,37.4,48.7,12.2,1.7,0
E00097521,44.8,38.1,13.4,1.5,2.2
E00097522,51.1,32.8,16,0,0
E00097523,46,38.1,15,0.9,0
E00097524,38.1,41.6,19.5,0.9,0
E00097525,44.4,39.7,13.5,1.6,0.8
E00097526,43.2,29.6,27.2,0,0
E00097527,59,27.4,12,1.7,0
E00097528,45.6,41.6,10.4,2.4,0
E00097529,48.7,40.3,11,0,0
E00097531,68.5,26.8,3.9,0.8,0
E00097544,60,31.4,7.1,1.4,0
E00097545,57.5,22.5,20,0,0
E00097546,65.4,29.2,5.4,0,0
E00097547,61.7,26.3,12,0,0
E00097548,63.6,29.5,7,0,0
E00097549,49.6,35.4,15,0,0
E00097550,41.7,38.1,19,1.2,0
E00097551,40.1,37.3,21.5,1.1,0
E00097553,35.6,33.3,26.5,4.5,0
E00097554,12.4,64.8,20,2.8,0
E00097555,55.8,33.9,10.3,0,0
E00097556,27,47.8,24.3,0.9,0
E00097557,45.8,40.7,13.6,0,0
E00097558,20.4,51.5,26.2,1.9,0
E00097559,32.6,34.9,27.9,4.7,0
E00171125,30.1,66.2,2.9,0.7,0
E00171126,55,32.8,11.5,0.8,0
E00179294,50.7,43.7,5.6,0,0
E00179304,73.6,22.3,4.1,0,0
