geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00097332,2.1,31.3,28.7,37.9
E00097337,0,23.1,45.2,31.7
E00097338,0,12,37.6,50.4
E00097339,1.5,21.2,34.3,43.1
E00097340,1.6,11.6,62,24.8
E00097341,0.8,4.1,90.1,5
E00097342,1.7,10.2,72.9,15.3
E00097348,1.6,11.7,76.6,10.2
E00097349,0,10.3,65,24.8
E00097350,0,8.8,54.1,37.2
E00097351,5,14.9,57.9,22.3
E00097352,1.5,22.9,30.8,44.8
E00097353,0,15.4,70.8,13.8
E00097354,0.8,11.8,60.5,26.9
E00097355,1.5,27.2,42.1,29.2
E00097356,1.7,3.4,66.4,28.4
E00097357,4.1,23.6,41.5,30.9
E00097358,0,22.2,58.7,19
E00097359,1.3,38,39.3,21.3
E00097360,0,8.4,61.3,30.3
E00097361,0.8,34.1,59.3,5.7
E00097362,0.8,18.3,61.7,19.2
E00097363,0.6,27.3,46.6,25.6
E00097364,3.8,59.4,26.4,10.4
E00097365,1.6,23.8,45.2,29.4
E00097370,0,21.9,51.8,26.3
E00097371,1.6,8.9,85.5,4
E00097373,2.3,32,49.2,16.4
E00097374,0.8,22.4,57.6,19.2
E00097375,2.8,29.7,47.6,20
E00097378,0,7.7,85.5,6.8
E00097379,19.5,34.5,41.6,4.4
E00097384,0,17.5,79.8,2.6
E00097385,3.7,31.9,39.3,25.2
E00097386,2.9,36.5,36.5,24.1
E00097397,11.3,22.6,57.1,9
E00097398,1.4,31.5,47.3,19.9
E00097399,2.3,12.2,84,1.5
E00097400,0,21.4,50.3,28.3
E00097401,0.5,21.5,60.8,17.2
E00097402,1.7,17.2,75.9,5.2
E00097403,11.7,35.1,49.5,3.6
E00097404,0,8.8,89.4,1.8
E00097405,3.4,17.1,74.4,5.1
E00097406,1.6,8.8,88.8,0.8
E00097407,0,5.9,75.6,18.5
E00097408,0.9,11.2,62.1,25.9
E00097409,0.7,36,48.9,14.4
E00097410,2.7,23.4,45.1,28.8
E00097411,0.7,43.7,37.3,18.3
E00097412,1.9,37.9,50.9,9.3
E00097413,0,8.5,54.2,37.3
