geography_code,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00053670,14.8,28.1,45.3,9.4,2.3
E00053671,15.4,23.1,56.4,5.1,0
E00053672,17.2,46.3,27.6,5.2,3.7
E00053673,15.6,47.4,26.7,8.9,1.5
E00053674,37.9,30.3,25,6.1,0.8
E00053675,17.9,32.1,46.3,3.7,0
E00053676,20.6,29.8,36.9,10.6,2.1
E00053677,15.2,40.6,37,7.2,0
E00053678,10.7,32.7,53.5,3.1,0
E00053679,34.7,30.6,29.9,4.9,0
E00053680,23.1,36.2,32.3,6.2,2.3
E00053681,27,40.9,24.8,6.6,0.7
E00053682,24.6,54,15.9,4.8,0.8
E00053683,50,38.7,11.3,0,0
E00053684,3.7,12.8,74.3,9.2,0
E00053685,36.3,45.2,16.3,2.2,0
E00053686,14.5,59.3,24.8,1.4,0
E00053786,19.5,28,40.2,10.4,1.8
E00053787,15.8,20.8,59.4,3,1
E00053788,27.5,26.7,29,12.2,4.6
E00053789,32.3,35.5,24.7,5.4,2.2
E00053790,8.8,19.2,63.2,7.2,1.6
E00053791,14.5,32.5,40.2,11.1,1.7
E00053792,27.5,36.7,30,3.3,2.5
E00053793,29.1,34.5,29.7,4.7,2
E00053794,7.9,23,50.4,15.8,2.9
E00053795,23,32.4,33.8,7.4,3.4
E00053796,27.9,38.2,28.7,5.1,0
E00053797,35,30.9,26,7.3,0.8
E00053798,43,33.6,18,3.9,1.6
E00053799,34.5,33.1,25.9,2.9,3.6
E00053800,38.9,38.1,15.9,5.3,1.8
E00053801,39.5,39.5,19.4,1.6,0
E00053802,18.3,32.4,40.1,8.5,0.7
E00053803,23.6,34.8,31.7,6.8,3.1
E00053804,22.9,34,34.7,5.6,2.8
E00053805,15.4,39.6,34.1,8.8,2.2
E00053806,27.2,30.1,23.3,13.6,5.8
E00053807,13.4,29.9,40.2,11.3,5.2
E00053808,21.6,36,35.1,6.3,0.9
E00053809,22.1,32.4,33.1,10.3,2.2
E00053810,22.9,40,27.6,7.6,1.9
E00053811,26.3,36.4,24.2,8.1,5.1
E00053812,23.4,29,26.2,16.8,4.7
E00053813,19.5,32.9,32.9,6.1,8.5
E00053814,18.8,26.8,43.6,8.7,2
E00053815,19.7,40.9,31.8,6.8,0.8
E00053816,34.3,34.3,21.9,7.6,1.9
E00053817,39.5,29,26.6,4,0.8
E00053818,46.2,39.5,12.6,1.7,0
E00053819,41.5,32.4,19.7,4.9,1.4
E00053820,32.1,36.6,23.2,5.4,2.7
E00053821,10.6,21.7,56.5,8.7,2.5
E00053822,41.2,35.3,15.1,5.9,2.5
E00053823,40.2,32.6,20.5,6.1,0.8
E00053824,6.1,29.7,56.8,5.4,2
E00053825,40.9,29.5,24.8,3.4,1.3
E00053826,14.9,26.4,52.1,5,1.7
E00053827,21.1,32,44.5,0,2.3
E00053828,10.7,36.6,45.8,5.3,1.5
E00053829,19.9,38.5,28.6,10.6,2.5
E00053830,13.2,35.5,38.8,11.6,0.8
E00053831,20.3,32,39.9,5.9,2
E00053832,10.4,37.7,37.7,9.4,4.7
E00053833,28.1,33.1,30.6,7.4,0.8
E00053834,32.9,41,22.4,2.5,1.2
E00053836,37.6,38.3,19.5,3.8,0.8
E00053837,24.8,20.8,42.4,5.6,6.4
E00053838,28,16.6,47.8,5.7,1.9
E00053839,37,43.6,17.6,1.8,0
E00053841,39.2,32.3,18.5,6.9,3.1
E00053842,37.4,26.6,31.7,2.9,1.4
E00053843,30.8,32.7,27.9,8.7,0
E00053844,48.8,32,14.4,3.2,1.6
E00053845,40.6,31.9,21,2.9,3.6
E00053846,34.1,25.2,27.4,8.1,5.2
E00053847,33.6,21.6,24.8,14.4,5.6
E00053848,7.9,22.2,54.8,12.7,2.4
E00053850,18,21.3,45.9,12.3,2.5
E00053851,41.6,28.5,22.6,3.6,3.6
E00053852,17.4,26.8,37,13.8,5.1
E00053853,17.6,37.2,29.7,12.2,3.4
E00053854,17.3,39.4,31.5,10.2,1.6
E00053856,31.3,36.6,24.4,4.6,3.1
E00053857,21.2,24.8,46.9,4.4,2.7
E00053858,11.8,34.6,34.6,15,3.9
E00053859,36.1,26.8,24.7,5.2,7.2
E00053861,31.3,21.9,22.9,17.7,6.3
E00053862,22.3,36.7,23.7,12.2,5
E00053863,14.7,29.3,25.9,21.6,8.6
E00053864,12.2,32.5,52.8,2.4,0
E00053867,21,19.6,39.1,8.7,11.6
E00053868,38.5,28.7,27,4.1,1.6
E00053869,34.9,35.7,21.4,4,4
E00053870,24.2,29.5,30.3,13.6,2.3
E00053871,30.6,34.3,27.6,6,1.5
E00053873,18.2,27.3,39.6,9.1,5.8
E00053874,42.4,43.3,11.8,2,0.5
E00053875,21,41.9,30.6,4.8,1.6
E00053876,30.6,29.8,28.1,10.7,0.8
E00053877,31.7,39.3,25.7,2.7,0.5
E00053878,33.1,25,38.7,2.4,0.8
E00053879,25.2,36.3,28.1,7.4,3
E00054034,29.7,37,31.8,1.6,0
E00054035,42,37.5,19.3,1.1,0
E00054036,39.1,37.4,19.5,4,0
E00054037,32.7,49,17,0.7,0.7
E00054068,0.8,40.5,55.4,3.3,0
E00054069,22.4,34.2,41.6,1.8,0
E00054070,39,35,25.2,0.8,0
E00054071,27.1,32.9,32.9,5,2.1
E00054072,33.8,43.7,22.5,0,0
E00054073,16.9,22.9,57.6,2.5,0
E00054074,10.6,17.3,67.3,4.8,0
E00054075,12.7,16.4,70,0.9,0
E00054076,18.8,33.8,39.1,8.3,0
E00054127,10.1,33.8,39.6,12.9,3.6
E00054130,13.1,36.9,34.6,12.3,3.1
