areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00114240,95.9,2.3,1.8,0
E00114241,90.7,4,1.3,4
E00114242,93.3,6.3,0,0.4
E00114243,89.7,6.9,0.6,2.8
E00114245,90.4,7.8,0.3,1.6
E00114246,91.5,3.8,1,3.8
E00114247,93.3,4.3,0.5,1.9
E00114248,91.3,3.5,0.7,4.5
E00114249,91.2,5.5,2.4,1
E00114250,93,6.7,0.3,0
E00114251,92.7,4,1.3,2
E00114252,92.4,5.2,0,2.4
E00114257,90.9,6.3,1.7,1.1
E00114260,88,2.8,2.3,6.9
E00114261,90.5,7.8,0.7,1
E00114262,91.5,5.3,0.9,2.3
E00114263,91.8,5.2,1,2
E00114264,90.4,4.6,2.6,2.3
E00114265,92,2.1,1.4,4.5
E00114698,89.8,6.3,1.6,2.4
E00114702,95.9,2.9,0.8,0.4
E00114703,94.2,3.6,0.7,1.5
E00114704,88.7,6,2,3.3
E00114705,93.6,3.8,0.6,2
E00114797,93.7,3.9,1.6,0.8
E00114918,89.6,3.5,2.1,4.9
E00116263,92.4,6,0.3,1.3
E00116264,93.3,1.8,2.1,2.8
E00116265,90.7,5.5,1.7,2.1
E00116266,92.5,4.5,1.1,1.9
E00116267,96,2.9,0,1.1
E00116268,91.1,5.9,0.9,2.1
E00116269,93.3,4.1,0.6,2
E00116270,91.4,5,1,2.6
E00116272,92.4,4.2,0.8,2.5
E00116273,93,5.9,0.3,0.7
E00116274,92.5,5,1.1,1.4
E00116276,94.6,4.8,0.3,0.3
E00116277,90.9,4.5,3.4,1.1
E00116278,92.2,5.6,1.9,0.3
E00116279,91.6,4.8,1.6,1.9
E00116280,92.7,4.6,0.9,1.8
E00116281,88.2,8.4,0.7,2.7
E00116282,95.4,3.2,0.4,1.1
E00116283,89.3,3.2,1.1,6.4
E00116287,89.9,5.1,1.3,3.8
E00116291,95.2,2.6,1.3,1
E00116292,87.8,5.8,2.3,4.1
E00116293,96.1,1.9,1.3,0.6
E00116294,92.1,4.9,1.5,1.5
E00116295,93.4,4.7,0.3,1.6
E00116296,93.4,5.4,0,1.2
E00116297,93,5,0.2,1.9
E00116298,93.3,4,1.2,1.5
E00116299,95.1,2.9,0.3,1.6
E00116300,92.2,3.4,1.4,3.1
E00116301,89.4,6.1,1.4,3.1
E00116303,93.4,4.2,0.9,1.4
E00116304,91.5,5.4,1.8,1.3
E00116305,85.3,9.5,2.6,2.6
E00116306,91.5,4.2,0.3,3.9
E00116307,95.8,2.1,0.8,1.3
E00116308,91.9,6.1,0.7,1.4
E00167877,93.8,3.6,1.5,1.1
E00167878,94.1,1.3,1.7,3
E00167882,86.5,5.9,4.6,3
E00167883,92.1,6.2,0.3,1.4
E00167885,92.8,4.7,0,2.5
E00167921,91.1,4.8,1.2,2.8
E00167922,93,3.5,1.9,1.6
E00167923,92.9,3.3,2.4,1.4
E00167924,93.3,2.9,1.6,2.2
E00167925,90.7,5.3,1.8,2.2
E00167926,94.1,2.7,1.4,1.8
E00167927,92.2,4.3,1.7,1.7
E00167928,94.5,1,1.7,2.7
E00184866,89.7,6.9,0,3.4
E00184889,95.1,4.2,0,0.7
E00184921,97.3,2.3,0,0.4
E00184972,91.7,4.5,1.7,2.1
E00184973,92.5,5,0.8,1.7
E00184985,91.6,2.8,0.9,4.7
E00185022,95.1,2.1,1,1.8
