geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00037597,0.4,0.4,1.2,98,0
E00037598,0.8,0,0,99.2,0
E00037643,4,0.2,2.4,93.1,0.2
E00055464,3.2,1.6,3.5,89.8,1.9
E00055465,7,1.4,8,82.2,1.4
E00055466,9.5,4.9,8.3,77.3,0
E00055467,5.7,1.6,8.5,82,2.2
E00055468,8.5,2.3,4.9,84.2,0
E00055470,4.9,3.5,5.2,86,0.4
E00055471,5.8,2.7,7.7,83.8,0
E00055473,3.1,5.8,6.6,84.6,0
E00055474,1.2,6.9,6.9,85,0
E00055476,0,2.9,3.6,90.5,2.9
E00055477,4.8,2.2,4.8,88.2,0
E00055479,1.5,5.2,5.6,87.8,0
E00055480,6.8,3.2,2.1,87.9,0
E00055482,6.4,3,3.8,85.6,1.1
E00055483,9.2,5.1,10.3,71.8,3.6
E00055484,11.4,6.7,7.4,70.1,4.4
E00055485,19.6,4.4,2.3,72.7,0.9
E00055487,0,7.2,7.6,84.3,0.8
E00055488,6.3,0,1.7,91.4,0.7
E00055489,8.3,14.4,6.4,69.3,1.6
E00055490,3.3,2.7,6.7,87.3,0
E00055491,6.5,5.2,5.7,77.1,5.4
E00055492,11.2,0.8,2.2,85,0.8
E00055493,1.4,1.8,0.7,95.3,0.7
E00055494,4.3,5.9,7.9,81.9,0
E00055495,7.3,15.2,6.7,63.5,7.3
E00055496,2.8,0.4,1.4,94,1.4
E00055497,3.1,2.4,3.7,90.8,0
E00055498,3.6,6.8,9.6,80.1,0
E00055499,3.2,0.4,2.4,94,0
E00055500,2.7,3.7,5,88.3,0.3
E00055501,0.4,2.2,4,92.9,0.4
E00055502,2.3,0,0,97.7,0
E00055503,0.9,0,1.8,97.3,0
E00055505,4.7,3,2.7,89.6,0
E00055506,3.4,3.8,4.2,88.6,0
E00055507,6.5,5.1,2.8,85.2,0.5
E00055984,2.6,0,1.3,96.1,0
E00055985,0,0.3,1.6,98,0
E00055986,0.3,0.3,1.9,97.5,0
E00055987,0.6,0.3,1.7,97.5,0
E00055988,0.9,0,0.7,98.2,0.2
E00055989,0,0,0.7,98.9,0.4
E00055990,1.4,0,2.3,95.9,0.5
E00055991,0.3,0,0,99.7,0
E00055992,0.2,0,2.9,96.4,0.5
E00055993,0.9,0.6,4.6,93.9,0
E00055994,0.7,0.7,3.2,95.4,0
E00055995,0,0,0.8,99,0.3
E00055996,0.3,0,1.9,97.8,0
E00055997,6.7,0.3,1.6,91,0.3
E00055998,0,1.4,0,98.2,0.4
E00055999,0,0.3,0,99.7,0
E00056000,0,0,1.4,98.6,0
E00056001,0,0,0.4,99.6,0
E00056002,0,0,1,98.2,0.8
