areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00015257,76.3,22.8,1
E00015264,69.5,24.7,5.8
E00015268,72.7,25.3,2
E00015269,71.8,25.6,2.6
E00015270,80.4,17.1,2.5
E00015271,82.1,17.2,0.7
E00015272,83.8,14.1,2.2
E00015273,65.2,31,3.8
E00015274,80.1,16.6,3.3
E00015275,75.5,23.5,1.1
E00015276,79.9,18.5,1.6
E00015277,74.5,17.2,8.3
E00015278,75.4,19.6,5
E00015279,73.4,18.1,8.4
E00015709,45.5,47.2,7.2
E00015712,77.9,18.2,3.9
E00015717,67.5,29.8,2.6
E00015721,74.8,19.7,5.5
E00015732,80.2,15,4.8
E00015733,76.3,18,5.6
E00015734,87.8,6.8,5.3
E00015736,72.6,18.3,9.1
E00015738,71,24.5,4.5
E00015742,71.2,24.5,4.3
E00015743,69.3,25.4,5.3
E00015746,53.7,41.7,4.6
E00015748,80.3,17.7,2
E00015749,67.9,28,4.1
E00015751,74.9,24.1,1
E00015805,76.8,20.7,2.4
E00015809,76.1,21.6,2.3
E00015813,65.4,32.5,2.1
E00015837,73.9,22.4,3.7
E00015846,87.5,11.1,1.4
E00015937,86.7,12.5,0.8
E00015938,76.3,19.6,4.2
E00015940,76.4,19.9,3.6
E00015942,43.4,54.8,1.8
E00015944,83.1,16.5,0.4
E00015945,75.3,19.9,4.8
E00015946,79.6,17.4,3
E00015947,61.7,32.7,5.5
E00015949,73.6,18.3,8.1
E00015950,55,42,3
E00015951,72.4,25.8,1.8
E00015953,77.2,16.2,6.6
E00015954,76.9,20.4,2.7
E00015955,85.1,12.2,2.7
E00015958,82,12.5,5.5
E00015959,77.9,20,2.1
E00015960,80,15.3,4.7
E00015961,78.9,19.1,2
E00015962,82.6,16.6,0.8
E00015965,83,14.5,2.5
E00015966,81,14.3,4.7
E00015967,76.4,15,8.6
E00015968,76.3,15.1,8.6
E00015969,77.2,19.9,2.9
E00015970,84.7,12.6,2.7
E00015971,78.1,17.7,4.2
E00015972,85.6,13,1.4
E00015973,81.6,15.4,3
E00015974,85.2,11.2,3.6
E00015975,82.3,14.9,2.9
E00015976,90.4,9.3,0.3
E00015977,84.2,6,9.8
E00015978,87.5,10.8,1.7
E00015979,84.2,12,3.8
E00015980,81.2,14.7,4.1
E00022487,80.3,17.7,2
E00022488,82,17.6,0.4
E00022489,77.1,19.8,3.1
E00022490,78.8,16.5,4.7
E00022491,83,14.9,2
E00022492,78.8,18.2,3
E00022493,83.4,14.2,2.4
E00022494,82.5,16.4,1.1
E00022495,69.8,24.1,6
E00022497,81.6,15,3.4
E00022498,77.8,20.5,1.7
E00022499,73.4,22.9,3.8
E00022500,86.7,11.6,1.7
E00022501,87.5,10.5,2.1
E00022502,76.1,21.9,2
E00022503,80.1,17.7,2.2
E00022504,79.7,15.3,5
E00022505,72.6,23.7,3.8
E00022506,75.5,18.6,5.9
E00022509,79.7,18.2,2.1
E00022511,78.1,20.4,1.5
E00022512,81.6,15.7,2.6
E00022513,73.8,18.8,7.5
E00022514,81.1,15.9,3
