geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
W00000005,25.4,37.3,17.9,19.4
W00000006,39,37.7,13,10.4
W00000008,40.5,43.1,7.8,8.6
W00000009,33,29.1,15.4,22.5
W00000010,26.4,59,9,5.6
W00000011,35.2,42.4,11.2,11.2
W00000012,23,51.9,8.9,16.3
W00000013,29.8,33.1,19.7,17.4
W00000084,52,36,6.7,5.3
W00000086,45.9,25.5,15.3,13.3
W00000087,29.4,44.7,16.5,9.4
W00000088,30.6,50.7,9,9.7
W00000090,18,41,18,23
W00000100,27.4,50,12.9,9.7
W00000101,38.6,26.2,22.8,12.4
W00000102,16.3,56.6,16.3,10.9
W00000103,29.3,42.7,17.2,10.8
W00000104,33.1,33.9,12.1,21
W00000105,25,47.5,12.5,15
W00000106,27.1,42.1,10,20.7
W00000107,22.1,46,17.8,14.1
W00000108,29.5,42.4,12.4,15.7
W00000111,29.9,42.1,15,13.1
W00000112,34.4,28,14.4,23.2
W00000138,33.8,33.1,17.6,15.5
W00000141,20.2,36.7,12.8,30.3
W00000142,28.7,35.2,14.8,21.3
W00000156,28.7,38.6,13.9,18.8
W00000157,27.6,45.5,12.8,14.1
W00000158,28.1,39.3,13.3,19.3
W00000159,30.6,30.6,20.4,18.4
W00000160,34.3,37.3,16.4,11.9
W00000161,36.6,48.8,8.5,6.1
W00000162,29.1,35.9,20.5,14.5
W00000163,32,48.4,11.8,7.8
W00000164,37.4,42.9,13.2,6.6
W00009977,53.5,22.8,11,12.6
W00009978,31.7,39.2,16.7,12.5
W00009979,35.8,35.8,13.3,15
W00009980,56.3,20.5,15.2,8
W00009981,39.2,40.8,12.5,7.5
