areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02000001,51,36,7.5,5.5
E02000038,25.4,28.7,19.2,26.6
E02000039,25.1,28.3,17.7,28.9
E02000040,28.4,29.4,18.2,24
E02000041,23.5,27.5,18.8,30.2
E02000042,32.8,28.5,17.6,21.1
E02000043,19.4,28,20.1,32.5
E02000044,22.2,25.2,20.4,32.2
E02000045,30.7,26.2,19,24.1
E02000046,28.6,30.8,20.3,20.4
E02000047,22.8,24.9,19.4,33
E02000048,26.4,29.1,17.4,27
E02000049,26.9,24.7,19.7,28.7
E02000050,28.4,27.5,18.9,25.1
E02000051,31.6,30.9,16.3,21.2
E02000052,31.5,30,17.8,20.6
E02000054,31.2,27.6,17.6,23.7
E02000055,29.6,27.9,17.9,24.6
E02000056,24.5,30.8,17.1,27.6
E02000057,25.4,25.3,16.1,33.3
E02000058,32.5,29.6,14.4,23.5
E02000059,30.1,27,17.5,25.5
E02000060,29.9,23.8,12.7,33.7
E02000061,36.5,29.4,14.6,19.5
E02000062,31.1,23.6,18.7,26.6
E02000063,30.2,24.3,17.8,27.8
E02000064,30.2,30.3,20.1,19.4
E02000093,18.5,25.1,18.4,38.1
E02000094,21.1,25.8,19.5,33.5
E02000095,18,22.1,19.1,40.8
E02000096,18.7,26.7,18.4,36.1
E02000097,20.9,23.4,18.2,37.5
E02000098,21.6,25.6,18.2,34.6
E02000099,19.1,21.9,19.7,39.2
E02000100,19.9,24,19.4,36.7
E02000101,25.7,23,18.9,32.5
E02000102,25.8,21.1,17.2,36
E02000103,25.5,25.7,18.4,30.3
E02000104,25.4,21.8,16.1,36.7
E02000105,22,22.1,18.1,37.7
E02000106,28.4,23.9,16.3,31.4
E02000107,34.3,26.8,16.1,22.7
E02000108,19.2,23,19.1,38.7
E02000110,30,26.6,16.8,26.6
E02000111,18.5,20.1,18.2,43.2
E02000112,18.6,25.3,17.9,38.2
E02000113,25.5,24.6,18.3,31.6
E02000114,33.6,31.6,14.8,19.9
E02000115,38.4,30.4,15,16.2
E02000116,29.4,26,19,25.7
E02000117,33.9,21.6,17.2,27.3
E02000118,19.2,20.4,17.9,42.5
E02000119,31.7,24.3,17.8,26.2
E02000120,40,31.9,12.9,15.2
E02000121,20.3,22.1,18.4,39.2
E02000122,30,25.9,18.4,25.8
E02000123,33.8,26.1,17.8,22.3
E02000124,30.9,30.6,17.6,20.8
E02000125,30,27.2,19.1,23.8
E02000126,37.3,26.7,14.7,21.3
E02000130,31.3,33.3,16.5,18.8
E02000131,37,35.9,15.2,11.9
E02000132,41.3,34.1,13.9,10.8
E02000135,37.8,30,16.8,15.4
E02000137,33.2,33.2,15.8,17.8
E02000138,38.6,34.8,14.3,12.3
E02000139,31.4,31.7,17.6,19.3
E02000141,31.1,30.8,19,19.1
E02000147,24.7,31,16.3,28
E02000150,21,28.3,20.5,30.2
E02000156,24.6,32.7,17.3,25.4
E02000166,35.2,31.7,15.2,17.8
E02000167,37.7,33.9,12.3,16.1
E02000168,35.9,31.2,15.9,17
E02000169,29,33.2,17.3,20.4
E02000170,33.4,33.2,15.2,18.2
E02000171,36.3,32.8,13.8,17.1
E02000172,36,26.9,16.2,20.9
E02000173,40.7,29.6,13.9,15.8
E02000174,35.8,31.8,14.4,18
E02000175,39.6,33.8,13.3,13.3
E02000176,44.8,32,10.9,12.3
E02000177,36.3,30.5,14.5,18.7
E02000178,38.7,33.7,13.6,14
E02000179,38.1,28.3,15,18.5
E02000180,36.7,31.7,15.2,16.4
E02000181,34.5,35.8,15.6,14.1
E02000182,35.7,28.2,16.6,19.6
E02000183,42.5,29.5,13.2,14.8
E02000184,36.4,31.7,14.8,17.2
E02000185,43,26.3,13.3,17.4
E02000186,41.2,33.3,12.9,12.6
E02000187,36,27.4,14.5,22.1
E02000188,34.5,25.3,16.6,23.7
E02000191,50.7,32.3,9.3,7.8
E02000192,42.3,30.9,12.2,14.7
E02000193,52.6,30.8,9,7.6
E02000194,36.2,32.9,16.6,14.3
E02000195,23.6,29.1,18,29.2
E02000196,25.1,28.8,17.5,28.5
E02000197,25.4,27.6,19.3,27.7
E02000198,31.4,25.1,19.6,23.9
E02000199,25.8,27.5,21.5,25.2
E02000200,35.8,31.5,15.9,16.7
E02000201,36,29.4,16.7,17.9
E02000202,23.9,24,18.4,33.8
E02000203,33.6,25.5,15.5,25.3
E02000204,23,24.7,18,34.3
E02000206,33.5,27.3,18.3,20.9
E02000207,30.6,27.9,18.7,22.8
E02000208,31.1,23,18.9,27
E02000209,20.9,23.2,21.2,34.8
E02000210,27.1,30.6,18.9,23.4
E02000211,26.1,31.8,18.2,24
E02000212,22,24.3,21.5,32.1
E02000213,35,29,16,19.9
E02000214,20.8,32.4,20,26.9
E02000215,36.5,31.2,15.6,16.6
E02000216,32,28.1,17.9,22
E02000217,32.9,28.8,18.4,20
E02000218,19.4,29.7,19.7,31.1
E02000219,24,35.4,17.2,23.5
E02000221,27.5,25.1,19.3,28.2
E02000222,32.4,33.5,16.1,18.1
E02000223,20.8,21.6,19.5,38.1
E02000224,28.7,30.7,19,21.6
E02000225,21.8,26.3,20.6,31.3
E02000226,20.2,33.2,19.4,27.2
E02000227,30.5,30.3,17.4,21.9
E02000228,20.9,34.4,18.3,26.5
E02000229,25,24.9,20.9,29.3
E02000230,28.7,32.6,17.2,21.5
E02000231,18,32.7,18.6,30.6
E02000232,22.1,33,18.6,26.3
E02000233,22,33.1,20,25
E02000234,26,31.6,18.2,24.2
E02000235,20.5,36.1,20.2,23.3
E02000236,17,32.2,21.2,29.6
E02000237,25,33.6,17.5,23.9
E02000238,23.6,24.1,19.8,32.5
E02000239,18.3,24.7,19.9,37.1
E02000240,22.1,25.4,20.6,31.9
E02000241,22.2,26.7,18.9,32.2
E02000242,18.3,25.3,19,37.3
E02000243,27.1,24.3,18,30.6
E02000244,28.1,24.7,18.6,28.6
E02000245,25.8,23.9,20.3,30
E02000246,20.6,22.1,18.5,38.8
E02000247,24.7,23.5,19.8,32
E02000248,29.5,26.7,18,25.9
E02000249,25.2,23.3,19,32.5
E02000250,25.9,30.2,18.8,25.1
E02000251,18.2,21.4,17.5,43
E02000252,37.3,28.3,14.7,19.8
E02000253,28.4,23.4,19.8,28.4
E02000254,14.7,19.3,18,47.9
E02000255,27.5,29.1,18.4,25
E02000256,31.3,34.1,18.4,16.2
E02000258,28.4,26.6,16.6,28.4
E02000259,20.8,28.7,21.5,29
E02000260,17.9,20,16.1,46.1
E02000261,30.9,29.3,16,23.8
E02000262,34.7,29.3,16.2,19.9
E02000263,17.4,15.9,15.4,51.4
E02000264,32.2,31,17.4,19.5
E02000265,32.7,30.1,18.1,19.1
E02000266,24.9,22.7,17.5,34.8
E02000267,26.5,30.4,18.5,24.7
E02000268,30.2,33.1,16.6,20.1
E02000269,26.7,32.2,17.6,23.4
E02000270,33.7,30.7,16.4,19.2
E02000271,29,35.1,16.7,19.2
E02000272,24.6,28.5,19.3,27.5
E02000275,18.8,22.1,13.8,45.3
E02000276,26,31.1,20.8,22.1
E02000308,25.7,27.4,19.9,27
E02000309,24.5,22.6,19.3,33.6
E02000311,22.7,25.5,19.3,32.5
E02000312,28.3,30.4,18.3,23.1
E02000345,28.8,24.1,13,34.1
E02000346,30.9,34.8,16.4,17.8
E02000347,27.6,25.7,15.4,31.3
E02000348,30.4,23.9,14.8,30.9
E02000350,29.8,29.2,14.3,26.7
E02000351,34.7,35.5,15.6,14.1
E02000352,32,29.5,18.2,20.3
E02000353,28.9,31.5,17.8,21.8
E02000354,35.9,28,15.7,20.3
E02000355,29,27.5,17.8,25.8
E02000356,31.1,33.9,16.7,18.3
E02000357,34.4,24.1,17.1,24.4
E02000358,33.5,31.5,17.3,17.7
