areacd,heating_type_3a-001,heating_type_3a-002
E02000001,3.7,96.3
E02000038,1.5,98.5
E02000039,1.3,98.7
E02000040,1.2,98.8
E02000041,1.7,98.3
E02000042,2.2,97.8
E02000043,0.9,99.1
E02000044,1.9,98.1
E02000045,1.8,98.2
E02000046,2.1,97.9
E02000047,2.1,97.9
E02000048,1.7,98.3
E02000049,2.8,97.2
E02000050,1.5,98.5
E02000051,1.9,98.1
E02000052,1.9,98.1
E02000054,1.5,98.5
E02000055,3.5,96.5
E02000056,1.3,98.7
E02000057,2.1,97.9
E02000058,1.4,98.6
E02000059,2.2,97.8
E02000060,2.4,97.6
E02000061,2.8,97.2
E02000062,2.3,97.7
E02000063,2.6,97.4
E02000064,2.3,97.7
E02000093,1.5,98.5
E02000094,1.4,98.6
E02000095,1.6,98.4
E02000096,0.9,99.1
E02000097,1.5,98.5
E02000098,1.5,98.5
E02000099,2.4,97.6
E02000100,1.4,98.6
E02000101,1.9,98.1
E02000102,2.7,97.3
E02000103,1.8,98.2
E02000104,1.8,98.2
E02000105,2.2,97.8
E02000106,2.5,97.5
E02000107,3.1,96.9
E02000108,1.9,98.1
E02000110,2.1,97.9
E02000111,2.2,97.8
E02000112,2.1,97.9
E02000113,2.3,97.7
E02000114,2.2,97.8
E02000115,2.4,97.6
E02000116,3.2,96.8
E02000117,2.7,97.3
E02000118,2.2,97.8
E02000119,2.2,97.8
E02000120,3.2,96.8
E02000121,2.7,97.3
E02000122,1.8,98.2
E02000123,3.4,96.6
E02000124,2.2,97.8
E02000125,2.1,97.9
E02000126,2.8,97.2
E02000130,2,98
E02000131,2.2,97.8
E02000132,2.2,97.8
E02000135,2.5,97.5
E02000137,1.2,98.8
E02000138,1.2,98.8
E02000139,2.1,97.9
E02000141,2.4,97.6
E02000147,0.9,99.1
E02000150,1.2,98.8
E02000156,0.7,99.3
E02000166,1.9,98.1
E02000167,2.7,97.3
E02000168,1.7,98.3
E02000169,1.9,98.1
E02000170,2.7,97.3
E02000171,2.4,97.6
E02000172,2.3,97.7
E02000173,2.5,97.5
E02000174,2.3,97.7
E02000175,2.5,97.5
E02000176,3.2,96.8
E02000177,2.2,97.8
E02000178,2.8,97.2
E02000179,3.3,96.7
E02000180,2.9,97.1
E02000181,1.9,98.1
E02000182,3.1,96.9
E02000183,2.5,97.5
E02000184,3.3,96.7
E02000185,3.5,96.5
E02000186,3.9,96.1
E02000187,3.1,96.9
E02000188,3.4,96.6
E02000191,3.1,96.9
E02000192,2.6,97.4
E02000193,3.7,96.3
E02000194,2.7,97.3
E02000195,1.6,98.4
E02000196,1.5,98.5
E02000197,2.4,97.6
E02000198,2.4,97.6
E02000199,2.1,97.9
E02000200,2.9,97.1
E02000201,2.7,97.3
E02000202,2.2,97.8
E02000203,2.9,97.1
E02000204,2,98
E02000206,2.5,97.5
E02000207,2.9,97.1
E02000208,2.8,97.2
E02000209,2.3,97.7
E02000210,2.2,97.8
E02000211,1,99
E02000212,2.8,97.2
E02000213,2.9,97.1
E02000214,1.5,98.5
E02000215,2.9,97.1
E02000216,2.1,97.9
E02000217,2.4,97.6
E02000218,1.5,98.5
E02000219,1,99
E02000221,2.1,97.9
E02000222,1.5,98.5
E02000223,2.1,97.9
E02000224,2,98
E02000225,2.1,97.9
E02000226,1.2,98.8
E02000227,1.4,98.6
E02000228,0.7,99.3
E02000229,2,98
E02000230,1.2,98.8
E02000231,0.8,99.2
E02000232,0.8,99.2
E02000233,1.5,98.5
E02000234,1.4,98.6
E02000235,0.8,99.2
E02000236,0.6,99.4
E02000237,0.8,99.2
E02000238,1.3,98.7
E02000239,1.3,98.7
E02000240,1.9,98.1
E02000241,2.1,97.9
E02000242,1.9,98.1
E02000243,1.4,98.6
E02000244,2.3,97.7
E02000245,2.8,97.2
E02000246,2.5,97.5
E02000247,1.9,98.1
E02000248,2.5,97.5
E02000249,1.6,98.4
E02000250,1.2,98.8
E02000251,2.2,97.8
E02000252,3.2,96.8
E02000253,1.8,98.2
