areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02000001,50.4,19.7,8.7,9.8,11.5
E02000038,60.5,26.4,5.9,4.7,2.6
E02000039,65.1,23.6,4.8,3.4,3.1
E02000040,62.4,25.5,5.1,3.1,4
E02000041,52.3,30.1,8.5,5.3,3.8
E02000042,49.4,30,8,7.8,4.8
E02000043,57.3,26.6,5.2,6.1,4.8
E02000044,55.6,30.1,6.2,4.9,3.2
E02000045,58.5,28.1,6.6,4.4,2.4
E02000046,50.3,28.6,8,8,5.1
E02000047,46.4,34.5,8.8,6.1,4.1
E02000048,59.1,27.1,6.3,4.8,2.7
E02000049,50.8,35.2,7.2,3.4,3.4
E02000050,59.2,26.6,6.5,4.4,3.3
E02000051,55.2,26.3,7.1,6.1,5.4
E02000052,60.8,24,6.6,5.6,3
E02000054,45.9,30.5,9.4,8.4,5.8
E02000055,46.5,26.5,10.5,8.8,7.7
E02000056,62.6,24.1,5.6,4.4,3.4
E02000057,57,22.2,9.2,7.1,4.5
E02000058,57.5,25.8,7.6,5.5,3.7
E02000059,41.8,33,12.9,7.5,4.8
E02000060,58.8,23.7,7.5,6.3,3.7
E02000061,47.9,28.6,8.8,7.8,6.8
E02000062,46.6,34.1,9,6.3,4
E02000063,42.9,35.4,10.5,6.8,4.4
E02000064,51.9,28.8,8.1,7.1,4.1
E02000093,40.7,37,10.5,6.7,5
E02000094,43.8,35.8,9.3,6.5,4.6
E02000095,38.4,38.1,10.2,7,6.4
E02000096,45.9,38.7,6.9,4.6,3.9
E02000097,42.6,38,8.8,6.5,4.1
E02000098,43.7,36.7,8.9,5.7,5
E02000099,40.3,33.2,11.8,8.2,6.6
E02000100,43.1,38,6.3,5.9,6.6
E02000101,44.6,35.2,8.7,7,4.6
E02000102,43.8,35.1,11.1,6.5,3.5
E02000103,46.3,35.7,8,6,3.9
E02000104,40.6,36.9,10,7.5,5.1
E02000105,39.4,36.6,10.2,6.8,7
E02000106,39.5,35.6,10.9,8.8,5.2
E02000107,45,30.7,9.5,9.2,5.6
E02000108,39.7,37.9,9.9,6.7,5.9
E02000110,51.8,29.6,8.1,6.5,4
E02000111,32.9,34.3,14.5,10.9,7.3
E02000112,29.6,32,15.6,13.3,9.4
E02000113,52.4,37,5.3,3.3,1.9
E02000114,43.4,28.2,12,9.4,7
E02000115,48.6,29.2,9.8,7.6,4.8
E02000116,42.9,32.7,10.9,8.4,5
E02000117,50.1,34.9,7,4.3,3.7
E02000118,30.8,37.6,14.9,9,7.6
E02000119,50,35.7,6.7,4.3,3.3
E02000120,49.8,26.1,10.2,7.8,6.2
E02000121,31.9,37,14.8,9.1,7.1
E02000122,57.5,28.1,6.6,4.5,3.4
E02000123,48.5,32.9,8.2,6.1,4.2
E02000124,58.9,24,7.2,5.9,4
E02000125,59.6,27.7,5.7,4.2,2.8
E02000126,51.7,34.2,6.3,4.5,3.4
E02000130,74.9,17,4.3,2.4,1.4
E02000131,68.2,19.8,6.4,3.6,2.1
E02000132,70.3,17.9,6.1,3.4,2.4
