areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02000001,19.1,53.2,27.6
E02000038,13.3,51.4,35.3
E02000039,15,56.4,28.6
E02000040,13,51.7,35.3
E02000041,15,50.3,34.7
E02000042,14.9,50.2,34.9
E02000043,13.3,57.4,29.3
E02000044,17.6,44.8,37.6
E02000045,16.2,48.5,35.3
E02000046,17,53,30
E02000047,16.7,41.4,41.9
E02000048,15.9,54.2,29.9
E02000049,14.2,40.8,45
E02000050,16.4,48.7,34.9
E02000051,14.7,54.6,30.6
E02000052,17.6,56.3,26.1
E02000054,18.6,47.3,34.1
E02000055,20.3,46.5,33.2
E02000056,12.9,58.7,28.4
E02000057,18.8,46.9,34.3
E02000058,13.7,56.8,29.5
E02000059,17.7,46,36.3
E02000060,12.9,48.2,39
E02000061,14.7,51.3,34
E02000062,15.4,42.9,41.7
E02000063,14.9,42.9,42.2
E02000064,16.6,46.8,36.6
E02000093,15.4,46.5,38.1
E02000094,15.4,46.2,38.4
E02000095,15.9,46,38.1
E02000096,11.1,54.9,34.1
E02000097,14.1,47.3,38.6
E02000098,12.9,43.2,43.9
E02000099,16.2,44.3,39.5
E02000100,15.1,50.6,34.4
E02000101,14.9,39.3,45.9
E02000102,12.2,38.3,49.5
E02000103,15.3,42.4,42.3
E02000104,13.4,45,41.7
E02000105,15.4,39.6,45
E02000106,15.6,40.8,43.6
E02000107,17.7,40.5,41.8
E02000108,16,40.5,43.4
E02000110,15.5,48.1,36.4
E02000111,15.3,38.5,46.2
E02000112,18.2,41.3,40.5
E02000113,14.3,37,48.7
E02000114,18.2,43.2,38.5
E02000115,17.5,43.6,38.9
E02000116,15.6,37.5,46.9
E02000117,14.7,40,45.3
E02000118,15.5,37.2,47.3
E02000119,16.1,35.7,48.2
E02000120,18.6,47.3,34.1
E02000121,16,35.9,48.2
E02000122,18.1,46.7,35.2
E02000123,17.8,40,42.2
E02000124,19.1,51,29.9
E02000125,16,51.9,32.2
E02000126,16.6,39.7,43.6
E02000130,14.9,59.9,25.2
E02000131,19.5,50.3,30.2
E02000132,15.6,63.7,20.7
E02000135,15,47.6,37.4
E02000137,12.1,69.7,18.2
E02000138,11.7,72.9,15.4
E02000139,15.7,61.4,22.9
E02000141,15.7,58.8,25.5
E02000147,11.1,70.2,18.7
E02000150,14.3,62.9,22.8
E02000156,10.1,72.1,17.8
E02000166,13.9,57.6,28.5
E02000167,12.8,66.9,20.3
E02000168,17.5,54,28.4
E02000169,13.6,58.4,28.1
E02000170,16.8,53.1,30.1
E02000171,16.3,54.3,29.4
E02000172,16.6,42,41.4
E02000173,17.9,56.3,25.9
E02000174,17.9,46.7,35.4
E02000175,19.2,46.6,34.3
E02000176,16.1,62.3,21.6
E02000177,16.1,46.3,37.6
E02000178,15.7,45.1,39.2
E02000179,14.6,52,33.4
E02000180,21.1,44.9,33.9
E02000181,19,52,29
E02000182,15.6,46.9,37.4
E02000183,16.3,55.5,28.2
E02000184,22.4,37.1,40.4
E02000185,15.4,43.3,41.3
E02000186,21.2,42.5,36.3
E02000187,17.3,37.1,45.6
E02000188,21.2,34.9,43.9
E02000191,23.9,30.6,45.6
E02000192,16,44.4,39.6
E02000193,18.6,42.5,38.8
E02000194,15.4,55.8,28.8
E02000195,15.1,55.1,29.9
E02000196,13.6,50.4,36
E02000197,15.1,51,33.9
E02000198,18.9,44,37.1
E02000199,17.4,48.7,33.9
E02000200,18.1,51.1,30.8
E02000201,17.1,49.3,33.6
E02000202,16,47.1,36.9
E02000203,14.9,44.2,40.9
E02000204,15.6,43.9,40.5
E02000206,18.5,44.7,36.8
E02000207,16.1,46.2,37.7
E02000208,16.1,42,42
E02000209,16,39.6,44.4
E02000210,17.4,52.3,30.3
E02000211,12.6,64.5,22.9
E02000212,15.8,40.5,43.7
E02000213,18.9,42.5,38.6
E02000214,13.4,63.2,23.4
E02000215,17.6,50.2,32.3
E02000216,12.3,60.3,27.4
E02000217,18.2,46.8,35
E02000218,13.8,54.5,31.7
E02000219,11.2,66.3,22.5
E02000221,15.3,48.3,36.4
E02000222,14.2,59.4,26.4
E02000223,11.8,45.1,43.1
E02000224,16.7,53.2,30.1
E02000225,13.1,51.9,35.1
E02000226,11.5,65.7,22.9
E02000227,13.4,63.4,23.2
E02000228,9.3,70.8,19.9
E02000229,12.2,51.4,36.4
E02000230,12.9,60.1,27
E02000231,13.4,61.7,24.9
E02000232,12.3,66.4,21.4
E02000233,13.8,61.2,25
E02000234,12.5,62.3,25.2
E02000235,12.4,69.1,18.5
E02000236,14.1,64.1,21.8
E02000237,12.2,70,17.8
E02000238,16.7,45.3,37.9
E02000239,13.7,51.5,34.8
E02000240,15.1,42.6,42.4
E02000241,14.5,46.9,38.6
E02000242,15.4,45,39.6
E02000243,14.5,47.2,38.3
E02000244,14.5,48.7,36.7
E02000245,14.9,40.2,44.9
E02000246,14.3,40.7,45
E02000247,13.9,43.5,42.7
E02000248,13.9,48.8,37.3
E02000249,14.6,45.4,40
E02000250,13.3,62.4,24.3
E02000251,15.6,42.4,42.1
E02000252,25.1,34.2,40.7
E02000253,12.8,45.3,41.8
E02000254,14.9,38.9,46.2
E02000255,13.9,53.8,32.4
E02000256,17.8,55.6,26.6
E02000258,17.7,46.4,35.9
E02000259,15.8,55.1,29.1
E02000260,15.3,34.7,50
E02000261,18.7,41.7,39.7
E02000262,18.4,43.6,38
E02000263,14.4,33.3,52.3
E02000264,18.8,51.9,29.2
E02000265,17.9,46.5,35.6
E02000266,13.8,38.3,48
E02000267,15.5,51.9,32.6
E02000268,15.7,55.6,28.6
E02000269,15.4,61.9,22.6
E02000270,17.8,40.7,41.5
E02000271,16.9,60.7,22.3
E02000272,15.1,60.4,24.6
E02000275,14.3,36.8,48.9
E02000276,18,53.2,28.8
E02000308,15.2,49.5,35.3
E02000309,14,38.1,47.9
E02000311,16,45.6,38.4
E02000312,16.8,51.5,31.7
E02000345,13.1,34.1,52.8
E02000346,16.9,37.8,45.3
E02000347,10.4,35.3,54.3
E02000348,12.5,35.2,52.3
E02000350,19.7,40,40.3
E02000351,18.8,44.3,36.8
E02000352,14.2,45.4,40.4
E02000353,17.5,47.2,35.2
E02000354,17.1,39.3,43.6
E02000355,17.5,44.8,37.6
E02000356,19.9,48.3,31.9
E02000357,15.3,39.1,45.6
E02000358,17.6,44.7,37.7
E02000359,19.7,39.5,40.8
E02000360,14.1,41.2,44.8
E02000361,21.2,39.7,39.1
E02000362,16.2,39.4,44.4
E02000363,17,41,42
E02000364,18.2,47,34.8
E02000366,15.9,45,39.1
E02000367,22.4,41.4,36.1
E02000368,15.4,41.6,43
E02000369,17.7,41.4,40.9
E02000370,19,40,41
E02000372,18,42.7,39.3
E02000373,16.3,38.1,45.5
E02000374,16.4,44.5,39.1
E02000375,19.8,45.1,35.1
E02000376,21.2,46.3,32.5
E02000377,19,45.3,35.7
E02000378,21.5,48.5,30
E02000379,15.9,52.6,31.5
E02000380,16.9,53.6,29.5
E02000381,17.7,53.4,28.9
E02000382,17.5,50.6,31.9
E02000383,20.4,47.6,32
E02000384,17.6,42.2,40.3
E02000385,25.2,48.1,26.7
E02000386,20,42.6,37.5
E02000387,21.3,44.2,34.5
E02000388,19.6,50.1,30.3
E02000389,20.6,52.7,26.7
E02000390,19.6,50.1,30.3
E02000391,16.5,54.3,29.2
E02000392,19.3,48.7,32
E02000393,19.6,54.7,25.7
E02000394,18.4,49,32.6
E02000395,17,62.5,20.5
E02000396,16.6,53.6,29.7
E02000397,17.2,47.1,35.7
E02000398,15.3,39.3,45.4
E02000400,15.8,47.6,36.6
E02000401,14.8,39.3,45.9
E02000402,17.3,36.7,46
E02000403,21,43.8,35.3
E02000404,16.2,39.9,43.9
E02000405,17.1,58.7,24.1
E02000406,18.3,39.8,41.9
E02000407,15.8,40.2,43.9
E02000408,14.9,41.4,43.7
E02000409,15,43.2,41.8
E02000410,21.1,55.7,23.2
E02000411,23.1,34.8,42.2
E02000412,18.2,40,41.9
E02000413,13.4,56.1,30.5
E02000414,17.6,45.3,37.1
E02000415,19.3,45.2,35.5
E02000416,16.4,48,35.6
E02000417,15.6,62.2,22.2
E02000418,15.4,63.5,21
E02000419,21.1,44,34.9
E02000420,16.8,42.7,40.5
E02000421,21.1,35.2,43.7
E02000422,17.9,42.2,39.9
E02000423,21.3,41.9,36.9
E02000424,17.5,53.2,29.3
E02000425,15.8,33.9,50.4
E02000426,14,61,25
E02000427,23.7,46.3,30
E02000428,21.3,36.9,41.9
E02000429,16.8,62,21.3
E02000430,17.9,57.5,24.7
E02000431,17.9,61.2,20.9
E02000432,16.5,51.8,31.7
E02000434,13.9,53.4,32.8
E02000435,11.4,50.9,37.7
E02000436,12.2,63.5,24.3
E02000437,12.1,53.9,34
E02000438,12.6,52.2,35.2
E02000439,15.2,44.6,40.2
E02000440,13.2,53.1,33.6
E02000441,11.7,54.8,33.4
E02000442,17.4,43.2,39.4
E02000443,13.8,41,45.2
E02000444,13.5,49.3,37.1
E02000445,14.2,43.1,42.7
E02000447,14.8,53.6,31.6
E02000448,14,63.2,22.9
E02000449,13.3,46.2,40.5
