areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02000001,66.9,4.1,29.1
E02000038,60.6,3.6,35.8
E02000039,62.4,3.3,34.2
E02000040,59.8,3.4,36.8
E02000041,60.1,4.3,35.6
E02000042,59.3,4.9,35.8
E02000043,61.7,2.7,35.6
E02000044,61.1,5.4,33.5
E02000045,60,5.3,34.7
E02000046,67,4.5,28.4
E02000047,56.8,5.3,37.9
E02000048,59.8,3.8,36.3
E02000049,58,6.4,35.6
E02000050,58.8,5.5,35.7
E02000051,57.9,5.4,36.7
E02000052,64.4,4.5,31.2
E02000054,61,4.5,34.4
E02000055,60.9,6,33.1
E02000056,59.2,2.8,38
E02000057,59.6,4.8,35.6
E02000058,59.8,3.2,37
E02000059,62.9,4.8,32.3
E02000060,58.5,3.2,38.3
E02000061,61,3.7,35.3
E02000062,57,6.1,36.9
E02000063,56.4,5.2,38.4
E02000064,59.8,5.1,35.1
E02000093,61.1,4.4,34.5
E02000094,60.3,4.9,34.9
E02000095,59.5,4.5,36
E02000096,58.6,3.3,38.1
E02000097,58.8,4.3,36.9
E02000098,54.3,4.4,41.3
E02000099,62.5,4.3,33.3
E02000100,58.6,5.1,36.2
E02000101,54.1,5.7,40.2
E02000102,51.8,5.1,43.1
E02000103,54.2,6.1,39.7
E02000104,57.2,4.4,38.3
E02000105,58.7,4.6,36.6
E02000106,54.3,6.7,39
E02000107,61,4.9,34.2
E02000108,60,4.8,35.3
E02000110,58.7,5.5,35.8
E02000111,58.7,4.6,36.7
E02000112,62.7,5.4,31.9
E02000113,46.4,7.8,45.8
E02000114,63.2,5.5,31.4
E02000115,60.8,5.2,34
E02000116,55.7,6.3,37.9
E02000117,51.8,7.1,41
E02000118,61.1,4.6,34.3
E02000119,54.1,6.8,39.1
E02000120,66.4,5.6,28
E02000121,59.9,4.8,35.4
E02000122,61.2,5.4,33.4
E02000123,57.6,6.4,36.1
E02000124,65.4,4.3,30.3
E02000125,64.8,4.7,30.5
E02000126,57.2,7.9,34.8
E02000130,66.8,4.1,29.1
E02000131,72.3,5,22.7
E02000132,67.3,4.3,28.5
E02000135,61,5.2,33.8
E02000137,62.3,3,34.7
E02000138,60.4,3,36.6
E02000139,67.4,3.3,29.3
E02000141,67.2,4.8,28.1
E02000147,57.4,2.3,40.2
E02000150,61.8,3.7,34.5
E02000156,57.4,2.4,40.2
E02000166,56.2,4.6,39.2
E02000167,63.8,2.7,33.5
E02000168,65.5,4.1,30.4
E02000169,62.1,2.9,35
E02000170,67.6,3.6,28.8
E02000171,63.8,4.1,32.1
E02000172,52.8,6,41.2
E02000173,66.7,3.7,29.6
E02000174,60.2,5.1,34.6
E02000175,67.6,4.6,27.8
E02000176,69.7,3,27.3
E02000177,57,5.6,37.4
E02000178,63.4,5,31.6
E02000179,60.5,4.4,35.1
E02000180,60.2,6,33.8
E02000181,70.7,3.9,25.4
E02000182,58.6,4.3,37.1
E02000183,59.7,3.9,36.4
E02000184,50.9,6.7,42.4
E02000185,53.7,6.1,40.2
E02000186,57.2,5.8,37
E02000187,45.1,7,47.9
E02000188,45.3,7,47.7
E02000191,42.7,5.2,52.1
E02000192,54.8,5.7,39.5
E02000193,51.3,5.3,43.4
E02000194,66.9,4.7,28.4
E02000195,59.2,4.7,36
E02000196,57.9,4.8,37.2
E02000197,60.9,5.2,33.9
E02000198,60.8,6.7,32.4
E02000199,63,5.5,31.5
E02000200,64.4,5,30.6
E02000201,61.8,6.5,31.7
E02000202,57.7,5.4,37
E02000203,59.1,5.2,35.7
E02000204,57,5.8,37.1
E02000206,61.2,6.6,32.2
E02000207,60.5,6.5,33.1
E02000208,58,5.9,36.1
E02000209,60.5,4.6,35
E02000210,66,4.5,29.5
E02000211,59.8,3.3,37
E02000212,58.6,6.3,35.1
E02000213,60.6,6.9,32.5
E02000214,60.9,3.9,35.2
E02000215,65.1,4.7,30.2
E02000216,60.3,4.2,35.5
E02000217,66.6,5.2,28.2
E02000218,54.5,5.4,40.1
E02000219,56,2.7,41.3
E02000221,59.7,5.9,34.5
E02000222,66.8,4.1,29.1
E02000223,53.3,6.9,39.9
E02000224,68,4.2,27.8
E02000225,58,4.8,37.2
E02000226,56.5,3,40.5
E02000227,61,3.6,35.5
E02000228,57.1,2.4,40.5
E02000229,53.7,4.6,41.7
E02000230,59.3,3.6,37.2
E02000231,58.9,2.8,38.3
E02000232,57.2,2.9,39.9
E02000233,63.5,3.2,33.3
E02000234,61.5,3.8,34.7
E02000235,61.6,2.7,35.7
E02000236,66,3.1,31
E02000237,57.4,3.1,39.6
E02000238,64,4.6,31.4
E02000239,61.5,3.9,34.6
E02000240,56.4,5.3,38.3
E02000241,60.6,5.3,34.1
E02000242,58.2,5.1,36.7
E02000243,58.4,4.7,36.9
E02000244,59.1,5,35.9
E02000245,56.5,5.2,38.3
E02000246,56.6,5.7,37.7
E02000247,55.7,5.6,38.7
E02000248,60.5,4.6,34.9
E02000249,57.8,4.9,37.3
E02000250,60.8,3.1,36.1
E02000251,57.9,4.7,37.3
E02000252,51.7,7.2,41.1
E02000253,52.8,5.5,41.7
E02000254,53.4,5,41.6
E02000255,58.2,5.4,36.4
E02000256,66.8,4.2,29
E02000258,61.8,5.3,32.9
E02000259,64.2,4.3,31.6
E02000260,48.6,6.2,45.2
E02000261,62.8,6.1,31.2
E02000262,64.3,5.2,30.5
E02000263,50.9,6.2,42.9
E02000264,63.9,4.8,31.3
E02000265,60.9,6.1,33
E02000266,52.9,6.2,40.9
E02000267,65.2,4.6,30.1
E02000268,62.5,4.7,32.8
E02000269,67.2,4,28.8
E02000270,65.1,5.5,29.3
E02000271,66.2,3.8,30
E02000272,62.4,3.6,34
E02000275,51.7,5,43.3
E02000276,67.6,4.4,28.1
E02000308,61.8,4.8,33.5
E02000309,53.7,5.8,40.5
E02000311,55.6,6.7,37.7
E02000312,63.4,4.9,31.8
E02000345,60,3.8,36.1
E02000346,60.4,6.4,33.2
E02000347,58.6,4.7,36.7
E02000348,55.1,5.8,39.1
E02000350,67.2,5,27.7
E02000351,70,4.6,25.5
E02000352,65,4.3,30.7
E02000353,69.6,4.6,25.8
E02000354,61.7,5.5,32.8
E02000355,66.3,5.5,28.2
E02000356,72.5,3.7,23.8
E02000357,53.6,6.5,39.9
E02000358,67.3,5.6,27.1
E02000359,62.8,5.2,32.1
E02000360,59.6,6.2,34.2
E02000361,70.2,5.3,24.5
E02000362,60.9,6.7,32.4
E02000363,55.8,7.3,37
E02000364,66.3,5.4,28.3
E02000366,59.3,6.1,34.6
E02000367,71.8,5.3,22.9
E02000368,58.8,6.5,34.7
E02000369,67.4,5,27.6
E02000370,64.6,5.5,29.9
E02000372,54.2,5.9,39.8
E02000373,53.8,6.9,39.3
E02000374,59.4,5.9,34.8
E02000375,62.3,5.8,31.9
E02000376,66.8,5.7,27.5
E02000377,63.3,5.9,30.8
E02000378,66.9,5.8,27.3
E02000379,63.1,4.6,32.3
E02000380,66.3,4.4,29.3
E02000381,65.4,4.5,30.1
E02000382,63.2,4.5,32.2
E02000383,60.4,5.2,34.4
E02000384,60.6,5.2,34.2
E02000385,70.2,4.3,25.5
E02000386,59.4,6.4,34.2
