areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02000001,2,98,0
E02000038,52.5,47.4,0.1
E02000039,63.3,36.7,0
E02000040,54.9,45.1,0.1
E02000041,64.4,35.6,0.1
E02000042,36.6,63.2,0.1
E02000043,76.9,23.1,0
E02000044,71.5,28.5,0
E02000045,47.3,52.7,0
E02000046,41.3,58.6,0
E02000047,57.8,42.2,0
E02000048,58.6,41.4,0
E02000049,33.7,66.3,0
E02000050,49.1,50.9,0
E02000051,35.9,64,0
E02000052,38.6,61.3,0.1
E02000054,43.9,56.1,0.1
E02000055,33.3,66.7,0
E02000056,62.7,37.3,0
E02000057,52.9,47.1,0
E02000058,59.3,40.7,0
E02000059,42.5,57.5,0
E02000060,51.8,48.2,0
E02000061,37.8,62.1,0.1
E02000062,47.9,52,0.1
E02000063,58.4,41.5,0.1
E02000064,28.3,71.6,0.1
E02000093,70,30,0
E02000094,54.7,45.2,0.1
E02000095,70,29.9,0.1
E02000096,77.9,22.1,0
E02000097,74,25.9,0.1
E02000098,66.1,33.9,0
E02000099,60.3,39.6,0.1
E02000100,78.8,21.1,0
E02000101,40,59.9,0.1
E02000102,60.1,39.8,0.2
E02000103,48.3,51.6,0.1
E02000104,58.1,41.8,0.1
E02000105,52.9,47,0.1
E02000106,48.5,51.4,0.1
E02000107,26,74,0
E02000108,58.4,41.6,0
E02000110,48.9,51.1,0.1
E02000111,51.5,48.5,0
E02000112,51.6,48.3,0.1
E02000113,48.1,51.7,0.2
E02000114,23.8,76.1,0
E02000115,10.1,89.8,0.1
E02000116,23,76.9,0
E02000117,29.5,70.4,0.1
E02000118,58.9,41,0.1
E02000119,25.7,74.1,0.2
E02000120,16.6,83.2,0.2
E02000121,44.2,55.7,0.1
E02000122,44.4,55.5,0.1
E02000123,22,77.9,0.1
E02000124,30.4,69.6,0.1
E02000125,45.2,54.7,0
E02000126,5.4,94.5,0.1
E02000130,55,44.8,0.1
E02000131,13.8,86.1,0.1
E02000132,26.5,73.5,0.1
E02000135,27.1,72.8,0
E02000137,47.6,52.4,0.1
E02000138,39.1,60.9,0
E02000139,61.6,38.4,0
E02000141,49.6,50.3,0.1
E02000147,73.8,26.2,0
E02000150,86.6,13.4,0.1
E02000156,80.1,19.3,0.6
E02000166,27.6,72.4,0
E02000167,34,65.8,0.1
E02000168,25.5,74.5,0
E02000169,22.5,77.5,0
E02000170,23.4,76.6,0
E02000171,22.3,77.6,0
E02000172,15.5,84.5,0
E02000173,12.8,87.2,0
E02000174,13.1,86.8,0
E02000175,11.9,88,0.1
E02000176,6.7,93.3,0
E02000177,12.3,87.7,0
E02000178,9,91,0.1
E02000179,17.1,82.8,0.1
E02000180,15,84.9,0.1
E02000181,5.9,94.1,0
E02000182,11.2,88.6,0.2
E02000183,20.3,79.7,0
