areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02000001,8.7,51,40.3
E02000038,10.6,25.4,64
E02000039,9.2,25.1,65.7
E02000040,8.6,28.4,63.1
E02000041,14.5,23.5,62
E02000042,10.7,32.7,56.6
E02000043,10.2,19.4,70.4
E02000044,13.6,22.2,64.3
E02000045,9.1,30.7,60.2
E02000046,13.1,28.5,58.5
E02000047,16.3,22.8,60.9
E02000048,10.2,26.4,63.4
E02000049,11.8,26.9,61.3
E02000050,10.3,28.4,61.2
E02000051,9.8,31.6,58.7
E02000052,10.1,31.5,58.4
E02000054,16,31.2,52.9
E02000055,16.3,29.6,54
E02000056,10.1,24.5,65.4
E02000057,13.8,25.4,60.8
E02000058,9.4,32.5,58.1
E02000059,15.6,30.1,54.3
E02000060,11.2,29.9,58.8
E02000061,11.5,36.5,52
E02000062,13.9,31.2,55
E02000063,13.1,30.2,56.7
E02000064,12.1,30.2,57.7
E02000093,21.3,18.5,60.2
E02000094,18.1,21.1,60.8
E02000095,24,18,58
E02000096,18.4,18.7,62.9
E02000097,19.8,20.9,59.2
E02000098,16.7,21.6,61.7
E02000099,20.5,19.1,60.4
E02000100,22.3,19.9,57.8
E02000101,14.8,25.7,59.5
E02000102,15.5,25.8,58.8
E02000103,13.5,25.5,61
E02000104,20.2,25.4,54.4
E02000105,21.6,22,56.4
E02000106,17.9,28.4,53.7
E02000107,17.3,34.3,48.4
E02000108,19.8,19.2,61
E02000110,16.9,30,53.1
E02000111,26.4,18.6,55.1
E02000112,26.3,18.6,55.1
E02000113,12.3,25.5,62.2
E02000114,15.8,33.6,50.6
E02000115,12.7,38.4,48.9
E02000116,13.3,29.3,57.4
E02000117,10.5,33.9,55.6
E02000118,28.8,19.2,52
E02000119,10.5,31.7,57.8
E02000120,13,40,47
E02000121,23.2,20.3,56.5
E02000122,15.9,30,54.1
E02000123,12.6,33.8,53.5
E02000124,14.2,30.9,54.9
E02000125,15.4,30,54.6
E02000126,11,37.3,51.7
E02000130,6.8,31.3,61.8
E02000131,6.7,37,56.3
E02000132,5.5,41.3,53.2
E02000135,7.4,37.8,54.8
E02000137,4.5,33.2,62.3
E02000138,4.9,38.6,56.5
E02000139,5.5,31.5,63
E02000141,7.6,31.1,61.3
E02000147,5,24.7,70.3
E02000150,6.7,21,72.3
E02000156,5.6,24.6,69.8
E02000166,9.9,35.3,54.8
E02000167,6.6,37.8,55.7
E02000168,11.9,35.9,52.1
E02000169,7.5,29,63.5
E02000170,12.4,33.5,54.1
E02000171,10.6,36.3,53.1
E02000172,12.2,36,51.8
E02000173,8.3,40.7,50.9
