areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02000255,71.2,12.4,3.8,12.6
E02000256,69.4,10.4,3,17.3
E02000258,61.2,14.1,3.4,21.3
E02000259,71.8,11.7,4.4,12.1
E02000260,38.8,24.5,8.4,28.4
E02000261,60.7,14.9,3.6,20.8
E02000262,65.8,11.6,3.2,19.4
E02000263,35.2,28.9,8.5,27.5
E02000264,66.3,11.8,2.6,19.2
E02000265,69.2,10.8,4,16
E02000266,54.1,20.2,6,19.7
E02000267,72.9,9.9,4,13.2
E02000268,75.1,10.3,2.3,12.3
E02000269,76.1,9.9,2.7,11.2
E02000270,65.4,13.9,3.7,17
E02000271,77.9,8.7,1.9,11.5
E02000272,79.9,10.3,2.5,7.3
E02000275,44.5,22.9,5.5,27.1
E02000276,73.6,12.1,2.9,11.5
E02000308,65.1,14.8,4.6,15.5
E02000309,56.9,15.5,7.3,20.3
E02000311,56.3,18.7,5,20.1
E02000312,62,13.6,3.7,20.6
E02000345,69,13.5,1.6,16
E02000346,63.9,13.2,4.1,18.8
E02000347,70.7,15.2,3.1,11
E02000348,68.5,14.4,3.3,13.8
E02000350,71.6,15.9,1.5,11
E02000351,73.6,11.2,2.1,13
E02000352,78.4,11.7,2,7.9
E02000353,76.8,12.2,1.2,9.8
E02000354,71.8,14,2.6,11.6
E02000355,75.2,14.7,1.5,8.5
E02000356,79.7,10.3,1.6,8.4
E02000357,74.3,11.9,3.4,10.4
E02000358,72.7,13.2,2.2,11.9
E02000359,76.5,12.7,2.4,8.4
E02000360,71.7,13.7,3.3,11.3
E02000361,73.4,11,2.8,12.8
E02000362,78.6,11.9,2.3,7.2
E02000363,71.8,13.3,4.3,10.6
E02000364,78.5,11.3,1.4,8.8
E02000366,80.3,11.3,1.9,6.6
E02000367,76.9,11.4,1.8,9.9
E02000368,71.5,14.2,2.7,11.6
E02000369,71.6,14.4,2.9,11.1
E02000370,68.9,14.4,3,13.8
E02000372,68.5,12.3,2.7,16.5
E02000373,62.8,19.9,5.3,12
E02000374,70.4,14.4,3.3,11.9
E02000375,68.7,12.1,2.5,16.7
E02000376,69,11.5,1.8,17.7
E02000377,74.2,9.9,2.2,13.7
E02000378,69.4,9.8,2.2,18.5
E02000379,75.6,10.5,2.8,11.1
E02000380,78,9.2,1.4,11.4
E02000381,72.9,8.9,2.4,15.8
E02000382,74.8,9.8,2.2,13.2
E02000383,67.1,11.7,1.8,19.3
E02000384,68.4,11.8,2.6,17.2
E02000385,74.1,10.1,1.1,14.7
E02000386,69.1,12.8,2.7,15.4
E02000387,71,12.8,2.5,13.7
E02000388,73.8,9.6,1.8,14.8
E02000389,73.7,11.7,2.4,12.2
E02000390,75.5,10.8,1.8,11.9
E02000391,78.5,10.4,2.2,9
E02000392,77.3,10.8,2.3,9.6
E02000393,78.3,10.2,1.9,9.6
E02000394,76.2,9.2,2.6,12
E02000395,79.9,9,2,9.1
E02000396,75,11.4,2.9,10.7
E02000397,60.7,11.5,4,23.8
E02000398,58.6,13.7,5.5,22.2
E02000400,68.3,13.3,3.9,14.5
E02000401,61.2,18.3,3.8,16.7
E02000402,61.1,15.5,4.9,18.5
E02000403,55.2,14.8,4.2,25.8
E02000404,52.9,18,4.5,24.6
E02000405,84.4,8,1.5,6.1
E02000406,59.6,16.8,2.9,20.7
E02000407,59.6,13.5,5,22
E02000408,58,14.6,5.9,21.6
E02000409,58.6,17.2,3.8,20.3
E02000410,81.5,8.5,2.2,7.8
E02000411,62,15.5,4.7,17.9
E02000412,57.3,16.7,3.1,22.9
E02000413,80.2,10.3,2.8,6.7
E02000414,61.3,13.4,3.7,21.7
E02000415,55.4,14.6,4.7,25.3
E02000416,76.8,9.9,2.3,11.1
E02000417,83.5,7.1,1.6,7.8
E02000418,86.8,7.1,1.2,4.9
E02000419,58.1,14.1,3,24.8
E02000420,59.8,13,4.4,22.8
E02000421,59.2,15.4,4.5,20.9
E02000422,60.3,13.8,4.9,21
E02000423,57.7,17.3,2.6,22.4
E02000424,83.1,8.7,1.6,6.6
E02000425,62,15,3.2,19.8
E02000426,81.9,9.2,2,6.9
E02000427,63.5,12.2,2.2,22.1
E02000428,57,18.1,4.7,20.2
E02000429,82.3,8.2,1.8,7.7
E02000430,82,8.7,1.5,7.9
E02000431,80.9,9,1.1,9.1
E02000432,79.3,8.5,1.4,10.7
E02000434,70.4,12.2,3.4,14
E02000435,70,13.4,3.7,13
E02000436,80.2,9.8,2.2,7.7
E02000437,69.1,12.5,4.2,14.1
