areacd,country_of_birth_3a-001,country_of_birth_3a-002
E02000001,50.4,49.6
E02000038,60.5,39.5
E02000039,65.1,34.9
E02000040,62.4,37.6
E02000041,52.3,47.7
E02000042,49.4,50.6
E02000043,57.4,42.6
E02000044,55.6,44.4
E02000045,58.5,41.5
E02000046,50.3,49.7
E02000047,46.4,53.6
E02000048,59.2,40.8
E02000049,50.8,49.2
E02000050,59.2,40.8
E02000051,55.2,44.8
E02000052,60.8,39.2
E02000054,45.9,54.1
E02000055,46.5,53.5
E02000056,62.6,37.4
E02000057,57,43
E02000058,57.5,42.5
E02000059,41.8,58.2
E02000060,58.8,41.2
E02000061,47.9,52.1
E02000062,46.6,53.4
E02000063,42.9,57.1
E02000064,51.9,48.1
E02000093,40.7,59.3
E02000094,43.8,56.2
E02000095,38.4,61.6
E02000096,45.9,54.1
E02000097,42.6,57.4
E02000098,43.7,56.3
E02000099,40.3,59.7
E02000100,43.1,56.9
E02000101,44.6,55.4
E02000102,43.8,56.2
E02000103,46.3,53.7
E02000104,40.5,59.5
E02000105,39.4,60.6
E02000106,39.5,60.5
E02000107,45,55
E02000108,39.7,60.3
E02000110,51.8,48.2
E02000111,32.9,67.1
E02000112,29.6,70.4
E02000113,52.4,47.6
E02000114,43.4,56.6
E02000115,48.6,51.4
E02000116,42.9,57.1
E02000117,50.1,49.9
E02000118,30.8,69.2
E02000119,50,50
E02000120,49.7,50.3
E02000121,31.9,68.1
E02000122,57.5,42.5
E02000123,48.5,51.5
E02000124,58.9,41.1
E02000125,59.6,40.4
E02000126,51.7,48.3
E02000130,74.9,25.1
E02000131,68.2,31.8
E02000132,70.3,29.7
E02000135,67.2,32.8
E02000137,76.5,23.5
E02000138,75.2,24.8
E02000139,79.6,20.4
E02000141,75.8,24.2
E02000147,82.2,17.8
E02000150,83.8,16.2
E02000156,86.2,13.8
E02000166,70.7,29.3
E02000167,57.3,42.7
E02000168,68.9,31.1
E02000169,50,50
E02000170,54.4,45.6
E02000171,61.9,38.1
E02000172,61.7,38.3
E02000173,46.2,53.8
E02000174,64.4,35.6
E02000175,52.5,47.5
E02000176,47.3,52.7
E02000177,60.2,39.8
E02000178,51.8,48.2
E02000179,53.1,46.9
E02000180,59.5,40.5
E02000181,50.3,49.7
E02000182,44.1,55.9
E02000183,58.3,41.7
E02000184,53.8,46.2
E02000185,49.2,50.8
E02000186,53.6,46.4
E02000187,54.1,45.9
E02000188,53.7,46.3
E02000191,41.5,58.5
E02000192,53.5,46.5
E02000193,47.2,52.8
E02000194,69.6,30.4
E02000195,61.9,38.1
E02000196,55.6,44.4
E02000197,53.1,46.9
E02000198,57.5,42.5
E02000199,60.1,39.9
E02000200,63.6,36.4
E02000201,62,38
E02000202,50.4,49.6
E02000203,51.9,48.1
E02000204,49.8,50.2
E02000206,58.4,41.6
E02000207,67.1,32.9
E02000208,52,48
E02000209,48.8,51.2
E02000210,65.8,34.2
E02000211,76.7,23.3
E02000212,50.4,49.6
E02000213,50.6,49.4
E02000214,72.8,27.2
E02000215,56.5,43.5
E02000216,49.7,50.3
E02000217,56.8,43.2
E02000218,73,27
E02000219,77,23
E02000221,65.5,34.5
E02000222,69.6,30.4
E02000223,72.6,27.4
E02000224,69,31
E02000225,78,22
E02000226,76.4,23.6
E02000227,79.1,20.9
E02000228,81.3,18.7
E02000229,78.8,21.2
E02000230,70.9,29.1
E02000231,71.7,28.3
E02000232,84,16
E02000233,77.4,22.6
E02000234,75.9,24.1
E02000235,81.2,18.8
E02000236,82.3,17.7
E02000237,85.6,14.4
E02000238,46.8,53.2
E02000239,43.7,56.3
E02000240,51.1,48.9
E02000241,48.6,51.4
E02000242,41.3,58.7
E02000243,47.2,52.8
E02000244,42.9,57.1
E02000245,53.3,46.7
E02000246,54,46
E02000247,50.9,49.1
E02000248,40.2,59.8
E02000249,47.4,52.6
E02000250,62.3,37.7
E02000251,43.8,56.2
E02000252,45.5,54.5
E02000253,55.9,44.1
E02000254,40.8,59.2
E02000255,57.9,42.1
E02000256,52.8,47.2
E02000258,46.3,53.7
E02000259,59.8,40.2
E02000260,36.4,63.6
E02000261,44.1,55.9
E02000262,52.7,47.3
E02000263,35.4,64.6
E02000264,49.5,50.5
E02000265,55.8,44.2
E02000266,49.1,50.9
E02000267,61,39
E02000268,60.1,39.9
E02000269,63.1,36.9
E02000270,51.5,48.5
E02000271,60.1,39.9
E02000272,66.1,33.9
E02000275,39.1,60.9
E02000276,59.3,40.7
E02000308,52.9,47.1
E02000309,46.9,53.1
E02000311,46.3,53.7
E02000312,50.5,49.5
E02000345,67.3,32.7
E02000346,51.8,48.2
E02000347,67.5,32.5
E02000348,66.3,33.7
E02000350,64.8,35.2
E02000351,59.2,40.8
E02000352,68,32
E02000353,65.8,34.2
E02000354,60.1,39.9
E02000355,65.1,34.9
E02000356,67.8,32.2
E02000357,57.2,42.8
E02000358,58.4,41.6
E02000359,64.9,35.1
E02000360,57.5,42.5
E02000361,57.3,42.7
E02000362,65.8,34.2
E02000363,60.1,39.9
E02000364,63.5,36.5
E02000366,67.8,32.2
E02000367,59.7,40.3
E02000368,57.9,42.1
E02000369,54.3,45.7
E02000370,51.8,48.2
E02000372,51.2,48.8
E02000373,53.4,46.6
E02000374,57.4,42.6
E02000375,51.8,48.2
E02000376,51.3,48.7
E02000377,58.1,41.9
E02000378,47.9,52.1
E02000379,60.2,39.8
E02000380,60.7,39.3
E02000381,53.2,46.8
E02000382,55.4,44.6
E02000383,43.9,56.1
E02000384,51.2,48.8
E02000385,51.5,48.5
E02000386,54.3,45.7
E02000387,52.9,47.1
E02000388,52.3,47.7
E02000389,56,44
E02000390,59.1,40.9
E02000391,57.4,42.6
E02000392,57,43
E02000393,58.6,41.4
E02000394,55.4,44.6
E02000395,59.2,40.8
E02000396,57.8,42.2
E02000397,48.1,51.9
E02000398,44.6,55.4
E02000400,57.7,42.3
E02000401,53.3,46.7
E02000402,52.4,47.6
E02000403,43.1,56.9
E02000404,42.6,57.4
E02000405,72.7,27.3
E02000406,47.4,52.6
E02000407,43.8,56.2
E02000408,46.2,53.8
E02000409,48.3,51.7
E02000410,67.4,32.6
E02000411,46.9,53.1
E02000412,42.3,57.7
E02000413,69,31
E02000414,47.1,52.9
E02000415,45.3,54.7
E02000416,63.4,36.6
E02000417,66.3,33.7
E02000418,75.8,24.2
E02000419,47.3,52.7
E02000420,46.2,53.8
E02000421,44.3,55.7
E02000422,47.6,52.4
E02000423,48.4,51.6
E02000424,69.6,30.4
E02000425,61.9,38.1
E02000426,66.4,33.6
E02000427,52.8,47.2
E02000428,50.7,49.3
E02000429,66.3,33.7
E02000430,67.9,32.1
E02000431,63.9,36.1
E02000432,65.8,34.2
E02000434,52.2,47.8
E02000435,54.5,45.5
E02000436,61.4,38.6
E02000437,53.8,46.2
E02000438,58.4,41.6
E02000439,40.9,59.1
E02000440,53.2,46.8
E02000441,58,42
E02000442,35.4,64.6
E02000443,45.8,54.2
E02000444,42.9,57.1
E02000445,44.1,55.9
E02000447,53.3,46.7
E02000448,64.3,35.7
E02000449,40.4,59.6
E02000451,54.4,45.6
E02000452,41.3,58.7
E02000453,48.4,51.6
