areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02000001,63.7,34,2.3
E02000038,74.6,21.1,4.3
E02000039,79,17.7,3.3
E02000040,78,17.6,4.4
E02000041,70.1,25.9,4
E02000042,69,27.5,3.5
E02000043,74.4,23.2,2.4
E02000044,70.5,24.1,5.4
E02000045,72.9,22.3,4.8
E02000046,66.4,30.5,3.2
E02000047,62.6,31.2,6.2
E02000048,76.9,20.1,3.1
E02000049,69.8,23.1,7.2
E02000050,73.3,22.1,4.6
E02000051,72.9,23.7,3.4
E02000052,72.8,23,4.3
E02000054,64,32.8,3.2
E02000055,61.7,34.9,3.4
E02000056,79.8,18.3,1.9
E02000057,70.1,26.5,3.4
E02000058,73.4,23.5,3.1
E02000059,59.9,35.2,5
E02000060,76,21,3
E02000061,69,28.2,2.8
E02000062,66.6,28.7,4.8
E02000063,64.1,31.8,4.1
E02000064,69.6,26.4,4
E02000093,64.6,31.4,3.9
E02000094,65.5,31,3.6
E02000095,63.8,32.6,3.6
E02000096,74.1,22.8,3.1
E02000097,61.6,34.6,3.9
E02000098,67.8,27.6,4.6
E02000099,59.4,36.4,4.3
E02000100,71.7,25.3,3
E02000101,65.7,29.7,4.7
E02000102,65.8,27.9,6.3
E02000103,66.6,27.9,5.5
E02000104,65.9,30,4.1
E02000105,60.8,35.6,3.6
E02000106,59.4,34.3,6.3
E02000107,60.9,34.4,4.8
E02000108,64.7,31.7,3.7
E02000110,67.3,28.3,4.4
E02000111,53.4,42.5,4.1
E02000112,49,47.9,3.1
E02000113,75.5,18.6,5.9
E02000114,57.9,38,4.1
E02000115,65.2,30.7,4.1
E02000116,59.6,34.2,6.2
E02000117,68.2,26.1,5.7
E02000118,53.9,41.8,4.3
E02000119,72.2,22.2,5.6
E02000120,64.6,31.6,3.8
E02000121,55.8,40.8,3.4
E02000122,74.4,23.1,2.5
E02000123,64,30.7,5.4
E02000124,71,25.9,3.1
E02000125,74,22.6,3.4
E02000126,74.1,22.1,3.8
E02000130,79.8,14,6.2
E02000131,73.7,20.4,5.9
E02000132,75.6,18.7,5.7
E02000135,71,18.7,10.3
E02000137,81.5,13.4,5
E02000138,82.7,13.8,3.6
E02000139,81.9,12,6.1
E02000141,79.4,13.9,6.7
E02000147,87.5,8.4,4.1
E02000150,87.7,7.5,4.8
E02000156,88.2,6.8,5
E02000166,81.1,14.1,4.8
