areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02000001,30.4,69.6
E02000038,45.9,54.1
E02000039,55.6,44.4
E02000040,48.1,51.9
E02000041,50.5,49.5
E02000042,43.6,56.4
E02000043,57.6,42.4
E02000044,45.1,54.9
E02000045,39.5,60.5
E02000046,45.1,54.9
E02000047,44.6,55.4
E02000048,52.6,47.4
E02000049,39.6,60.4
E02000050,43.1,56.9
E02000051,48.6,51.4
E02000052,41.8,58.2
E02000054,43,57
E02000055,43.2,56.8
E02000056,57.2,42.8
E02000057,50,50
E02000058,50.3,49.7
E02000059,45,55
E02000060,51.6,48.4
E02000061,45.7,54.3
E02000062,38.9,61.1
E02000063,42,58
E02000064,37.8,62.2
E02000093,52.1,47.9
E02000094,48.2,51.8
E02000095,55,45
E02000096,59.5,40.5
E02000097,51.7,48.3
E02000098,48.5,51.5
E02000099,51.4,48.6
E02000100,50.2,49.8
E02000101,43.3,56.7
E02000102,44.8,55.2
E02000103,42.5,57.5
E02000104,46,54
E02000105,50.7,49.3
E02000106,42.2,57.8
E02000107,37,63
E02000108,51.6,48.4
E02000110,39.1,60.9
E02000111,55,45
E02000112,53.1,46.9
E02000113,33.5,66.5
E02000114,33.4,66.6
E02000115,31,69
E02000116,37,63
E02000117,33.4,66.6
E02000118,53.5,46.5
E02000119,33.6,66.4
E02000120,29.7,70.3
E02000121,53.4,46.6
E02000122,39.5,60.5
E02000123,30.6,69.4
E02000124,35.9,64.1
E02000125,37,63
E02000126,29.6,70.4
E02000130,41.7,58.3
E02000131,28.2,71.8
E02000132,37,63
E02000135,27.4,72.6
E02000137,47.4,52.6
E02000138,46.1,53.9
E02000139,44.4,55.6
E02000141,38.5,61.5
E02000147,58.7,41.3
E02000150,52.3,47.7
E02000156,55.5,44.5
E02000166,36.2,63.8
E02000167,47.9,52.1
E02000168,33,67
E02000169,51.4,48.6
E02000170,38.5,61.5
E02000171,34.9,65.1
E02000172,27.8,72.2
E02000173,41.9,58.1
E02000174,27.4,72.6
E02000175,30,70
E02000176,40,60
E02000177,27.1,72.9
E02000178,27,73
E02000179,37.8,62.2
E02000180,26.6,73.4
E02000181,35.7,64.3
E02000182,41.3,58.7
E02000183,34.9,65.1
E02000184,23.1,76.9
E02000185,29.1,70.9
E02000186,26.6,73.4
