geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02001514,55.2,3,41.8
E02001522,50.7,3.4,45.9
E02001528,51.6,3.2,45.2
E02001530,54.6,3.7,41.7
E02001533,57.2,2.9,39.9
E02001534,59.2,3,37.8
E02001539,55.9,3.3,40.9
E02001540,56.4,2.9,40.7
E02001541,54.1,2.7,43.2
E02001542,49.6,4.9,45.5
E02001543,50.1,3.5,46.4
E02001544,53.8,3.7,42.5
E02001545,55.4,1.8,42.8
E02001546,43.6,2.9,53.5
E02001547,57.8,4,38.3
E02001548,52.8,5.4,41.8
E02001549,56.9,2,41.1
E02001550,60.4,2.9,36.7
E02001551,57.6,3.8,38.6
E02001552,60.6,3.4,36
E02001553,56.4,3.4,40.2
E02001554,58.6,2.6,38.8
E02001555,52.8,1.8,45.4
E02001556,54.5,4,41.5
E02001557,60.7,3.5,35.8
E02001558,50.8,2.1,47.1
E02001559,57.2,2.2,40.6
E02001560,51.8,6.5,41.8
E02001561,53.8,6.4,39.8
E02001562,51.4,3.8,44.8
E02001563,53.7,2.2,44.1
E02001564,56.6,1.8,41.6
E02001565,56.8,2,41.2
E02001566,63.8,4.1,32.1
E02001567,52.1,3.9,43.9
E02001568,55.4,3.2,41.3
E02001569,50.9,4.8,44.3
E02001570,47.9,3.4,48.7
E02001571,56.1,2.6,41.3
E02001572,56.1,3.9,40.1
E02001573,54.7,3.5,41.8
E02001574,57.8,2.1,40.2
E02001575,56.4,3.8,39.9
E02001576,63.6,2.3,34.1
E02001577,47.7,1.9,50.4
E02001578,62.3,2.7,35.1
E02001579,51.9,2.7,45.4
E02001580,54.1,2.6,43.4
E02001581,55.1,2.7,42.2
E02001582,55.6,3.4,41
E02001583,57.7,3.7,38.6
E02001585,50.1,4.6,45.3
E02001586,48.4,3.9,47.7
E02001587,49.3,3.5,47.2
E02001588,53.3,4.1,42.6
E02001589,59.9,2.2,37.9
E02001590,47.1,5.6,47.3
E02001591,47.6,5.2,47.2
E02001592,56.1,2.6,41.4
E02001593,47.8,5,47.1
E02001594,44.4,6,49.6
E02001595,58.4,2.6,39
E02001596,51.7,2.4,45.9
E02001597,51.5,4.6,43.9
E02001598,53.1,2.5,44.4
E02001600,50.5,3.2,46.3
E02001602,56.5,2.7,40.8
E02001603,55.4,3.3,41.3
E02001604,67.4,3.1,29.5
E02001605,58.2,2.8,39
E02001606,53,3,44
E02001607,54.9,3.1,42
E02001608,61.3,2.3,36.4
E02001609,52.8,1.9,45.3
E02001610,58.7,2.1,39.2
E02001628,43.5,5.1,51.4
E02001642,57.6,3,39.4
E02001647,56,2.1,42
E02001654,54.6,3.3,42.1
E02001655,53.6,4,42.3
E02001659,50.2,4.4,45.4
E02001666,60.4,3.2,36.3
E02001671,52.5,2.8,44.8
E02001673,64.7,2.1,33.1
E02001675,49.1,3.9,46.9
E02002330,51.7,2,46.3
E02002331,46.8,2.1,51.2
E02002334,55.8,1.7,42.4
E02002359,56.4,2.3,41.4
E02002403,55.4,2.8,41.9
E02002406,58.2,2,39.7
E02002417,60,2,38
E02002418,59.7,2.9,37.5
E02002432,61.4,2.8,35.8
E02002438,52.7,3.9,43.4
E02002439,58.5,3.3,38.2
E02002440,53.1,3.4,43.5
E02002441,57.8,3.4,38.8
E02002442,64.3,2.4,33.4
E02002447,56.1,2.7,41.2
E02002448,55.2,3,41.7
E02002449,63.4,2.5,34.2
E02002450,63.4,2.9,33.8
E02002452,58.5,3,38.5
E02002455,53.8,3.7,42.5
E02002460,54.3,2.1,43.6
E02002461,61.9,2.5,35.6
E02002464,56.7,3.5,39.8
E02002471,58,1.8,40.1
E02002476,54.7,3.5,41.8
E02002478,60.5,2.9,36.6
E02002479,51.1,2.8,46
E02002480,51.5,2.8,45.8
E02002481,58,2.6,39.4
E02002482,54.8,3.3,41.8
E02002653,45.8,6.4,47.7
E02002654,45.7,7.2,47.1
E02002655,51,5.3,43.7
E02002656,52.3,2.2,45.4
E02002657,55.8,3.1,41.1
E02002658,56.5,2.1,41.4
E02002659,49.5,6.8,43.8
E02002660,50.1,5.2,44.7
E02002661,52.3,4,43.7
E02002662,52.2,3.9,43.9
E02002663,38.9,6.3,54.8
E02002664,61.6,2.3,36.1
E02002665,59.6,2.7,37.7
E02002666,57,7.7,35.3
E02002667,61.1,4.3,34.6
E02002668,44.4,5.9,49.7
E02002669,59.9,5.1,35
E02002670,54.5,4,41.5
E02002671,55.6,4.4,40.1
E02002672,49.1,5.4,45.4
E02002673,58.3,4.4,37.3
E02002674,62.7,3.2,34
E02002675,49,6.2,44.8
E02002676,60.5,4.7,34.9
E02002677,56.9,5,38.1
E02002678,65.1,4.6,30.3
E02002679,58.4,2.5,39.2
E02002680,53,8.3,38.7
E02002681,53.8,6.9,39.3
E02002682,55.9,4.8,39.3
E02002684,40.3,1.8,57.9
E02002685,43,1.8,55.2
E02002686,39.4,4.4,56.2
E02002687,44.6,3.7,51.6
E02002688,44.2,4.8,51
E02002689,51.8,1.9,46.3
E02002691,54.5,1.2,44.2
E02002692,57.1,2.2,40.7
E02002693,52.9,1.8,45.3
E02002694,58.4,2,39.6
E02002695,42.1,2.4,55.5
E02002696,58.7,1.7,39.5
E02002697,54.3,1.8,43.9
E02002698,59.7,2,38.2
E02002699,55.8,1.6,42.7
E02002700,55.1,3.4,41.6
E02002701,59,1.6,39.5
E02002702,54.6,2.5,42.9
E02002703,56.6,2.3,41.1
E02002704,51.2,2.3,46.5
E02002705,51.6,2.1,46.4
E02002706,56.9,2.1,41
E02002707,57.2,1.5,41.2
E02002708,46.7,2.8,50.5
E02002709,52.1,1.9,46
E02002710,57.7,2.1,40.2
E02002711,53.5,1.4,45.1
E02002712,51.4,2.1,46.5
E02002714,53.3,2,44.8
E02002715,65.5,1.8,32.8
E02002716,55.3,2.4,42.3
E02002717,62,2.6,35.4
E02002718,55.4,1.4,43.2
E02002719,59.3,2.1,38.7
E02002720,59.8,1.8,38.4
E02002721,57.8,2.4,39.8
E02002723,59.5,3.2,37.3
E02002724,59.3,5.1,35.6
