geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E02001514,8,19.8,63.1,9.2
E02001522,8.5,21.7,60.9,8.9
E02001528,8.1,20.7,60.9,10.3
E02001530,7.9,18.6,65,8.6
E02001533,7.5,21,60.4,11
E02001534,7.3,20.3,62.8,9.6
E02001539,8.1,21.1,60.2,10.6
E02001540,8.4,19.4,60.1,12.1
E02001541,7.4,20.5,61,11.1
E02001542,8.9,22.1,57.4,11.6
E02001543,7.8,23.4,58.1,10.6
E02001544,8.7,22.3,58.4,10.6
E02001545,8.4,21.5,60.1,10
E02001546,9.4,20,57.1,13.5
E02001547,7.4,20.4,62.2,10
E02001548,7.4,21.3,61.4,9.9
E02001549,7.9,20.6,61.6,9.9
E02001550,7.5,23.2,59.9,9.4
E02001551,7.4,21.8,62.9,7.9
E02001552,8.4,20.9,61.3,9.4
E02001553,9.1,21.9,60.9,8.1
E02001554,8.9,21.3,59.8,10
E02001555,8.6,21.8,60.3,9.2
E02001556,8.5,23.2,59.6,8.7
E02001557,8.5,17.3,65,9.2
E02001558,9.8,20.2,56.7,13.3
E02001559,7.6,20.6,60.5,11.4
E02001560,8.5,19.5,63.7,8.3
E02001561,9.1,21.1,61.5,8.4
E02001562,8.1,23.2,59.4,9.3
E02001563,9.6,20.4,58.8,11.2
E02001564,8.4,19.3,59.8,12.4
E02001565,8.3,18.3,60.4,13
E02001566,7.1,18.1,64.5,10.3
E02001567,8.8,22.4,59.9,8.8
E02001568,7.9,21,60.6,10.4
E02001569,7.8,20.5,63.4,8.3
E02001570,8,21.4,61,9.6
E02001571,8.7,18.3,61,12
E02001572,7.5,21.1,61.8,9.6
E02001573,7.5,21.4,61.8,9.3
E02001574,8,19.8,61.6,10.6
E02001575,6.4,22.4,59.9,11.3
E02001576,8.4,18.5,60.5,12.5
E02001577,10.3,19.7,55.7,14.4
E02001578,7.6,19.9,62.6,10
E02001579,8.6,21.4,60.9,9.1
E02001580,8.1,21.9,60.8,9.1
E02001581,8.4,21,61.3,9.3
E02001582,7.3,22,61.8,8.9
E02001583,7.4,21.8,62.8,7.9
E02001585,9.2,21.5,61.5,7.8
E02001586,8.1,22.7,61.2,8
E02001587,8.2,23.2,58.8,9.8
E02001588,8.1,24.5,59.5,7.8
E02001589,7.7,20,61.6,10.6
E02001590,10,24.1,57.4,8.5
E02001591,9.6,25.2,58.5,6.8
E02001592,8.1,22.3,61.4,8.2
E02001593,11,22.7,58.7,7.7
E02001594,10.4,22,59.1,8.5
E02001595,7,20.3,61.5,11.1
E02001596,8.8,21.5,60.2,9.6
E02001597,8.2,20.7,61,10.1
E02001598,8.9,22.7,58.6,9.8
E02001600,10.3,22.7,57.9,9.1
E02001602,8.5,21.5,61.7,8.2
E02001603,8.7,19.3,61,11
E02001604,6.1,17.4,65.8,10.7
E02001605,9.1,19.2,60.2,11.4
E02001606,8.7,19.7,61.4,10.2
E02001607,8.4,23.4,59.2,9.1
E02001608,7.7,20.8,61.5,10
E02001609,9.6,20.7,59.1,10.6
E02001610,8.8,20.3,59.3,11.6
E02001628,11.9,26.6,56.6,5
E02001642,8.5,22.5,62.4,6.6
E02001647,7.6,24.6,60.2,7.7
E02001654,7.3,21.8,63.7,7.1
E02001655,7.9,24.5,60.8,6.8
E02001659,7.8,23,61.7,7.5
E02001666,8.3,22.9,60.8,7.9
E02001671,8.4,21.5,61.9,8.2
E02001673,8.6,20.9,63.8,6.7
E02001675,8.8,22.3,62.3,6.6
E02002330,10.3,21.1,56.3,12.2
E02002331,10.1,17.7,59.7,12.5
E02002334,11,19.2,55.7,14.1
E02002359,9.2,19.1,58.1,13.6
E02002403,9,19.4,61.8,9.8
E02002406,7.2,19.5,63.5,9.8
E02002417,7.8,18.9,63.5,9.8
E02002418,8,19.5,64.2,8.2
E02002432,7.7,20,62.9,9.4
E02002438,8.5,20.6,63,7.9
E02002439,7,17.4,67.7,8
E02002440,8.5,21.1,60,10.4
E02002441,6.7,18.8,65.2,9.3
E02002442,7.5,18.9,64.2,9.4
E02002447,7.2,20.1,62.3,10.4
E02002448,8.8,19,61.8,10.4
E02002449,6.6,18,65.6,9.8
E02002450,6.4,17.1,66.9,9.6
E02002452,7.2,16.9,65.3,10.6
E02002455,8.5,21.3,61.9,8.3
E02002460,8.8,20.1,60.4,10.7
E02002461,6.9,17.8,64.3,11
E02002464,7.5,19.7,63.3,9.6
E02002471,8.5,18.6,60.2,12.7
E02002476,7.2,21.8,61.6,9.4
E02002478,6.1,21.5,62.9,9.5
E02002479,8.1,21.9,60.5,9.4
E02002480,6.7,21.7,62.2,9.4
E02002481,6.2,20.3,64.7,8.9
E02002482,7.8,21.7,61.1,9.5
E02002653,8.4,25.7,59.4,6.5
E02002654,7.2,25.9,59.6,7.3
E02002655,7.2,23.6,60.4,8.7
E02002656,7.9,21.6,62.3,8.2
E02002657,8.1,21.2,62.5,8.2
E02002658,7.1,21,62.4,9.4
E02002659,9.1,25.1,58.1,7.6
E02002660,7,25.6,58.9,8.5
E02002661,8.2,24.5,58.7,8.5
E02002662,6.7,23,61.9,8.5
E02002663,18.9,20.9,52.6,7.6
E02002664,7.5,22.7,61.6,8.1
E02002665,9.6,22.3,60,8.2
E02002666,9.9,16.3,65.8,8.1
E02002667,7.1,20.8,63.3,8.8
E02002668,8.6,27.1,57,7.3
E02002669,9.9,18.3,63.3,8.5
E02002670,7.6,22.6,62.5,7.3
E02002671,8.2,21.8,61.1,8.9
E02002672,8.4,23.3,60.7,7.6
E02002673,6.5,21.5,63.8,8.2
E02002674,7.7,20,63.9,8.3
E02002675,7.7,19.7,64.6,8
E02002676,8.9,20.1,63.9,7.1
E02002677,6.8,19.5,63.3,10.4
E02002678,7.6,19.6,64.1,8.7
E02002679,8.2,22.4,60.5,8.9
E02002680,8.2,15.9,66.1,9.9
E02002681,7.5,21.7,63.6,7.3
E02002682,6.5,20.5,64.3,8.7
E02002684,11.7,23.6,53.5,11.2
E02002685,11.9,25.4,52,10.7
E02002686,10.2,25.2,53.8,10.7
E02002687,12.5,25.5,51.7,10.4
E02002688,12.9,25.2,50.3,11.5
E02002689,11.9,21.8,49.1,17.1
E02002691,10.9,20.9,54,14.2
E02002692,11.1,20.7,55.5,12.7
E02002693,11.1,19.6,51.6,17.7
E02002694,10.6,18.7,57,13.7
E02002695,12.1,25.4,50.9,11.6
E02002696,10.5,17.4,54.4,17.7
E02002697,9.8,21.2,55.5,13.5
E02002698,9.4,19.7,56.2,14.7
E02002699,11.6,19.9,56.4,12.2
E02002700,10,24.5,55.9,9.7
E02002701,11.4,18.6,51.3,18.7
E02002702,10.6,19.9,57.9,11.7
E02002703,11.8,19.9,56.6,11.7
E02002704,10.2,21.3,55.7,12.8
E02002705,9,20.6,59.3,11.1
E02002706,9.3,21.7,59,10.1
E02002707,11.2,19.1,54.7,15
E02002708,11,21.7,56.1,11.3
E02002709,9.1,18.6,57.3,15
E02002710,9.8,20.9,58.1,11.2
E02002711,11.5,20.6,55.1,12.7
E02002712,9.5,20,59.2,11.2
E02002714,9.2,20.5,55.4,15
E02002715,9.1,17.7,60.7,12.4
E02002716,8.2,21.6,56.7,13.5
E02002717,9.1,20.5,60.2,10.2
E02002718,11.6,19.8,54.1,14.5
E02002719,9.5,18.6,58.8,13.1
E02002720,9.3,18.9,58.7,13.1
E02002721,9,19.8,56.3,14.8
E02002723,8,17.9,62.5,11.6
E02002724,8,20.9,60.1,11
E02002725,8.7,17.9,58.9,14.5
E02002726,8.4,19.9,57.8,13.9
E02002727,8,21.5,58.8,11.7
E02002728,8.7,21.7,58.3,11.3
E02002729,10.3,22.2,55.1,12.4
E02002730,10,24.4,55.2,10.4
E02002731,10.9,24.3,54.7,10.1
E02002732,10.3,20.4,55.7,13.7
E02002733,9.8,21.5,58,10.7
E02002734,8,23.9,56.1,11.9
E02002736,9.9,22.5,57.2,10.4
E02002737,9.5,23.5,56.1,10.9
E02002738,9.5,22.3,56.4,11.9
E02002739,9.3,23.3,57.4,10
E02002740,8,24.7,58.5,8.8
E02002741,9.4,21.3,57.5,11.8
E02002743,10.4,23,56,10.7
E02002744,9.3,27.3,54.2,9.3
E02002745,11.3,20.3,55.9,12.5
