geography_code,disability_3a-001,disability_3a-002
E02005424,19.8,80.2
E02005427,21.6,78.4
E02005492,19.7,80.3
E02005493,18.5,81.5
E02005494,22,78
E02005495,25.7,74.3
E02005496,19.6,80.4
E02005497,23.8,76.2
E02005759,17.3,82.7
E02005760,14.9,85.1
E02005765,16.4,83.6
E02005776,13.7,86.3
E02005791,18.6,81.4
E02005794,15.2,84.8
E02005809,16.5,83.5
E02005810,13.1,86.9
E02005811,15.3,84.7
E02005812,14.5,85.5
E02005813,18.8,81.2
E02005814,18.7,81.3
E02005815,15.9,84.1
E02005816,15.9,84.1
E02005817,17.3,82.7
E02005818,16.7,83.3
E02005835,20.1,79.9
E02005836,18.6,81.4
E02005837,20.4,79.6
E02005838,22.7,77.3
E02006813,22.7,77.3
E02006814,15.9,84.1
E02006869,22.9,77.1
E02006891,16.6,83.4
E02006892,22,78
E02007002,19,81
E02007044,18.2,81.8
E02007045,15.8,84.2
E02007079,18.6,81.4
E02007080,8.8,91.2
E02007081,18.9,81.1
