geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02001514,93.2,3.3,1.8,1.2,0.5
E02001522,93.4,3.4,1.6,1.3,0.4
E02001528,94.6,2.3,1.5,1.1,0.4
E02001530,93.7,3.3,1.1,1.2,0.8
E02001533,96.1,2.2,0.7,0.6,0.5
E02001534,94.4,2.6,1.3,1.1,0.6
E02001539,90.6,3.7,2.8,1.9,1
E02001540,96.5,2.3,0.6,0.4,0.2
E02001541,92.5,2.3,1.9,2,1.3
E02001542,94.8,3.2,1,0.6,0.4
E02001543,95.5,2.6,0.8,0.5,0.5
E02001544,95.3,2.8,1,0.8,0.2
E02001545,96.2,2.4,0.6,0.5,0.3
E02001546,95.7,3.1,0.6,0.4,0.3
E02001547,92.5,3.9,2.2,1,0.4
E02001548,89.7,5.1,2.3,1.8,1.1
E02001549,94.1,3.7,1.3,0.6,0.3
E02001550,94.4,3.3,1.4,0.4,0.4
E02001551,89.8,3.8,2.3,2.5,1.6
E02001552,88.2,5.9,3.4,1.7,0.9
E02001553,81.1,10,4.4,3,1.5
E02001554,96.3,2.5,0.4,0.4,0.4
E02001555,93.7,3.8,1.7,0.7,0.2
E02001556,78.1,12,4.6,3.2,2.1
E02001557,70.5,10.3,7.8,7.2,4.2
E02001558,97.7,1.4,0.4,0.3,0.2
E02001559,96.3,2.5,0.5,0.5,0.2
E02001560,59.1,14.2,10.3,9.3,7.1
E02001561,70.9,11.5,6.2,6.8,4.6
E02001562,88.3,6.8,3.3,1.2,0.5
E02001563,88.1,7.9,1.9,1.4,0.7
E02001564,95.7,3.2,0.6,0.3,0.2
E02001565,86.3,8.2,2.7,1.8,1.1
E02001566,78.3,8.2,5.6,5,2.9
E02001567,88.3,5.8,2.7,1.8,1.4
E02001568,94.7,3.4,1.1,0.7,0.2
E02001569,93.9,3.1,1.3,0.9,0.8
E02001570,95.9,2.7,0.9,0.3,0.3
E02001571,94.8,2.6,1.3,0.8,0.5
E02001572,88.7,5.6,3.4,1.4,0.9
E02001573,97.7,1.3,0.6,0.3,0.1
E02001574,94.5,3.4,0.8,0.8,0.4
E02001575,93.6,3.6,1.3,1,0.6
E02001576,94.8,3.8,0.7,0.4,0.3
E02001577,96.5,2.4,0.4,0.4,0.2
E02001578,96.3,2.4,0.6,0.5,0.3
E02001579,96.6,1.9,0.6,0.4,0.4
E02001580,97.7,1.4,0.4,0.3,0.2
E02001581,97.4,1.8,0.3,0.3,0.2
E02001582,97.4,1.9,0.3,0.4,0.1
E02001583,96.1,2.4,0.7,0.5,0.4
E02001585,93.4,3.6,1.2,1.2,0.6
E02001586,96.3,2.4,0.5,0.5,0.3
E02001587,95.3,2.9,0.9,0.5,0.4
E02001588,94.4,3.6,1,0.6,0.4
E02001589,97.3,2,0.3,0.3,0.1
E02001590,90.2,5.9,2,1,0.9
E02001591,77.2,13.4,4.1,3,2.2
E02001592,95,2.8,1.1,0.8,0.4
E02001593,75.3,14,4.4,3.3,2.9
E02001594,67.1,16.3,7.2,5.4,3.9
E02001595,97.6,1.7,0.3,0.2,0.2
E02001596,97.2,1.9,0.5,0.2,0.2
E02001597,96.4,2.1,0.9,0.3,0.2
E02001598,93.6,4.8,0.8,0.5,0.3
E02001600,77.9,15.3,2.8,2.3,1.7
E02001602,93.9,3.7,1.2,0.9,0.2
E02001603,95.9,2.3,0.9,0.4,0.3
E02001604,92.7,4.6,1.6,0.7,0.5
E02001605,96.5,2.6,0.4,0.3,0.1
E02001606,96.4,2.5,0.5,0.4,0.3
E02001607,96.8,2.3,0.5,0.3,0.1
E02001608,96.5,2.8,0.5,0.2,0.1
E02001609,97.6,1.9,0.2,0.2,0.1
E02001610,96.8,2.3,0.5,0.3,0.1
E02001628,59.2,22.6,8.3,5.9,4
E02001642,84.7,9.8,2.3,1.8,1.3
E02001647,92.6,5,1.2,0.7,0.5
E02001654,94.1,3.4,1.4,0.5,0.5
E02001655,91.9,4.8,1.7,1.1,0.5
E02001659,93.5,4,1.1,0.6,0.7
E02001666,96.4,2.9,0.3,0.3,0.1
E02001671,95,3.7,0.6,0.4,0.3
E02001673,97.2,1.9,0.4,0.2,0.4
E02001675,94.7,3.6,1,0.4,0.2
E02002330,96.2,2.7,0.5,0.5,0.2
E02002331,95.1,3.7,0.5,0.4,0.3
E02002334,95.7,3.2,0.5,0.3,0.3
E02002359,95.5,3.3,0.4,0.6,0.2
E02002403,95.7,2.9,0.7,0.5,0.2
E02002406,96.7,2.3,0.6,0.2,0.2
E02002417,96.3,2.7,0.5,0.3,0.2
E02002418,96.9,2.1,0.4,0.3,0.3
E02002432,96.9,2.2,0.5,0.3,0.1
E02002438,93.3,3.7,2,0.6,0.3
E02002439,92.3,3.7,1.8,1.4,0.9
E02002440,94.3,3.1,1.5,0.8,0.3
E02002441,94.2,3.2,1.6,0.8,0.3
E02002442,94.1,3.4,1.3,0.7,0.6
E02002447,95.2,2.5,1.4,0.6,0.4
E02002448,94.3,3.2,1.5,0.6,0.4
E02002449,95.1,3,1,0.6,0.3
E02002450,91,4.5,2.2,1.6,0.7
E02002452,91.9,4.2,1.9,1.2,0.7
E02002455,94.6,3,1.3,0.8,0.4
E02002460,96.7,2.2,0.4,0.4,0.3
E02002461,94.6,3.3,1.4,0.5,0.2
E02002464,93.9,3.1,1.7,0.8,0.4
E02002471,96.3,2.4,0.5,0.4,0.5
E02002476,92.8,4.2,1.6,0.9,0.4
E02002478,94.3,3.6,1.4,0.5,0.2
E02002479,96.4,2.1,0.6,0.5,0.4
E02002480,90.5,3.4,2.9,2,1.3
E02002481,91.3,4.5,2.7,0.9,0.5
E02002482,93.7,3.3,1.7,0.8,0.5
E02002653,95.7,2,1.5,0.5,0.2
E02002654,83.4,7.8,5.8,2.5,0.6
E02002655,94.6,2.9,1.6,0.6,0.3
E02002656,93.4,3.9,1.4,0.9,0.4
E02002657,95.1,2.8,1.3,0.5,0.2
E02002658,97.6,1.4,0.5,0.3,0.2
E02002659,83.6,8.8,4.7,2.1,0.8
E02002660,95.1,2.8,1.4,0.5,0.3
