geography_code,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02001514,94.8,1,0.6,3.6
E02001522,94.9,1,0.8,3.4
E02001528,95.8,1,0.4,2.8
E02001530,95.2,1.2,0.4,3.1
E02001533,97.7,0.7,0.3,1.3
E02001534,95.5,0.7,0.5,3.2
E02001539,92.8,1.3,1,4.9
E02001540,97.6,0.9,0.3,1.2
E02001541,95.2,0.8,0.5,3.5
E02001542,96.4,1,0.5,2.1
E02001543,97.5,0.8,0.3,1.3
E02001544,96.9,1,0.6,1.5
E02001545,98,0.6,0.4,1.1
E02001546,98.7,0.5,0.1,0.7
E02001547,94.5,1.3,0.8,3.4
E02001548,91.7,1.6,1.6,5.1
E02001549,96.1,1.3,0.4,2.3
E02001550,96.7,0.8,0.6,1.9
E02001551,92.5,1.5,0.8,5.3
E02001552,91.3,1.9,1.6,5.2
E02001553,85.4,3.3,2.7,8.6
E02001554,97.6,1,0.4,1
E02001555,95.2,1.1,0.5,3.2
E02001556,83.4,3.6,2.6,10.4
E02001557,74,4.5,1.8,19.8
E02001558,98.8,0.7,0.1,0.4
E02001559,97.5,1,0.2,1.3
E02001560,63.5,5.8,3.1,27.6
E02001561,77.6,4.4,2.5,15.5
E02001562,92.5,2.3,1.1,4.1
E02001563,92.9,3.1,1,3.1
E02001564,98.2,0.8,0.1,0.9
E02001565,91,3.1,1.2,4.7
E02001566,81,3.8,2.1,13
E02001567,91.7,2,1.2,5.2
E02001568,96.3,0.6,0.5,2.6
E02001569,95.3,1,0.9,2.8
E02001570,97.4,0.6,0.5,1.5
E02001571,96.7,0.9,0.2,2.2
E02001572,91,1.8,1.5,5.7
E02001573,98.4,0.6,0.2,0.9
E02001574,96.9,0.9,0.3,1.9
E02001575,95.6,1.5,0.6,2.3
E02001576,97.2,1.5,0.2,1.1
E02001577,98.8,0.6,0.1,0.5
E02001578,97.5,1,0.3,1.2
E02001579,98,0.9,0.2,0.9
E02001580,98.4,0.7,0.2,0.7
E02001581,98.5,0.6,0.4,0.5
E02001582,98.6,0.6,0.2,0.6
E02001583,97.2,0.8,0.3,1.6
E02001585,94.7,1.1,0.7,3.5
E02001586,98,0.6,0.3,1.1
E02001587,97,1,0.5,1.4
E02001588,96.7,0.9,0.9,1.5
E02001589,98.6,0.6,0.2,0.5
E02001590,92.7,2.4,1.2,3.7
E02001591,80.1,7,3.2,9.7
E02001592,96.6,1,0.6,1.9
E02001593,77.7,7,2.8,12.4
E02001594,71.3,7.7,3.9,17.2
E02001595,98.7,0.6,0.1,0.6
E02001596,98.4,0.7,0.3,0.7
E02001597,97.5,0.8,0.5,1.1
E02001598,95.4,2.5,0.8,1.3
E02001600,81.6,10.6,2.1,5.6
E02001602,96.2,1.5,0.8,1.5
E02001603,98,0.9,0.2,0.9
E02001604,95.8,1.6,0.9,1.6
E02001605,98.4,0.6,0.3,0.7
E02001606,97.9,0.8,0.3,1.1
E02001607,98.3,0.7,0.2,0.7
E02001608,98,1.1,0.4,0.5
E02001609,98.9,0.6,0.1,0.5
E02001610,98.4,0.8,0.3,0.5
E02001628,58.6,19.1,5.4,17
E02001642,88.6,6,1.3,4.1
E02001647,95.3,2.2,0.5,2
E02001654,96.5,1.5,0.7,1.2
E02001655,94.3,1.8,1,2.8
E02001659,95.8,1.4,0.7,2.2
E02001666,97.7,1.1,0.4,0.8
E02001671,97.4,1.3,0.3,1.1
E02001673,98.9,0.4,0.3,0.5
E02001675,97.1,1.1,0.3,1.4
E02002330,98.7,0.8,0,0.5
E02002331,97.7,1.1,0.3,0.9
E02002334,98.1,1.1,0.2,0.6
E02002359,98.4,0.8,0.1,0.7
E02002403,97.9,1.1,0.3,0.7
E02002406,98.8,0.7,0.2,0.3
E02002417,98.2,1.1,0.2,0.6
E02002418,98.8,0.6,0.3,0.4
E02002432,98.3,0.8,0.2,0.7
E02002438,94.6,1.5,1,2.9
E02002439,94.6,1.3,0.5,3.7
E02002440,96,0.9,0.5,2.6
E02002441,95.3,1.5,0.6,2.7
E02002442,95.7,1.3,0.6,2.4
E02002447,96.5,0.9,0.5,2.1
E02002448,96.3,0.9,0.4,2.4
E02002449,96.7,1.1,0.7,1.5
E02002450,93,1.7,0.9,4.4
E02002452,94.8,1.8,0.7,2.7
E02002455,96.2,1.2,1,1.6
E02002460,98.3,0.8,0.2,0.8
E02002461,96.6,1.1,0.6,1.7
E02002464,95.7,1.3,0.7,2.2
E02002471,98.4,0.8,0.2,0.6
E02002476,95.2,1.6,0.6,2.7
E02002478,95.6,1.3,0.7,2.4
E02002479,97.5,0.7,0.4,1.4
E02002480,91.6,0.9,0.6,6.8
