geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02001514,28.1,34.2,17.9,19.8
E02001522,31.9,34.9,16.7,16.5
E02001528,30,37.2,16.6,16.2
E02001530,31.3,36.3,16.5,15.9
E02001533,28.4,35.3,18.1,18.2
E02001534,29.1,35.2,18.5,17.3
E02001539,25.3,32.4,21,21.3
E02001540,28.1,36.2,18.7,17
E02001541,32.2,35.2,16.9,15.7
E02001542,29.3,33.6,17.6,19.5
E02001543,30.6,37.2,16.3,15.8
E02001544,29.1,36.3,15.6,19
E02001545,30.9,38.7,16.5,14
E02001546,27.7,41.1,16.1,15.2
E02001547,27.3,34.7,18.2,19.9
E02001548,35.1,30.9,17.2,16.7
E02001549,27.6,38,16.8,17.6
E02001550,31,34.3,16.4,18.3
E02001551,35.1,34.9,16.6,13.4
E02001552,30.2,32.6,17.4,19.8
E02001553,30.6,31.8,17.7,19.9
E02001554,28.1,37.4,18.3,16.2
E02001555,32.3,41.5,13.6,12.6
E02001556,29.7,30.9,17.5,21.9
E02001557,42.6,29.7,12.2,15.5
E02001558,28.7,42.9,15.3,13.1
E02001559,26.4,40,16.1,17.6
E02001560,42.1,27.3,13.9,16.7
E02001561,41,28.1,14.3,16.6
E02001562,34,34.3,16,15.8
E02001563,30.1,35.9,16,18
E02001564,24.9,42.3,15.4,17.3
E02001565,26.1,42,14.2,17.6
E02001566,30.6,32.1,18.3,19.1
E02001567,31,33.5,17.1,18.3
E02001568,31.9,36.1,16.3,15.7
E02001569,35.3,33.5,17,14.2
E02001570,38.8,33.1,13.1,14.9
E02001571,28.3,39.7,16.4,15.5
E02001572,32.3,33.3,17.4,17.1
E02001573,27.6,33.6,18.8,20
E02001574,25.5,42.8,15.7,16
E02001575,29.2,32.5,18.8,19.4
E02001576,29.2,35.2,16.9,18.8
E02001577,31.6,41.8,13.4,13.2
E02001578,26.7,33.3,18.5,21.5
E02001579,30.7,33.9,17.2,18.2
E02001580,32,37.5,15.8,14.8
E02001581,27.7,38.9,17.1,16.3
E02001582,28.2,36.4,18.5,16.9
E02001583,27.9,36.2,17.9,18
E02001585,39,31.9,14.1,15
E02001586,43.1,33.4,12.2,11.3
E02001587,34.3,34.4,16.1,15.1
E02001588,30.7,31.9,18.5,18.9
E02001589,26.6,39.3,15.5,18.6
E02001590,30.4,28.5,17.4,23.6
E02001591,33.6,26.9,15.4,24.1
E02001592,29.1,38.2,16.7,16.1
E02001593,37.8,27.1,14.9,20.3
E02001594,42.4,24,13.2,20.4
E02001595,26.5,40.1,17.1,16.4
E02001596,31.8,37.2,15.7,15.3
E02001597,32.7,32.4,17.7,17.3
E02001598,27.6,36.4,16.4,19.6
E02001600,28.3,31.9,13.2,26.6
E02001602,27.6,38.9,16.2,17.2
E02001603,28.1,37.1,16.2,18.6
E02001604,23.3,36.2,19.8,20.7
E02001605,28.9,38.6,16.9,15.5
E02001606,29.2,36,17,17.9
E02001607,28.2,36.9,16.1,18.8
E02001608,25.2,36.9,17.9,20
E02001609,26,41.7,16,16.2
E02001610,27.1,38.2,17.2,17.5
E02001628,26.6,23.4,13.4,36.6
E02001642,30.3,33.5,15.2,21
E02001647,31.2,34.5,15.3,19
E02001654,27.4,36.7,17.2,18.7
E02001655,31,34.3,17.6,17.1
E02001659,43.3,31.8,12.4,12.6
E02001666,28.8,34.7,18.3,18.1
E02001671,32,39.9,14.5,13.6
E02001673,22.8,40,17.8,19.4
E02001675,36.3,36,15.2,12.5
E02002330,23.8,44.5,14.1,17.6
E02002331,36.1,37.5,12.7,13.8
E02002334,29.8,37.7,13.4,19
E02002359,28.4,40.1,14.4,17.2
E02002403,32.7,37,14.1,16.2
E02002406,21.9,40.7,17.1,20.2
E02002417,27,38.7,16.3,18
E02002418,27.2,38.2,17.7,16.9
E02002432,26.7,36.3,17.5,19.5
E02002438,26.1,35.3,17.9,20.7
E02002439,37.8,35.2,14.9,12.1
E02002440,25.4,36.7,17.9,20
E02002441,33.6,33.7,16.8,15.9
E02002442,25.6,40.4,17.7,16.3
E02002447,33.8,34.7,14.8,16.7
E02002448,32.8,34.6,16.6,16
E02002449,22.1,41.5,18.6,17.8
E02002450,26.5,37.1,17.3,19.1
E02002452,37.7,31.9,16.2,14.2
E02002455,29.5,31.2,19.3,20
E02002460,29.3,38.9,15.3,16.5
E02002461,26.4,37.1,18,18.5
E02002464,31.4,35.1,17,16.5
E02002471,26.6,40.7,16.5,16.2
E02002476,27.6,33.6,18.8,19.9
E02002478,26,37.4,17.6,19.1
E02002479,32.8,37.1,15,15.1
E02002480,36.7,35.9,15.3,12.2
E02002481,28,34,18.5,19.5
E02002482,27.8,31.7,17.5,23
E02002653,31.8,30.5,17.1,20.5
E02002654,29.7,24.4,16.9,28.9
E02002655,30.6,29.7,18.3,21.4
E02002656,36,42.4,12,9.6
E02002657,28.3,37.5,16.5,17.7
E02002658,34.5,36.6,14.4,14.5
E02002659,30.6,29.2,17,23.2
E02002660,31.4,34.8,17.4,16.4
E02002661,26.9,34.3,17.7,21
E02002662,36.2,33.9,13.9,16
E02002663,25.9,30.4,18,25.8
E02002664,22.1,39.5,17.9,20.5
E02002665,28.2,35.9,16.8,19.2
E02002666,40.5,27.3,13.6,18.6
E02002667,34.8,35.3,14.8,15.1
E02002668,31.9,31.6,17.6,19
E02002669,36.7,32,15.4,15.9
E02002670,35.1,32.9,16.8,15.2
E02002671,29.6,33.3,17.3,19.9
E02002672,27.7,29.1,18.4,24.8
E02002673,33.9,35,15.5,15.6
E02002674,36,37.2,16.2,10.6
E02002675,43.2,26,12.8,18.1
E02002676,38.7,34.1,13.6,13.6
E02002677,45.1,28.9,13.4,12.5
E02002678,33.3,31.3,18.8,16.5
E02002679,31.7,34,16.7,17.5
E02002680,60,23.6,7.6,8.8
E02002681,39,29.5,12.9,18.6
E02002682,31.9,31.4,17.3,19.4
E02002684,32.2,46.4,11.3,10.1
E02002685,31.9,45,11.7,11.4
E02002686,40.9,31.7,12.3,15
E02002687,42.9,34.4,10.5,12.1
E02002688,44.6,31.2,10.7,13.5
E02002689,26.9,45.4,13.1,14.6
E02002691,26.4,44.3,13.5,15.9
E02002692,23.1,43.8,15.3,17.8
E02002693,25.3,46.6,13,15
E02002694,31.5,40,14.2,14.2
E02002695,31.9,41.6,12.9,13.5
E02002696,23.6,44.6,14.9,16.9
E02002697,25.5,43.5,14.3,16.6
E02002698,28.4,39.5,15,17.1
E02002699,27.2,41.6,13.9,17.4
E02002700,37.9,31.6,15.6,14.9
E02002701,21.7,45.3,14.8,18.2
E02002702,43.3,37,10.9,8.9
E02002703,25.5,41.9,15.8,16.8
E02002704,24.5,47.7,13.1,14.7
E02002705,26.8,43.3,15,14.9
E02002706,30.1,39.2,15.7,15
E02002707,23.9,43.9,16,16.2
E02002708,42.6,35,10.5,11.9
E02002709,27.7,40.8,14.6,16.9
E02002710,29.2,38.1,15.4,17.3
E02002711,25.6,42.7,14.4,17.3
E02002712,32.4,39.7,15.2,12.7
E02002714,25.5,43.7,14.2,16.6
E02002715,26,35.7,17.6,20.7
E02002716,28,39.7,15.7,16.6
E02002717,36.8,34,15,14.3
E02002718,23.9,40.9,16.1,19.1
E02002719,25.1,40.4,17.2,17.3
E02002720,25.9,40.6,16.7,16.8
E02002721,29.2,39.9,15.2,15.6
E02002723,31.1,37.3,16.1,15.5
E02002724,32.8,32.1,15.8,19.3
E02002725,24.4,42,16.9,16.7
E02002726,30,35.8,16.2,18.1
E02002727,51.5,24.6,12.1,11.8
E02002728,41.6,30.6,14.5,13.2
E02002729,33.9,36.6,13.7,15.8
E02002730,34.5,28.9,17.9,18.7
E02002731,31.4,30.8,19,18.8
E02002732,24.1,40,17.1,18.8
E02002733,39.7,31.6,16.2,12.5
E02002734,30.9,36.6,16.7,15.8
E02002736,35.6,28.2,16.9,19.4
E02002737,28.2,38.3,17.2,16.2
E02002738,26.3,39.7,16.8,17.2
E02002739,40.1,34.5,13.2,12.1
E02002740,32.1,33.1,17.4,17.4
E02002741,29,35.8,17,18.2
E02002743,38.3,38.2,12.3,11.2
E02002744,28.6,30.3,17.9,23.2
E02002745,31.2,42.5,13.3,13
E02002746,29.4,37,15.8,17.8
E02002747,26.2,41.4,15.7,16.7
E02002748,28.1,43.2,14.4,14.2
E02002749,31,38.9,15.6,14.6
E02002750,25.9,42.4,15.1,16.6
E02002751,27.7,40.4,14.7,17.2
E02002752,25.3,42.1,15.9,16.7
E02002753,34.2,40.8,12.7,12.3
E02002754,27.8,38.7,17.2,16.3
E02002755,31.5,30,16.7,21.8
E02002756,30.4,26.5,15.8,27.3
E02002757,24.8,35.9,17.1,22.2
E02002758,31.3,31.6,19.6,17.5
E02002759,30.4,40.6,13.6,15.5
E02002760,29.6,38,16.4,16
E02002761,28.7,41.8,14.3,15.2
E02002762,35.7,31.8,15.4,17
E02002763,31.9,31.6,17.4,19.1
E02002764,25.5,31.8,17.8,24.9
E02002765,33.9,33.5,16.6,16.1
E02002766,27.9,36.8,16.9,18.4
E02002767,29.5,42,15,13.5
E02002768,27,40.4,15,17.6
E02002769,26.7,44.2,13.6,15.5
E02002770,26.6,42.4,15,16.1
E02002771,23.5,44.7,16.3,15.4
E02002772,22.3,38.1,17.1,22.4
E02002773,30.3,41.7,13.7,14.3
E02002774,26.6,41.2,14.7,17.6
E02002775,34.3,37.1,13.1,15.5
E02002776,29.8,40,15.5,14.7
E02002777,25.9,39.1,16.8,18.2
E02002778,31.1,39.5,14.6,14.7
E02002779,30.1,38.6,14.8,16.5
E02002780,32.9,33.1,15.5,18.5
E02002781,34.3,34.1,15.6,16
E02002782,23.6,40.4,15,21
E02002783,26.3,36.4,17.5,19.8
E02002784,51.5,34.6,7.8,6.2
E02002785,24.6,37.6,15.6,22.2
E02002786,25.5,30.7,18.6,25.3
E02002787,37.4,36,13.3,13.4
E02002788,34.2,39.4,12.6,13.8
E02002789,32,31.7,16.8,19.5
E02002790,33.6,34.9,14.2,17.3
E02002791,25.7,38.6,13.9,21.8
E02002792,30.9,39.1,15.6,14.4
E02002793,31,38.9,14.9,15.2
E02002794,27.6,36.5,16.1,19.8
E02002795,25.3,42.3,13.3,19.1
E02005424,25.5,46.5,14.3,13.8
E02005427,41.6,36.3,12,10.2
E02005492,29.2,41.8,13.8,15.2
E02005493,26.2,41.5,15.2,17.2
E02005494,33.6,39.5,13.1,13.8
E02005495,41.9,31.5,13.3,13.3
E02005496,26.5,43.4,15.1,15
E02005497,30.4,34.5,16.1,19
E02005759,31.4,41.5,13,14.1
E02005760,21.4,42.7,16.5,19.4
E02005765,26.2,43.7,14.1,16
E02005776,20.6,43.6,15.9,19.9
E02005791,25.2,42.1,16.4,16.3
E02005794,26.8,44.1,13.4,15.7
E02005809,33,35.2,14.9,16.9
E02005810,22.4,39.4,16.9,21.3
E02005811,23.3,41.2,16.9,18.6
E02005812,25.8,39.2,16.9,18.1
E02005813,34.4,32.7,16.5,16.4
E02005814,28.7,39.2,15.7,16.4
E02005815,24.5,43.3,15.3,16.9
