geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02001514,92.1,0.1,7.7,0.2
E02001522,91.1,0.1,8.6,0.2
E02001528,93.2,0.1,6.5,0.3
E02001530,90.5,0,8.9,0.6
E02001533,93.3,0,6.6,0.1
E02001534,90.7,0.1,9,0.2
E02001539,94.1,0.1,5.4,0.4
E02001540,92.5,0.1,7.3,0.2
E02001541,92.3,0,7.2,0.5
E02001542,91.9,0.1,7.9,0.2
E02001543,92.9,0.1,6.7,0.3
E02001544,93,0.1,6.8,0.1
E02001545,92.5,0.1,7.2,0.2
E02001546,85.3,0.1,14.5,0.1
E02001547,91.7,0.1,7.9,0.3
E02001548,90.8,0,8.6,0.6
E02001549,94,0.2,5.7,0.2
E02001550,92.5,0.1,7.2,0.2
E02001551,90.1,0.1,8.9,1
E02001552,91.6,0.1,7.9,0.4
E02001553,90.5,0.1,8.7,0.7
E02001554,93.9,0.2,5.8,0.2
E02001555,94.9,0.1,4.9,0.1
E02001556,93.2,0.1,5.9,0.8
E02001557,87.8,0.1,10.7,1.4
E02001558,94.2,0.1,5.5,0.2
E02001559,92.3,0.2,7.2,0.3
E02001560,83.5,0.1,14.3,2.1
E02001561,89.4,0.1,8.6,1.9
E02001562,93.6,0.1,6.1,0.2
E02001563,91.1,0.2,8.4,0.4
E02001564,94,0.3,5.6,0.1
E02001565,90.1,0.3,9.1,0.6
E02001566,88.5,0.2,10.1,1.1
E02001567,92.6,0.1,7,0.3
E02001568,90.7,0.1,9.2,0.1
E02001569,90.8,0.2,8.7,0.4
E02001570,91.9,0.2,7.8,0.1
E02001571,92.5,0.1,7,0.4
E02001572,91.4,0.1,8.1,0.4
E02001573,94.3,0.1,5.4,0.2
E02001574,93.2,0.1,6.6,0.2
E02001575,90.4,0.1,9.2,0.3
E02001576,90.5,0.2,9,0.2
E02001577,92.6,0.2,7,0.2
E02001578,92.6,0.1,7.1,0.1
E02001579,92.1,0.1,7.5,0.2
E02001580,93.4,0.1,6.3,0.2
E02001581,93.6,0.1,6.2,0.1
E02001582,93.8,0.1,6.1,0
E02001583,93.1,0,6.5,0.3
E02001585,90.1,0.1,9.6,0.2
E02001586,93.1,0,6.6,0.2
E02001587,91.8,0.1,7.9,0.2
E02001588,94.4,0,5.3,0.3
E02001589,93.2,0.1,6.5,0.2
E02001590,93.9,0.1,5.8,0.3
E02001591,93.4,0.1,5.8,0.8
E02001592,93.6,0.1,6.1,0.3
E02001593,91.1,0,7.7,1.2
E02001594,85.7,0.1,13.1,1
E02001595,93.7,0.2,5.9,0.2
