areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00070199,14.4,44.1,24.6,16.9
E00070200,21.7,50,20,8.3
E00070201,38.2,38.2,17.3,6.4
E00070202,12.4,36.1,39.2,12.4
E00070203,27.9,45,19.8,7.2
E00070204,16.4,53.3,23.8,6.6
E00070306,26.1,34.8,26.1,13
E00070309,58.9,32,5.7,3.4
E00070310,47.8,41.4,7.9,3
E00070312,25.2,54.7,17.3,2.9
E00070313,51.6,38.5,5.7,4.1
E00070315,27.3,49.1,20,3.6
E00070316,26.2,51.7,19.3,2.8
E00070317,37.3,44.9,14.4,3.4
E00070318,9.7,26.6,38.7,25
E00070319,27.4,50.4,17.9,4.3
E00070321,31.9,50.9,15.5,1.7
E00070322,26.8,44.7,21.1,7.3
E00070325,24.8,51.2,21.5,2.5
E00070326,25.6,54.9,15.9,3.7
E00070327,24.8,55.3,15.5,4.3
E00070328,33.3,48.8,16.3,1.6
E00070331,13.2,55.9,24.3,6.6
E00070334,50.7,41.1,6.8,1.4
E00070337,43.8,41.2,13.7,1.3
E00070339,45,40.2,12.2,2.6
E00070341,24.5,43,27.8,4.6
E00070342,47,41.8,7.5,3.7
E00070344,35.1,41.8,20.9,2.2
E00070345,25.5,58.5,14.2,1.9
E00070346,43.9,39.8,15.3,1
E00070347,21.3,46.3,28.7,3.7
E00070352,29.3,51.2,15.4,4.1
E00070353,34.9,47.3,13.2,4.7
E00070354,42.2,44.8,11,1.9
E00070355,24.8,53.2,17.4,4.6
E00070356,32.1,52.8,12.3,2.8
E00070357,13.5,57.7,21.6,7.2
E00070358,20.6,48.4,25.4,5.6
E00070359,39.2,40,16.2,4.6
E00070360,40.5,52,6.1,1.4
E00070415,54.4,38.9,5.2,1.6
E00070416,55.2,34.4,9.1,1.3
E00070417,57.5,35.4,6.2,0.9
E00070418,63.3,31.7,3.9,1.1
E00070419,53.9,41.8,4.3,0
E00070420,65.4,26.3,7.5,0.8
E00070421,51.6,41.3,6.3,0.8
E00070424,58.5,31.7,9.2,0.7
E00070425,37.8,41.5,20.1,0.6
E00070426,44.6,47.5,4,4
E00070427,45.7,42.5,10.2,1.6
E00070429,42.7,41.4,14,1.9
E00070430,55.7,39.6,4.7,0
E00070439,48.9,36.8,13.2,1.1
E00070466,46.7,36.7,13.3,3.3
E00070467,51,37.4,10.9,0.7
E00070476,16.7,31.5,33.3,18.5
E00070481,18.5,48.7,29.4,3.4
E00070484,16.5,53.5,25.2,4.7
E00070502,43.6,47.3,9.1,0
E00070503,39.3,39.3,14.8,6.6
E00070507,35.8,27.5,30,6.7
E00070510,32.5,44.2,20,3.3
