areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
W00002291,55.1,35.3,9,0,0.6
W00002292,44.8,39,14.9,1.3,0
W00002293,40,41.7,18.3,0,0
W00002303,54.8,31.9,11.1,2.2,0
W00002305,64.8,23.3,11.9,0,0
W00002344,65.5,26.2,8.3,0,0
W00002345,61.1,31.3,6.9,0.7,0
W00002346,63.6,28.3,6.9,1.2,0
W00002347,65.4,22.1,12.5,0,0
W00002361,53.6,32.8,13.7,0,0
W00002363,62.3,31.9,5.8,0,0
W00002373,69.7,24.1,5.5,0.7,0
W00002374,60,30.3,7.7,1.3,0.6
W00002375,43.4,33.3,22.5,0,0.8
W00002468,58.5,25.9,14.1,1.5,0
W00002469,59.8,29.9,7.9,1.8,0.6
W00002470,66.5,22.2,9.6,1.2,0.6
W00002475,74.1,21.5,4.4,0,0
W00002476,71.1,20.8,8.2,0,0
W00002477,49.6,33.1,12.8,4.5,0
W00002610,29,41.4,29,0.7,0
W00002611,42.1,35.5,20.7,1.7,0
W00002612,37.2,36.6,24.1,2.1,0
W00002613,29.6,51.3,19.1,0,0
W00002614,35.6,35.6,28.8,0,0
W00002615,25.3,42.7,29.8,2.2,0
W00002616,55.7,36.4,7.1,0.7,0
W00002619,59.4,36.1,3,0.8,0.8
W00002620,30.9,22.7,44.5,1.8,0
W00002621,46,47.8,5.3,0.9,0
W00002622,47.6,44.4,7.1,0.8,0
W00002623,44.4,36.8,17.1,1.7,0
W00002624,32.4,28.7,38.2,0.7,0
W00002625,36.3,30.6,25.8,7.3,0
W00002627,49.8,30.7,19.5,0,0
W00002628,15.4,27.7,55.4,1,0.5
W00002629,54.7,26.5,17.1,1.7,0
W00002630,71.2,23,5.8,0,0
W00002631,37,40.3,22.7,0,0
W00002632,46.7,36.1,16.4,0.8,0
W00002633,45.5,39.1,12.7,1.8,0.9
W00002634,24.6,40,34.6,0.8,0
W00002636,25.3,38.9,34,1.2,0.6
W00002637,50,35.5,14.5,0,0
W00002638,58.4,26,13.6,1.9,0
W00002641,60.3,26.8,11.2,1.7,0
W00002642,50.5,38.5,11,0,0
W00002643,64.9,21.6,12.8,0,0.7
W00002644,59,31.3,9.7,0,0
W00002645,62.1,28.6,9.3,0,0
W00002646,72.4,16.2,11.4,0,0
W00002648,48.5,36.1,14.4,1,0
W00002692,61.7,29.9,8.4,0,0
W00002693,65,23.6,10.2,1.3,0
W00002694,66.3,26.8,5.8,1.1,0
W00009770,53.5,35.6,10.9,0,0
W00009774,24.3,33.9,40.1,1.7,0
W00009775,47.6,31.4,21,0,0
W00009776,39.9,38.8,16,5.3,0
W00009777,42.8,41.5,14.5,1.3,0
W00009778,49.5,27.4,23.2,0,0
W00009791,52.2,34.6,11.9,1.3,0
W00010339,62.7,22.7,14.5,0,0
W00010342,21.7,39.1,30.4,8.7,0
