areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
W00002291,97.3,2.1,0.6
W00002292,98.9,0,1.1
W00002293,98.1,1.4,0.5
W00002303,96.4,1.3,2.3
W00002305,97.7,0.3,2
W00002344,97.7,0.6,1.6
W00002345,94.8,3.5,1.7
W00002346,97.5,0.9,1.6
W00002347,98.3,0.9,0.9
W00002361,96,0.8,3.2
W00002363,96.9,1.4,1.7
W00002373,97.4,2.3,0.3
W00002374,97,0,3
W00002375,98.4,0.3,1.3
W00002468,95.1,2.6,2.3
W00002469,95.5,2.1,2.4
W00002470,95.9,1.3,2.8
W00002475,96.4,0.6,3.1
W00002476,97.6,2.1,0.3
W00002477,98.3,1.3,0.3
W00002610,96.9,1,2.1
W00002611,98.4,0.4,1.2
W00002612,92.2,0.8,7
W00002613,94.2,0.5,5.3
W00002614,98.5,0,1.5
W00002615,87.7,0.2,12.1
W00002616,93.8,0.7,5.5
W00002619,96.7,1,2.3
W00002620,97.7,0.4,1.9
W00002621,93.7,3.1,3.1
W00002622,96.9,0.9,2.2
W00002623,95.4,0.4,4.2
W00002624,93.7,1.5,4.8
W00002625,92.5,3,4.5
W00002627,92.5,2.8,4.7
W00002628,80.2,1.9,17.9
W00002629,90.5,2.9,6.6
W00002630,93.4,1.4,5.2
W00002631,94.4,1.9,3.8
W00002632,92.7,0.8,6.5
W00002633,80.7,1.1,18.2
W00002634,89.2,2.6,8.2
W00002636,94.6,1.1,4.3
W00002637,93.1,1.8,5.1
W00002638,97.1,0.5,2.4
W00002641,94.4,2.2,3.3
W00002642,98,0,2
W00002643,93.7,2.6,3.7
W00002644,99.2,0,0.8
W00002645,97.1,1.9,1
W00002646,93.1,3.7,3.3
W00002648,99.5,0.5,0
W00002692,94.7,2.1,3.3
W00002693,97,1.1,1.9
W00002694,96.2,2.2,1.6
W00009770,93.4,3.5,3.1
W00009774,98.6,0.5,0.8
W00009775,94.6,2.9,2.5
W00009776,93.3,1.2,5.5
W00009777,89.8,1.9,8.3
W00009778,96.7,0,3.3
W00009791,95.3,2.6,2.1
W00010339,77.5,1.9,20.6
W00010342,55,2.6,42.4
