geography_code,in_full_time_education-001,in_full_time_education-002
E00149399,11.4,88.6
E00149400,11.3,88.7
E00149401,9.2,90.8
E00149402,8.7,91.3
E00149403,25.5,74.5
E00149404,21.7,78.3
E00149405,12.1,87.9
E00149406,15,85
E00149407,11.9,88.1
E00149408,9.4,90.6
E00149409,18.7,81.3
E00149410,18.1,81.9
E00149411,18.9,81.1
E00149436,10.1,89.9
E00149437,13.7,86.3
E00149438,10.7,89.3
E00149442,9.4,90.6
E00149443,3.2,96.8
E00149444,2.2,97.8
E00149445,6.3,93.8
E00149446,11.3,88.7
E00149447,5.6,94.4
E00149448,23,77
E00149450,11.7,88.3
E00149451,8,92
E00149452,10.2,89.8
E00149453,16.4,83.6
E00149454,10,90
E00149455,19.8,80.2
E00149456,12.5,87.5
E00149457,8.4,91.6
E00149458,9.6,90.4
E00149459,12.3,87.7
E00149460,14.5,85.5
E00149461,17.8,82.2
E00149462,3.9,96.1
E00149463,4.1,95.9
E00149464,12,88
E00149465,19.2,80.8
E00149466,6.9,93.1
E00149467,17.8,82.2
E00149468,13.3,86.7
E00149488,10.6,89.4
E00149499,15.8,84.2
E00149500,13.7,86.3
E00149502,17.3,82.7
E00149508,7,93
E00149509,6.1,93.9
E00149510,5,95
E00149511,18.2,81.8
E00149513,11,89
E00166047,16.9,83.1
E00166049,13,87
E00166050,20,80
E00171421,8.2,91.8
W00005608,34.2,65.8
W00005609,12.2,87.8
W00005610,20.6,79.4
W00005611,21.4,78.6
W00005613,17.1,82.9
W00005614,8.7,91.3
W00005615,20.9,79.1
W00005616,21.9,78.1
W00005617,17.1,82.9
W00005618,14.2,85.8
W00005619,18.9,81.1
W00005620,13.6,86.4
W00005621,20.8,79.2
W00005622,2.3,97.7
W00005623,13.2,86.8
W00005624,20.6,79.4
W00005820,16.4,83.6
W00005821,18.6,81.4
W00005902,18.5,81.5
W00005903,13.9,86.1
W00005905,19.8,80.2
W00005906,10.7,89.3
W00005907,9.8,90.2
W00005908,16,84
W00005909,13.3,86.7
W00005910,12.8,87.2
W00005911,19.3,80.7
W00005913,11.6,88.4
W00005914,17,83
W00005915,11.5,88.5
W00005916,13.5,86.5
W00005917,11,89
W00005928,20.1,79.9
W00009829,12.6,87.4
W00009830,17.3,82.7
W00009835,20.6,79.4
W00009847,22.8,77.2
W00009848,30.6,69.4
W00009849,24.5,75.5
W00010504,18.7,81.3
W00010505,11.9,88.1
W00010508,18.8,81.3
W00010513,14.3,85.7
W00010525,15.8,84.2
W00010530,19.6,80.4
W00010539,22.6,77.4
W00010543,17.1,82.9
W00010564,17.7,82.3
W00010576,13,87
W00010582,14.2,85.8
W00010590,11.7,88.3
W00010617,22.1,77.9
W00010622,21.4,78.6
W00010634,24.2,75.8
W00010647,16,84
