geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E00149399,36.8,18.4,18.4,26.3
E00149400,46.3,24.6,14.9,14.2
E00149401,44.9,11.6,26.1,17.4
E00149402,39.8,19.3,22.7,18.2
E00149403,41.8,21.3,17.7,19.1
E00149404,35.7,20.7,22.1,21.4
E00149405,57.1,21.1,11.6,10.2
E00149406,37.5,26.9,18.3,17.3
E00149407,42.3,21.8,20.5,15.4
E00149408,33.8,22.5,32.4,11.3
E00149409,46.8,20.7,14.4,18.1
E00149410,49.4,18.1,13.3,19.3
E00149411,51.4,27.7,6.8,14.2
E00149436,20.5,21.6,44.3,13.6
E00149437,37.3,16.1,24.9,21.8
E00149438,29.1,22.1,33.7,15.1
E00149442,47,19.4,14.2,19.4
E00149443,24.5,28.6,36.7,10.2
E00149444,38.1,19,28.6,14.3
E00149445,27,20.2,43.8,9
E00149446,35.7,28.6,21.4,14.3
E00149447,49.2,25.4,14.3,11.1
E00149448,47.7,27.3,15.2,9.8
E00149450,34.3,18.9,21,25.9
E00149451,43.2,24.8,20.8,11.2
E00149452,48.9,27.7,16,7.4
E00149453,58.2,13.5,10.6,17.7
E00149454,45.3,20.8,13.2,20.8
E00149455,48.5,24.8,9.9,16.8
E00149456,26.4,25.5,31.1,17
E00149457,40.8,25.4,21.1,12.7
E00149458,45,27.5,13.8,13.8
E00149459,25.9,29.3,19,25.9
E00149460,46,22.6,16.9,14.5
E00149461,40.3,23.4,19.4,16.9
E00149462,33.3,28.6,19,19
E00149463,42.3,24.4,16.7,16.7
E00149464,22.1,27.9,33.8,16.2
E00149465,40.3,24,13.6,22.1
E00149466,27.3,23.6,25.5,23.6
E00149467,47.5,31.3,5,16.3
E00149468,45.5,30.3,13.1,11.1
E00149488,12.9,30.3,41.7,15.2
E00149499,23.6,30.4,27,18.9
E00149500,24.5,28.6,25.5,21.4
E00149502,28.8,37.6,17.6,15.9
E00149508,31.3,25,31.3,12.5
E00149509,31.6,21.9,22.8,23.7
E00149510,22.4,32.9,28.2,16.5
E00149511,28.9,28.1,24,19
E00149513,8.5,55.3,21.3,14.9
E00166047,28.3,20.1,34,17.6
E00166049,42.9,20.6,20.6,15.9
E00166050,48.8,19.2,17.6,14.4
E00171421,49.5,27.4,11.6,11.6
W00005608,26,18.3,40.5,15.3
W00005609,31.7,19.5,34.1,14.6
W00005610,46.9,22.4,20.4,10.2
W00005611,31.9,20.6,27.7,19.9
W00005613,23.1,19.7,47.9,9.4
W00005614,24,25.3,36,14.7
W00005615,28.5,22.7,38.6,10.1
W00005616,28.4,15.8,45.4,10.4
W00005617,30.7,19.6,39.3,10.4
W00005618,23.8,28.5,33.1,14.6
W00005619,24.4,21.3,40.9,13.4
W00005620,27,26.2,34.4,12.3
W00005621,23,23,41,12.9
W00005622,25,21.4,42.9,10.7
W00005623,28.8,22.1,42.3,6.7
W00005624,40.8,19,29.1,11.2
W00005820,31.8,26.8,26.8,14.6
W00005821,41.8,19,25.4,13.8
W00005902,21.8,30.8,26.3,21.1
W00005903,25.4,32.1,29,13.5
W00005905,25.4,40.3,22.4,11.9
W00005906,18.4,26.4,42.3,12.9
W00005907,19.7,34.1,32.6,13.6
W00005908,26.4,30.9,23.6,19.1
W00005909,24,34.4,28.8,12.8
W00005910,14.9,28.4,41.9,14.9
W00005911,27.2,35,28.2,9.7
W00005913,20.5,25,38.6,15.9
W00005914,21.8,28.9,34,15.2
W00005915,24.4,30.1,32.5,13
W00005916,35.5,27.3,20,17.3
W00005917,24.1,23,27.6,25.3
W00005928,24.4,38.9,22.8,14
W00009829,26.5,27.6,31.6,14.3
W00009830,44,12.8,31.2,11.9
W00009835,30.1,15.8,47.4,6.8
W00009847,19.4,29.1,41.2,10.3
W00009848,14.7,29.1,45.6,10.5
W00009849,19.1,26.3,41.4,13.2
W00010504,22.7,26.3,43.3,7.7
W00010505,28.3,28.3,23,20.4
W00010508,33.1,20.9,34.7,11.3
W00010513,27.6,25.2,33.1,14.2
W00010525,20,27.1,39.4,13.5
W00010530,25.8,25.3,37.4,11.5
W00010539,20.6,32.7,30.9,15.8
W00010543,28.5,24.1,27.7,19.7
W00010564,19.7,31.8,28,20.4
W00010576,33.3,20.6,33.9,12.1
W00010582,28.2,28.2,35.1,8.5
W00010590,31.3,29.7,24.2,14.8
W00010617,25,19.1,39,16.9
W00010622,24.8,30.2,35.6,9.4
W00010634,11.5,29.4,50.9,8.3
W00010647,24.4,22.8,42.1,10.7
