geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00149399,71.5,3.2,25.3
E00149400,73.6,2.9,23.5
E00149401,76.5,2.9,20.6
E00149402,81.1,2.2,16.7
E00149403,59.7,2.5,37.8
E00149404,75.2,2.2,22.7
E00149405,66.2,11.4,22.4
E00149406,73.8,3.5,22.7
E00149407,76.3,9.7,14
E00149408,81.5,1.9,16.6
E00149409,74.9,1.8,23.2
E00149410,74.4,6.9,18.6
E00149411,75.7,2.4,22
E00149436,79.8,6.2,14
E00149437,72.1,1.9,26.1
E00149438,81,2.4,16.6
E00149442,69.4,11.1,19.5
E00149443,85,4.2,10.8
E00149444,70,5.6,24.4
E00149445,87.2,1.8,10.9
E00149446,77.1,4,19
E00149447,64.3,8.9,26.8
E00149448,77.9,7.9,14.3
E00149450,78.1,1.3,20.5
E00149451,71.7,5.7,22.6
E00149452,64.3,7.1,28.6
E00149453,72.6,9.7,17.7
E00149454,69.4,5.2,25.4
E00149455,65.1,3.4,31.5
E00149456,77.4,7.2,15.4
E00149457,83.4,1.5,15.1
E00149458,70.3,5,24.8
E00149459,72.5,6.3,21.2
E00149460,72.1,2.7,25.2
E00149461,74.1,2,23.9
E00149462,67.9,2.4,29.7
E00149463,64.8,1.5,33.7
E00149464,73.5,6.6,19.9
E00149465,81.9,3.8,14.2
E00149466,71.7,3.4,24.9
E00149467,58.1,3.7,38.2
E00149468,72.2,2.1,25.7
E00149488,84.1,0.6,15.3
E00149499,73.2,2.9,24
E00149500,77.4,1.3,21.3
E00149502,70.7,1.8,27.5
E00149508,78.4,0,21.6
E00149509,78,2.4,19.5
E00149510,75.7,4.4,19.9
E00149511,71.2,1.5,27.3
E00149513,79.4,2.9,17.6
E00166047,58.1,15.3,26.6
E00166049,72.7,5.2,22.1
E00166050,71.4,6,22.6
E00171421,76.6,7.6,15.8
W00005608,92.7,0.8,6.5
W00005609,88.1,0.9,11
W00005610,79.2,1.2,19.6
W00005611,80.2,1,18.8
W00005613,91.1,1.6,7.4
W00005614,92.8,0.5,6.7
W00005615,84.4,4.6,11
W00005616,90.4,2,7.6
W00005617,89.4,0.6,9.9
W00005618,89.3,1,9.8
W00005619,90.4,0.7,8.8
W00005620,83.5,2.9,13.6
W00005621,89.7,2,8.3
W00005622,89.9,2.7,7.4
W00005623,95,0.4,4.6
W00005624,79.2,3.2,17.6
W00005820,84.5,1,14.5
W00005821,79.8,2,18.2
W00005902,86,0.3,13.6
W00005903,92,0.3,7.7
W00005905,69.3,2,28.7
W00005906,92.3,2.3,5.4
W00005907,85.9,2.2,11.9
W00005908,87.1,0.8,12.1
W00005909,88.9,3.5,7.7
W00005910,89.5,1.7,8.7
W00005911,85.2,0.4,14.4
W00005913,87,1,12.1
W00005914,88.9,0.8,10.2
W00005915,89.1,1.4,9.4
W00005916,86.6,0.8,12.6
W00005917,87,0.4,12.6
W00005928,79.7,0.9,19.4
W00009829,80.2,2.7,17.1
W00009830,81.4,0.7,17.9
W00009835,91.5,3.1,5.4
W00009847,89.8,3.7,6.4
W00009848,91.8,1.6,6.6
W00009849,93.7,1.6,4.8
W00010504,87.2,5.1,7.8
W00010505,74.2,1.3,24.6
W00010508,88.4,2.6,9
W00010513,80.5,2.8,16.7
W00010525,84.3,2.7,13
W00010530,84.7,2.9,12.3
W00010539,86.1,4.3,9.6
W00010543,84.7,1.5,13.9
W00010564,81.5,1.5,17
W00010576,89.2,2.3,8.5
W00010582,86.7,3.1,10.2
W00010590,79.6,7.3,13.1
W00010617,85.6,1.6,12.8
W00010622,82.7,2.2,15.1
W00010634,94.2,0.2,5.6
W00010647,86.7,4.1,9.2
