areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00071229,13.1,13.1,64.1,9.7
E00071230,5.2,23.5,62.1,9.2
E00071232,12.9,20.7,64.3,2.1
E00071233,8.1,26.3,57.6,8.1
E00071234,14.9,21.1,59.6,4.3
E00071235,8.6,24.7,54.3,12.3
E00071236,8.8,20.8,62.9,7.5
E00071238,10.6,19.3,64.6,5.6
E00071302,13.3,14.7,61.3,10.7
E00071303,6.5,14.5,68.1,10.9
E00071304,9.2,22,58.7,10.1
E00071308,5.3,19.9,70.2,4.6
E00071311,9,16.9,65.1,9
E00071313,11.3,18.8,60,10
E00071314,5.1,20.4,66.3,8.2
E00071316,5.4,18.5,69,7.1
E00071317,3.5,19.3,65.8,11.4
E00071318,16,27.4,53.8,2.8
E00071319,11.7,11.7,65,11.7
E00071320,0,22.7,65.9,11.4
E00071321,6.3,15.1,70.6,7.9
E00071322,10,22.5,60,7.5
E00071323,8.8,18.2,63.5,9.5
E00071325,10.6,25.7,54,9.7
E00071326,8.8,20.9,59.5,10.8
E00071327,10.7,20.5,62.3,6.6
E00071328,10.2,16.9,69.5,3.4
E00071330,8.8,21.1,57.9,12.3
E00071331,9.8,25,55.4,9.8
E00071372,6.4,20.2,66.1,7.3
E00071373,11.5,18.8,58.3,11.5
E00071375,8.7,15.1,58.7,17.5
E00071378,12.5,20.8,60,6.7
E00071380,10.2,14.2,69.3,6.3
E00071381,12.1,20.2,54.3,13.3
E00071439,8.7,15.2,76.1,0
E00071440,5.1,15.2,67.4,12.4
E00071441,10,13.3,64.3,12.4
E00071444,9.8,13.1,65.6,11.5
E00071445,15.3,20.4,48.9,15.3
E00071448,7.9,14,58.8,19.3
E00071450,9,18.7,60,12.3
E00071451,10.7,19.3,57.3,12.7
E00071452,7.9,19.7,61.8,10.7
E00071453,10.4,19.3,59.1,11.2
E00071454,9.7,12.2,67.3,10.7
E00071455,10.9,20.2,55,14
E00071456,9,16,61.7,13.3
E00071457,8,26.1,56.5,9.4
