areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E00071229,26.2,73.8
E00071230,28.8,71.2
E00071232,33.6,66.4
E00071233,34.3,65.7
E00071234,36,64
E00071235,33.3,66.7
E00071236,29.6,70.4
E00071238,29.8,70.2
E00071302,28,72
E00071303,21,79
E00071304,31.2,68.8
E00071308,25.2,74.8
E00071311,25.9,74.1
E00071313,30,70
E00071314,25.5,74.5
E00071316,23.8,76.2
E00071317,22.8,77.2
E00071318,43.4,56.6
E00071319,23.4,76.6
E00071320,22.7,77.3
E00071321,21.4,78.6
E00071322,32.5,67.5
E00071323,27,73
E00071325,36.3,63.7
E00071326,29.7,70.3
E00071327,31.1,68.9
E00071328,27.1,72.9
E00071330,29.8,70.2
E00071331,34.8,65.2
E00071372,26.6,73.4
E00071373,30.2,69.8
E00071375,23.8,76.2
E00071378,33.3,66.7
E00071380,24.4,75.6
E00071381,32.4,67.6
E00071439,23.9,76.1
E00071440,20.2,79.8
E00071441,23.2,76.8
E00071444,23,77
E00071445,35.8,64.2
E00071448,21.9,78.1
E00071450,27.7,72.3
E00071451,30,70
E00071452,27.5,72.5
E00071453,29.7,70.3
E00071454,21.9,78.1
E00071455,31,69
E00071456,25,75
E00071457,34.1,65.9
E00071462,22.9,77.1
E00071463,28.4,71.6
E00071464,25.8,74.2
E00071465,26.8,73.2
E00071466,28.2,71.8
E00071470,25.6,74.4
E00071477,21.3,78.7
E00071487,25.5,74.5
E00071488,29.8,70.2
E00071489,35,65
E00071490,27.2,72.8
E00071491,25.3,74.7
E00071492,32.9,67.1
E00071493,25.8,74.2
E00071494,31.4,68.6
E00071496,26.1,73.9
E00071497,34.7,65.3
E00071498,26.4,73.6
E00071499,37.6,62.4
E00071500,22.4,77.6
E00071501,28.2,71.8
E00071502,28.3,71.7
E00071512,34.6,65.4
E00071514,31.1,68.9
E00071515,25.7,74.3
E00071518,30.8,69.2
E00071520,25.2,74.8
E00071523,21.9,78.1
E00071526,30.1,69.9
E00071530,34.2,65.8
E00071531,24.6,75.4
E00071535,25.6,74.4
E00071680,27.4,72.6
E00071681,37.1,62.9
E00071682,29.7,70.3
E00071684,25.5,74.5
E00071685,25,75
E00071686,30.9,69.1
E00071687,30.4,69.6
E00071688,35.4,64.6
E00071689,17.8,82.2
E00071690,32.6,67.4
E00071692,25.4,74.6
E00071693,31.1,68.9
E00071694,33.3,66.7
E00071697,22.4,77.6
E00071698,33.7,66.3
E00071699,22.2,77.8
E00071701,33.1,66.9
E00146873,29.5,70.5
E00146874,31.3,68.7
E00146875,30,70
E00146876,35.8,64.2
E00146877,30.2,69.8
E00146878,24.4,75.6
E00146879,29.8,70.2
E00146880,36.4,63.6
E00146881,37.2,62.8
E00146882,31.5,68.5
E00146883,33.5,66.5
E00146884,29,71
E00146885,34,66
E00146886,26.9,73.1
E00146887,32.8,67.2
E00146888,27.4,72.6
E00146889,29.3,70.7
E00146890,29.5,70.5
E00146897,42.4,57.6
E00146898,38.5,61.5
E00146900,32.5,67.5
E00146917,31.3,68.8
E00146935,29.3,70.7
E00146937,21.7,78.3
E00146938,33.2,66.8
E00146940,34.1,65.9
E00146941,42.3,57.7
E00146942,27.6,72.4
E00146943,35.4,64.6
E00146944,30.2,69.8
E00146945,36.3,63.7
E00146946,37.6,62.4
E00146947,34.8,65.2
E00146948,36.8,63.2
E00146949,20.2,79.8
E00146950,25.7,74.3
E00147332,33.3,66.7
E00147333,39.4,60.6
E00147334,32.2,67.8
E00147335,36.4,63.6
E00147336,27.5,72.5
E00147337,37,63
E00147338,36.2,63.8
E00147339,29,71
E00147340,35.5,64.5
E00147341,34.5,65.5
E00147342,36.9,63.1
E00147343,35.9,64.1
E00147344,35,65
E00147345,26.4,73.6
E00147346,39.1,60.9
E00147347,37.4,62.6
E00147348,33.1,66.9
E00147365,26.6,73.4
E00147404,41.7,58.3
E00147408,42.4,57.6
E00147409,40.8,59.2
E00147410,37.1,62.9
E00147411,32.4,67.6
E00147419,30.5,69.5
E00147420,32.3,67.7
E00147421,34.8,65.2
E00147422,29.1,70.9
E00147423,34.6,65.4
E00147424,33.7,66.3
E00147425,27.4,72.6
E00147447,25.5,74.5
E00147448,29.7,70.3
E00147468,34.6,65.4
E00147469,32.5,67.5
E00147470,28.5,71.5
E00147474,28.4,71.6
E00147475,41.9,58.1
E00147476,34.2,65.8
E00147477,28.8,71.2
E00147478,32,68
E00147479,27,73
E00147480,34.4,65.6
E00147481,35.6,64.4
E00147482,32.3,67.7
E00147484,32.8,67.2
E00147486,34,66
E00147487,31.8,68.2
E00147489,31,69
E00147490,33.1,66.9
E00147491,32,68
E00147492,31.3,68.7
E00147494,36.7,63.3
E00147495,32.9,67.1
E00147496,37.7,62.3
E00147497,36.6,63.4
E00147498,36.1,63.9
E00147576,33.1,66.9
E00147577,37.4,62.6
E00147578,34.5,65.5
E00147579,42.9,57.1
E00147580,32.4,67.6
E00147581,32.4,67.6
E00147582,32.4,67.6
E00147583,27.5,72.5
E00147602,40.2,59.8
E00147604,30.4,69.6
E00147605,32.3,67.7
E00147606,33.3,66.7
E00147608,37.1,62.9
