geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02001882,51.5,13.2,17.6,17.6
E02001883,54.6,16.9,13.5,15
E02001884,52.4,13.1,13.6,20.9
E02001886,41.6,16.6,31.1,10.7
E02001888,55.7,12.3,16.9,15.1
E02001889,50.7,13,15.4,20.9
E02001890,39.7,14.2,36,10.1
E02001892,54.2,9.8,15.7,20.3
E02001893,51.9,12.1,20.2,15.7
E02001895,52.7,14.2,16.6,16.5
E02001896,50.8,13.1,16.8,19.4
E02001897,50.5,13.7,17.6,18.2
E02001898,49,11.9,24.1,15
E02001899,37.4,15.5,38.8,8.4
E02001900,41.7,14,31.8,12.5
E02001901,37.8,13.4,42.8,6
E02001902,50.2,11.4,22.5,15.9
E02001903,51.3,13.3,15.7,19.7
E02001904,53.7,11.4,15.8,19.1
E02001905,35.4,15.4,41.8,7.4
E02001906,42.9,16.2,28.2,12.8
E02001907,46.9,14.7,23.5,14.9
E02001908,53.2,11.5,15.5,19.8
E02001909,49.8,12,20.6,17.5
E02001910,49.4,13.7,19.4,17.6
E02001911,48,16.1,21.9,14
E02001913,42.3,14.4,34.3,9
E02001914,41.1,13,34.3,11.6
E02001915,48.9,10.7,25.2,15.2
E02001916,50.5,11.8,19.4,18.3
E02001918,37.3,9.3,44.6,8.7
E02001919,40.7,9.9,35.6,13.7
E02001920,49.2,18.4,17.9,14.5
E02001921,46.6,17.4,24.2,11.8
E02001922,34.9,20,36.2,8.9
E02001923,47.6,10.9,25.3,16.2
E02001924,47.1,11.6,25.7,15.5
E02001925,40.3,13.8,37,8.9
E02001926,40,12.9,36.8,10.3
E02001927,51.8,16.6,17.7,13.9
E02001928,46.3,21.1,18.3,14.4
E02001929,54.1,12.8,15.7,17.3
E02001930,36,10.1,44,10
E02001931,41.5,11.2,34.3,13
E02001932,47,20.9,19.5,12.5
E02001933,41.3,12.3,32.7,13.7
E02001934,42.8,12.6,31.2,13.3
E02001935,42.6,18.3,27.9,11.2
E02001936,39.2,11.9,39.1,9.7
E02001937,48,14,22.4,15.6
E02001938,37.8,13,40.5,8.7
E02001939,44.7,15.7,29.1,10.5
E02001941,48.1,14.9,21,15.9
E02001942,39.2,15.8,33.7,11.2
E02001943,44.5,15.3,25.7,14.6
E02001944,44.4,13.4,28.9,13.3
E02001945,45.2,24.2,15.7,14.8
E02001946,37.7,17.4,32.1,12.8
E02001947,49.3,18.5,16.5,15.6
E02001948,45.9,15.2,22.3,16.6
E02001949,43.8,18.4,25.7,12.1
E02001950,36.1,22.3,28.1,13.5
E02001951,39.1,28.8,18.1,13.9
E02001952,43.6,22.6,17.9,15.9
E02001953,38.3,19.2,28.8,13.8
