geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02001882,73.6,12.8,13.6
E02001883,70.3,9.2,20.6
E02001884,72.2,21.2,6.6
E02001886,69.4,22.7,7.9
E02001888,72.8,9.4,17.9
E02001889,71.1,20.5,8.4
E02001890,68.7,24,7.2
E02001892,71.9,15.6,12.5
E02001893,77,10.5,12.4
E02001895,74,7.7,18.3
E02001896,74.8,20,5.3
E02001897,71.7,17.3,11
E02001898,84.4,4.9,10.7
E02001899,82.8,9.6,7.6
E02001900,71,19.9,9.1
E02001901,80.6,13.1,6.3
E02001902,77,9.8,13.2
E02001903,79.7,14.2,6.1
E02001904,67.9,19.2,12.8
E02001905,76.9,19.4,3.7
E02001906,76.5,9.3,14.1
E02001907,77.9,8.1,14
E02001908,79.1,16.1,4.8
E02001909,78.6,14.4,7
E02001910,80,12.4,7.5
E02001911,64.8,15.3,19.9
E02001913,67.1,21.3,11.6
E02001914,82.4,10.4,7.2
E02001915,74.2,13.1,12.8
E02001916,71.9,16.2,11.8
E02001918,78.5,10.6,10.9
E02001919,83,9.8,7.2
E02001920,69.5,9,21.5
E02001921,69.6,13.4,16.9
E02001922,81.5,14.2,4.3
E02001923,81.1,12.3,6.6
E02001924,79.2,10.2,10.6
E02001925,73.7,13.7,12.6
E02001926,73.8,14.4,11.8
E02001927,68.3,10,21.7
E02001928,72.4,6.1,21.5
E02001929,72.6,11.5,15.9
E02001930,82.4,8.8,8.8
E02001931,83.8,7.6,8.6
E02001932,70.5,7.4,22
E02001933,76,8.8,15.2
E02001934,83.6,8.8,7.6
E02001935,76.6,8.5,14.9
E02001936,84.1,6.8,9.2
E02001937,74.2,9.1,16.7
E02001938,78.5,8.2,13.3
E02001939,77.4,6.4,16.1
E02001941,72.9,8.4,18.7
E02001942,77.5,7.3,15.2
E02001943,78.3,6.3,15.4
E02001944,79.4,7,13.6
E02001945,67,6.9,26.1
E02001946,80.7,6.1,13.2
E02001947,64.9,8.3,26.9
E02001948,78.8,4.7,16.5
E02001949,73.2,6.2,20.5
E02001950,77.8,6.5,15.7
E02001951,67,5.3,27.7
E02001952,68.5,6.8,24.7
E02001953,80.3,4.9,14.8
E02001954,69.4,7.2,23.4
E02001955,72.8,5.8,21.4
E02001956,78.1,4,17.9
E02001957,77.9,4.2,17.9
E02001958,68.3,16.4,15.3
E02001959,72.8,14.9,12.3
E02001961,63.2,17.6,19.2
E02001962,61.4,26.1,12.5
E02001963,79.4,8.3,12.3
E02001964,56.9,22.1,21
E02001965,74.9,12.4,12.7
E02001966,60.6,28,11.4
E02001967,83.5,5,11.5
E02001968,66.7,20.9,12.4
E02001969,62.9,20,17.1
E02001970,70.8,14.4,14.8
E02001971,76.3,11.5,12.1
E02001972,60,27.9,12
E02001973,60.9,23.8,15.3
E02001974,79.8,10.1,10.1
E02001975,76.2,12.8,11
E02001976,69.9,15.6,14.4
E02001977,54.8,31.2,14.1
E02001978,67.1,20.7,12.2
E02001979,83.5,5.4,11.1
E02001980,85,5,10
E02001981,57.5,31,11.6
E02001982,82.1,5.8,12.2
E02001983,76.8,10.2,13
E02001984,69.5,18.8,11.7
E02001985,53,35.9,11.1
E02001986,68.2,12.2,19.5
E02001987,67.5,22.3,10.2
E02001988,51.9,39.5,8.6
E02001989,72,14.2,13.8
E02001990,81.9,8.2,9.8
E02001991,82.3,10,7.7
E02001992,65.6,16.6,17.7
E02001993,70.2,16.1,13.7
E02001994,72.7,16.3,10.9
E02001995,58.7,29.3,11.9
E02001996,59.9,19.2,20.8
E02001997,85.5,6.6,7.9
E02001998,84.3,7.2,8.5
E02001999,75,20.3,4.6
