geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02001882,42,58
E02001883,31.5,68.5
E02001884,50.2,49.8
E02001886,41,59
E02001888,38,62
E02001889,50.8,49.2
E02001890,35.2,64.8
E02001892,46.5,53.5
E02001893,45.7,54.3
E02001895,34.4,65.6
E02001896,50.5,49.5
E02001897,38.9,61.1
E02001898,47.3,52.7
E02001899,53,47
E02001900,36.7,63.3
E02001901,40.6,59.4
E02001902,44.2,55.8
E02001903,48.4,51.6
E02001904,42.8,57.2
E02001905,26.3,73.7
E02001906,43.9,56.1
E02001907,42.1,57.9
E02001908,50.6,49.4
E02001909,45.8,54.2
E02001910,40.9,59.1
E02001911,34.8,65.2
E02001913,29.9,70.1
E02001914,44.3,55.7
E02001915,38.6,61.4
E02001916,44.5,55.5
E02001918,34.1,65.9
E02001919,41,59
E02001920,36.3,63.7
E02001921,39.3,60.7
E02001922,5.6,94.4
E02001923,49.7,50.3
E02001924,47.3,52.7
E02001925,40.1,59.9
E02001926,35.6,64.4
E02001927,35.6,64.4
E02001928,36.3,63.7
E02001929,38.7,61.3
E02001930,41.3,58.7
E02001931,50.1,49.9
E02001932,33.9,66.1
E02001933,36.7,63.3
E02001934,51.1,48.9
E02001935,44.7,55.3
E02001936,52.6,47.4
E02001937,39.3,60.7
E02001938,36.4,63.6
E02001939,41.1,58.9
E02001941,35.6,64.4
E02001942,37.9,62.1
E02001943,39.2,60.8
E02001944,39,61
E02001945,32,68
E02001946,47.1,52.9
E02001947,29.1,70.9
E02001948,40.4,59.6
E02001949,34.8,65.2
E02001950,42.5,57.5
E02001951,30.4,69.6
E02001952,29,71
E02001953,46.2,53.8
E02001954,30.2,69.8
E02001955,33.2,66.8
E02001956,38.7,61.3
E02001957,41.5,58.5
E02001958,38.4,61.6
E02001959,46.2,53.8
E02001961,36.9,63.1
E02001962,43.7,56.3
E02001963,45.7,54.3
E02001964,35.5,64.5
E02001965,46.8,53.2
E02001966,46.8,53.2
E02001967,51.4,48.6
E02001968,44.5,55.5
E02001969,38.1,61.9
E02001970,43.8,56.2
E02001971,47.3,52.7
E02001972,43.9,56.1
E02001973,37.7,62.3
E02001974,46.7,53.3
E02001975,46,54
E02001976,44.9,55.1
E02001977,30.1,69.9
E02001978,46.4,53.6
E02001979,48.6,51.4
E02001980,54.5,45.5
E02001981,30.7,69.3
E02001982,45.7,54.3
E02001983,41.4,58.6
E02001984,43.9,56.1
E02001985,15.8,84.2
E02001986,35,65
E02001987,22.7,77.3
E02001988,12.9,87.1
E02001989,40.2,59.8
E02001990,52.3,47.7
E02001991,46.9,53.1
E02001992,39.2,60.8
E02001993,33.2,66.8
E02001994,49.6,50.4
E02001995,40.5,59.5
E02001996,32.9,67.1
E02001997,58.4,41.6
E02001998,55.2,44.8
E02001999,29.2,70.8
E02002021,31.5,68.5
E02002022,39.2,60.8
E02002023,48.3,51.7
E02002024,45.5,54.5
E02002025,43.5,56.5
E02002026,51.8,48.2
E02002027,57.2,42.8
E02002028,48.8,51.2
E02002029,50.4,49.6
E02002030,40.1,59.9
E02002031,46.4,53.6
E02002032,40.5,59.5
E02002033,47.3,52.7
E02002034,39.2,60.8
E02002035,56.5,43.5
E02002036,39.4,60.6
E02002037,49.5,50.5
E02002038,41.5,58.5
E02002039,47.9,52.1
E02002040,59.7,40.3
E02002041,55.5,44.5
E02002042,55.4,44.6
E02002074,44.1,55.9
E02002075,41.5,58.5
E02002076,38.1,61.9
E02002077,40.7,59.3
E02002078,50.7,49.3
E02002079,42.3,57.7
E02002080,41.1,58.9
E02002086,30.4,69.6
E02002087,31.1,68.9
E02002088,30.9,69.1
E02002089,44.4,55.6
E02002090,51.1,48.9
E02002091,47.8,52.2
E02002092,45.1,54.9
E02002093,45.9,54.1
E02002094,57.7,42.3
E02002095,49.9,50.1
E02002096,54.7,45.3
E02002097,54.7,45.3
E02002098,53.5,46.5
E02002099,63,37
E02002101,45.4,54.6
E02002102,51.3,48.7
E02002103,55.4,44.6
E02002104,60,40
E02002105,58.7,41.3
E02002106,59.8,40.2
E02002107,59.2,40.8
E02002108,61.2,38.8
E02002109,50.9,49.1
E02002905,57,43
E02002906,44.2,55.8
E02002907,41.2,58.8
E02002908,56.9,43.1
E02002909,53,47
E02002911,55.5,44.5
E02002912,53.6,46.4
E02002913,59.3,40.7
E02002914,44.2,55.8
E02002915,48.5,51.5
E02002916,35,65
E02002917,40.3,59.7
E02002918,54.9,45.1
E02002919,42.4,57.6
E02002920,51.1,48.9
E02002921,37.6,62.4
E02002922,56.5,43.5
E02002923,49.1,50.9
E02002925,54,46
E02002926,45.7,54.3
E02002927,58.1,41.9
E02003212,52.3,47.7
E02004600,46.4,53.6
E02004601,53.7,46.3
E02004602,38.9,61.1
E02004603,25,75
E02004604,34.8,65.2
E02004605,39.9,60.1
E02004606,36,64
E02004607,35.5,64.5
E02004608,30.2,69.8
E02004609,50.2,49.8
E02004610,43.9,56.1
E02004611,53.9,46.1
E02004612,51.1,48.9
E02004613,57.7,42.3
E02004614,58.4,41.6
E02004615,57.2,42.8
E02004616,50.8,49.2
E02004617,54.4,45.6
E02004618,59.1,40.9
E02004619,56.2,43.8
E02004620,53.3,46.7
E02004621,37.9,62.1
E02004622,45.7,54.3
E02004623,56.5,43.5
E02004624,59.6,40.4
E02004625,52.9,47.1
E02004626,51.3,48.7
E02004627,47.9,52.1
E02004628,50.8,49.2
E02004629,45.6,54.4
E02004630,51.1,48.9
E02004631,55.7,44.3
E02004632,46.9,53.1
E02004633,52.7,47.3
E02004634,45.8,54.2
E02004635,55,45
E02004636,52.3,47.7
E02004637,37.1,62.9
E02004638,51.1,48.9
E02004639,27.6,72.4
E02004640,41.9,58.1
E02004641,53.1,46.9
E02004642,47,53
E02004643,35.3,64.7
E02004644,39.6,60.4
E02004645,52.5,47.5
E02004646,38.5,61.5
E02004647,46.4,53.6
E02004648,49.6,50.4
E02004649,46.4,53.6
E02004650,44.3,55.7
E02004651,49.7,50.3
E02004652,59.5,40.5
E02004653,54,46
E02004654,46.5,53.5
E02004655,44.7,55.3
E02004656,37.8,62.2
E02004657,52.3,47.7
E02004658,55.8,44.2
E02004659,56,44
E02004660,56.6,43.4
E02004661,51.7,48.3
E02004662,50.6,49.4
E02004663,49.5,50.5
E02004664,46.2,53.8
E02004665,54.1,45.9
E02004666,49.3,50.7
E02004667,46.8,53.2
E02004668,57.8,42.2
E02004669,59.8,40.2
E02004671,55.9,44.1
E02004672,52.5,47.5
E02004673,49.7,50.3
E02004674,45.8,54.2
E02005929,56.5,43.5
E02005984,58.9,41.1
E02005986,48,52
E02005993,46.8,53.2
E02005994,53.9,46.1
E02005995,56.9,43.1
E02005997,54.5,45.5
E02005999,57.1,42.9
E02006000,49,51
E02006001,45.7,54.3
E02006002,42.4,57.6
E02006004,43.4,56.6
E02006005,54.1,45.9
E02006006,53.2,46.8
E02006007,55.6,44.4
E02006014,54.1,45.9
E02006043,52.5,47.5
E02006045,45.7,54.3
E02006046,56,44
E02006187,56.6,43.4
E02006487,41.1,58.9
E02006488,54.1,45.9
E02006489,43,57
E02006490,46.4,53.6
E02006495,53.7,46.3
E02006504,60.9,39.1
E02006505,53.9,46.1
E02006506,48.4,51.6
E02006508,55.7,44.3
E02006509,46.7,53.3
E02006510,58.2,41.8
E02006511,55,45
E02006512,43.2,56.8
E02006513,54.2,45.8
E02006514,48.7,51.3
E02006515,54.7,45.3
E02006516,55.4,44.6
E02006517,54.3,45.7
E02006518,52.2,47.8
E02006519,51.2,48.8
E02006520,54.8,45.2
E02006521,56.5,43.5
E02006522,59.2,40.8
E02006523,44.2,55.8
E02006524,41.2,58.8
E02006525,43.2,56.8
E02006526,46.7,53.3
E02006527,42.4,57.6
E02006528,34.9,65.1
E02006529,41.9,58.1
E02006530,50.1,49.9
E02006531,31.1,68.9
E02006532,53.8,46.2
E02006533,50.7,49.3
E02006644,56.3,43.7
E02006696,57.8,42.2
E02006697,55.9,44.1
E02006698,49.9,50.1
E02006699,54,46
E02006700,57,43
E02006701,60.5,39.5
E02006702,45.5,54.5
E02006703,56.3,43.7
E02006704,54.1,45.9
E02006705,44.6,55.4
E02006706,41.2,58.8
E02006707,59.3,40.7
E02006708,39.2,60.8
E02006709,50.5,49.5
E02006710,55.5,44.5
E02006711,58.1,41.9
E02006712,57.2,42.8
E02006713,44.2,55.8
E02006714,57.2,42.8
E02006715,48.9,51.1
E02006716,39.4,60.6
E02006717,56.3,43.7
E02006718,46.9,53.1
E02006719,48.6,51.4
E02006720,53.7,46.3
E02006721,54.1,45.9
E02006722,36.3,63.7
E02006723,40.3,59.7
E02006724,38.1,61.9
E02006725,44.2,55.8
E02006726,43.9,56.1
E02006727,52.1,47.9
E02006728,52.3,47.7
E02006729,48.5,51.5
E02006730,37.9,62.1
E02006731,45.2,54.8
E02006732,52.3,47.7
E02006733,51.9,48.1
E02006734,53.9,46.1
E02006735,33.3,66.7
E02006736,47.7,52.3
E02006737,44,56
E02006738,37.2,62.8
E02006739,36.8,63.2
E02006740,27.9,72.1
E02006741,52,48
E02006742,34.3,65.7
E02006743,44.6,55.4
E02006744,35.4,64.6
E02006745,48.2,51.8
E02006746,46,54
E02006747,49.9,50.1
E02006748,52.9,47.1
E02006749,40.9,59.1
E02006750,45.6,54.4
E02006751,45.9,54.1
E02006752,55.4,44.6
E02006753,56.3,43.7
E02006754,61.1,38.9
E02006755,62.2,37.8
E02006756,53.9,46.1
E02006757,56.6,43.4
E02006758,50.6,49.4
E02006759,46.8,53.2
E02006760,54.3,45.7
E02006761,33.3,66.7
E02006762,49.4,50.6
E02006763,49.9,50.1
E02006764,45.9,54.1
E02006765,56.1,43.9
E02006766,61.7,38.3
E02006767,52.2,47.8
E02006768,50.2,49.8
E02006769,47.9,52.1
E02006770,33.5,66.5
E02006771,51.1,48.9
E02006772,47.3,52.7
E02006773,42.7,57.3
E02006774,40,60
E02006775,36.2,63.8
E02006776,50.5,49.5
E02006777,52.8,47.2
E02006778,51.2,48.8
E02006779,45.5,54.5
E02006780,47.6,52.4
E02006805,41.9,58.1
E02006806,44.9,55.1
E02006807,52.7,47.3
E02006808,50.6,49.4
E02006895,22.9,77.1
E02006896,21.3,78.7
E02006897,20.6,79.4
E02006898,21,79
E02006899,17.5,82.5
E02006900,48.8,51.2
E02007034,47.9,52.1
E02007035,51.8,48.2
E02007039,50.9,49.1
E02007040,52,48
W02000339,47.8,52.2
W02000342,60.1,39.9
W02000343,40,60
