geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02001882,77.8,15.4,6.9
E02001883,75.8,15.7,8.5
E02001884,83.3,11.7,5
E02001886,82.2,12.9,4.9
E02001888,77.5,14.6,7.9
E02001889,79.8,12.7,7.5
E02001890,84.6,10.7,4.7
E02001892,80.8,13.3,6
E02001893,79.1,14.2,6.7
E02001895,76.3,15.3,8.5
E02001896,80.5,13.1,6.4
E02001897,78.1,13.7,8.2
E02001898,81.9,13.6,4.4
E02001899,84.5,11.4,4.1
E02001900,80.1,13,6.9
E02001901,87.5,9.2,3.3
E02001902,81.8,13.3,5
E02001903,78.8,14.3,6.9
E02001904,80.2,13.9,5.9
E02001905,89.9,7.8,2.3
E02001906,82.1,12.9,5
E02001907,81,14,5
E02001908,79.5,13.6,6.9
E02001909,79.8,12.9,7.3
E02001910,77.4,14.8,7.8
E02001911,78.3,14.3,7.4
E02001913,81.2,12.9,5.8
E02001914,81.2,12.3,6.5
E02001915,79.3,14.1,6.6
E02001916,81.8,12.5,5.6
E02001918,78.8,14.2,7
E02001919,80.5,13.9,5.7
E02001920,76.2,15.7,8.2
E02001921,80.1,13.4,6.5
E02001922,90.7,7.2,2.1
E02001923,80.1,13.9,6
E02001924,80.4,13.5,6
E02001925,82.2,12.8,5
E02001926,81.9,13.2,4.9
E02001927,78.1,15,7
E02001928,76.2,16.1,7.7
E02001929,78.9,14,7.1
E02001930,83.1,12.2,4.7
E02001931,80.9,14.2,4.9
E02001932,76.8,15.6,7.5
E02001933,80,14,6
E02001934,82.8,12.8,4.4
E02001935,80.4,13.3,6.3
E02001936,82.7,12.7,4.6
E02001937,78,15.1,6.9
E02001938,82.2,12.6,5.2
E02001939,75.7,15.7,8.6
E02001941,76.8,14.8,8.4
E02001942,80.9,13.3,5.8
E02001943,80.1,13.8,6.1
E02001944,80.8,13.4,5.9
E02001945,78,15.1,6.9
E02001946,81,13.6,5.3
E02001947,73.3,17.6,9.1
E02001948,78.8,15.2,6
E02001949,80.2,13.2,6.6
E02001950,80.7,14.1,5.2
E02001951,74.7,16.1,9.1
E02001952,74.8,16.3,8.9
E02001953,80,14.1,5.8
E02001954,74.2,16.2,9.6
E02001955,79.7,13.7,6.6
E02001956,80.6,14.2,5.2
E02001957,81.2,13.5,5.3
E02001958,80,13.5,6.5
E02001959,81.7,13.5,4.8
E02001961,77.6,14.2,8.2
E02001962,83.1,11.7,5.2
E02001963,80,13.7,6.3
E02001964,80.2,12.9,6.8
E02001965,80.7,13.4,5.8
E02001966,80.9,12.3,6.9
E02001967,83.2,12.3,4.6
E02001968,83,12,5
E02001969,76.8,15.4,7.8
E02001970,78.7,15.6,5.8
E02001971,83.4,11.7,4.9
E02001972,82.4,11.9,5.8
E02001973,79.7,13.5,6.8
E02001974,84,11.8,4.1
E02001975,83.3,12.1,4.6
E02001976,80.5,13.5,5.9
E02001977,80.6,12.8,6.6
E02001978,83.6,11.6,4.8
E02001979,82.3,13.3,4.4
E02001980,82.7,13.7,3.6
E02001981,84.6,10.5,4.9
E02001982,84.3,11.5,4.2
E02001983,81.9,12.5,5.6
E02001984,83.2,12.5,4.3
E02001985,87.3,9.4,3.3
E02001986,76.7,15.2,8.1
E02001987,82.4,12.7,4.9
E02001988,86.2,9.8,4
E02001989,83.8,12.1,4.1
E02001990,82.5,12.9,4.5
E02001991,84.3,11.8,3.9
E02001992,79.7,13.5,6.8
E02001993,82.8,12.1,5.1
E02001994,82,13,5
E02001995,83.6,11.5,4.9
E02001996,76.7,14.9,8.3
E02001997,83.7,12,4.3
E02001998,84.5,11.3,4.2
E02001999,87.5,9.7,2.8
E02002021,75.2,17,7.7
E02002022,79.6,14.1,6.3
E02002023,80.3,14.3,5.4
E02002024,78.7,15.4,5.8
E02002025,81.2,13.2,5.6
E02002026,80.7,14.5,4.8
E02002027,85.2,11.1,3.8
E02002028,79.5,15.1,5.4
E02002029,80.3,14.5,5.2
E02002030,78.2,14.7,7
E02002031,79.8,14.6,5.6
