geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02001882,45.4,8.9,5,36.6,4.1
E02001883,14,7.6,7.8,68.7,2
E02001884,68.8,11.4,2.6,8.1,9
E02001886,42,15,4.6,30.4,7.9
E02001888,26.1,7.7,4.9,58.4,2.9
E02001889,68.6,10.1,3.4,10.1,7.8
E02001890,27.1,14,5.5,46.1,7.3
E02001892,55.1,8,4.8,24.2,8
E02001893,40.6,6.9,3.5,45.9,3.1
E02001895,14.5,6.5,5.7,70.8,2.4
E02001896,75.2,10.6,2.4,4.7,7.1
E02001897,40.6,28.7,5.8,10.8,14.1
E02001898,18.9,2.9,2.8,72.7,2.6
E02001899,31.4,4,3.9,54.5,6.2
E02001900,31.1,17.4,5.9,33.7,12
E02001901,12.7,4.2,5.8,73.4,3.9
E02001902,22.2,4.1,3.6,67.6,2.4
E02001903,73.8,8.3,2.3,5.3,10.2
E02001904,43.5,6.3,4.8,40.1,5.3
E02001905,27.7,4.8,4.8,57.3,5.3
E02001906,15.7,9.1,6.3,65.2,3.7
E02001907,13.6,3.7,4.3,77,1.4
E02001908,81.9,5.1,2.1,4.5,6.5
E02001909,62.2,8.8,4.1,8.6,16.4
E02001910,48.2,13.3,4.7,13.5,20.3
E02001911,14.8,18.4,8.1,52.6,6.1
E02001913,22.1,10.7,5.2,56,6.1
E02001914,45.6,5.9,4.6,31.8,12
E02001915,26.9,5.6,5.1,58.5,3.9
E02001916,50.4,5.9,4.4,34.7,4.6
E02001918,22,8.4,5.8,58.2,5.6
E02001919,50.4,4.5,4,34.1,7
E02001920,9.9,12.2,6.5,67.9,3.5
E02001921,14.8,9.3,7.2,63.5,5.1
E02001922,17.7,7,5.6,66.6,3.2
E02001923,67.3,3.7,3,20.6,5.5
E02001924,48.9,4.9,4,37.5,4.7
E02001925,17,6.1,5.2,68,3.6
E02001926,20.6,6.6,6.1,63.9,2.8
E02001927,9.7,8.7,6,72.2,3.4
E02001928,5,10.3,7.1,75.7,1.9
E02001929,33.9,5.4,6.2,50.8,3.7
E02001930,20.3,3.5,5.9,68,2.4
E02001931,45.8,3.2,4.1,42.2,4.8
E02001932,8.5,10.1,7.5,71.3,2.6
E02001933,19.6,6,6,65.3,3.1
E02001934,53.8,2.6,3.2,35.1,5.3
E02001935,11.4,7,5.5,71.3,4.9
