geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02001882,29.5,39.4,3.7,24,3.4
E02001883,30.7,43,4.6,18.3,3.4
E02001884,34.6,41.5,2.4,18.5,3
E02001886,20.7,31.5,2.8,41.7,3.3
E02001888,28.9,43.3,4.1,20.8,2.8
E02001889,34.8,39.6,1.8,20.4,3.4
E02001890,14.4,29.3,2.6,50.9,2.7
E02001892,31.8,40.6,3.3,20.8,3.5
E02001893,26,39.7,4,26.9,3.4
E02001895,29.6,43.9,5.1,18.3,3.2
E02001896,34.7,39.4,1.7,20.1,4.1
E02001897,33.2,40.2,2.8,19.3,4.5
E02001898,22.4,44.7,5.4,24.8,2.6
E02001899,15,26.1,2.6,54,2.3
E02001900,20.1,31.4,2.9,42.8,2.8
E02001901,9.7,22.6,1.9,64.5,1.4
E02001902,22.9,44,4.6,25.6,3
E02001903,36.2,39.4,1.7,19.6,3.3
E02001904,28.5,42.3,3.8,21.8,3.6
E02001905,7.2,49.4,0.9,40.6,1.8
E02001906,19.2,40.4,4.9,33,2.5
E02001907,22.2,45.3,5.3,24.5,2.6
E02001908,36.2,39.9,2.1,18.7,3.2
E02001909,34.4,38.9,2.1,22,2.5
E02001910,32.2,40.1,2.4,22.9,2.4
E02001911,25.3,38.9,4,28.7,3.2
E02001913,16.6,31.5,2.7,46.2,3
E02001914,20.8,32.8,1.3,42.2,2.8
E02001915,24.1,39.8,4.2,29,2.9
E02001916,27,41.1,3.8,24.8,3.3
E02001918,17.1,27.5,2.3,51.2,1.9
E02001919,21.9,32.1,2.1,41.9,2.1
E02001920,25.7,41.5,4.5,24.7,3.6
E02001921,23.2,35,3.8,35.3,2.8
E02001922,5.4,72.5,0.9,19.9,1.4
E02001923,25.7,38.3,2.7,29.4,3.9
E02001924,23,38.3,3.6,31.4,3.7
E02001925,16.6,32.4,3.5,45.2,2.3
E02001926,16.5,34.4,2.9,43.9,2.3
E02001927,26.1,40,4.9,25.9,3.1
E02001928,26.4,42.9,5.2,22.1,3.5
E02001929,27.2,43.6,3.9,22.2,3.2
E02001930,13.3,29.2,2.7,53.1,1.7
E02001931,18.8,36.6,3.1,39,2.5
E02001932,23.8,43,4.2,26.4,2.7
E02001933,21.3,37.2,3.4,36.2,2
E02001934,20.9,37.9,3.2,35.4,2.6
E02001935,19.1,37.7,4.6,35.6,3
E02001936,14.9,32,3.9,46.7,2.6
E02001937,26.5,39.7,3.7,26.8,3.4
E02001938,14.8,33.3,3,47.1,1.8
E02001939,23.3,35,3.8,35.2,2.7
E02001941,25.4,42.7,4.3,24.9,2.7
E02001942,17.1,35.9,4,41.2,1.8
E02001943,22.7,39.8,4.1,31.3,2.1
E02001944,19.4,41.1,4.8,32.3,2.4
E02001945,27.5,42.9,4.6,22.8,2.2
E02001946,17.7,39,5,35.7,2.6
E02001947,31.2,42.9,4.2,18,3.7
E02001948,22.3,46.9,5.7,22.4,2.7
E02001949,21.5,42.4,4.4,29.7,2
E02001950,21.2,43.2,5.2,27.4,2.9
E02001951,28.8,44.1,4.5,20.1,2.6
E02001952,27,43.9,4.9,21.4,2.8
E02001953,21.5,39.3,5.1,31.6,2.4
E02001954,28.1,42.4,4.7,22,2.8
E02001955,22.5,43.5,4.8,27,2.1
E02001956,19.7,45.6,5,27.6,2.2
E02001957,21.1,45.4,5.9,24.9,2.7
E02001958,24,41.3,5.8,25.4,3.5
E02001959,22.9,42.2,6.2,25.6,3.2
E02001961,28.6,42.4,5.7,19.9,3.5
E02001962,25.2,40.7,4.8,25.2,4.1
E02001963,20.8,43.4,6.5,26.6,2.6
E02001964,26.3,39.6,5.3,25.2,3.7
E02001965,20.4,41.3,6.5,29.1,2.7
E02001966,30.1,37.9,3.4,24,4.6
E02001967,16.5,39.9,7.3,33.1,3.2
E02001968,24.3,42.1,5,25.3,3.3
E02001969,26.6,39.5,5.9,24,4
E02001970,23.2,39.3,7,27.3,3.2
E02001971,16.2,44.5,7.3,28.8,3
E02001972,28.9,36.4,3.4,26.6,4.6
E02001973,26.1,39.4,5.1,25.5,3.9
E02001974,15.9,42.1,6.7,32.7,2.7
E02001975,18.8,45,6.3,26.7,3.3
E02001976,21.1,40.5,6.4,28.8,3.2
E02001977,23.3,37.1,4.2,30.4,5
E02001978,20.9,42,6.2,27.4,3.5
E02001979,14.4,44.1,7.3,31.4,2.8
E02001980,15.6,40.8,8,33.1,2.6
E02001981,22.1,44.9,2.9,25.7,4.5
E02001982,14,42.5,6.4,34.7,2.4
E02001983,17,42.9,5.9,31.8,2.5
E02001984,18.1,40.6,4.9,33.6,2.8
E02001985,14.7,52.1,3.3,25.9,4
E02001986,19.8,44.6,6.2,26.2,3
E02001987,12.7,39.6,3.9,40.8,3
E02001988,11.2,43.7,2.3,38.5,4.3
E02001989,14.9,46.1,5.8,30.3,2.8
E02001990,17.2,41.2,6.5,32.1,3
E02001991,10.8,31.7,4.2,51.7,1.7
E02001992,24,41.9,5.2,25.9,3
E02001993,16.3,43.9,3.9,33.1,2.9
E02001994,16.7,35.7,5.4,39.2,2.9
E02001995,18.2,35.3,4.6,38.1,3.8
E02001996,24.8,41.1,6,24.6,3.5
E02001997,12.2,34.7,4.9,45.4,2.7
E02001998,12.8,37.5,5.4,41.7,2.6
E02001999,7.4,55.3,2.3,32.5,2.6
E02002021,26.4,45.3,5.7,19.5,3
E02002022,22.5,47.4,6.1,21.6,2.4
E02002023,21.5,46,6.6,23.1,2.7
E02002024,25.6,44.7,6.3,20.2,3.2
E02002025,23.2,42.3,5.5,26.5,2.5
