geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02001882,68.7,31.3,0
E02001883,75.3,24.7,0
E02001884,95.6,4.3,0.1
E02001886,73.2,26.7,0.1
E02001888,86.9,13.1,0
E02001889,92.1,7.8,0.1
E02001890,37.1,62.9,0
E02001892,78.9,21,0.2
E02001893,79.7,20.3,0
E02001895,83.8,16.2,0
E02001896,82.7,17.2,0
E02001897,46.9,52.9,0.2
E02001898,90.8,9.1,0
E02001899,78.9,21.1,0.1
E02001900,47.7,52.2,0.1
E02001901,70.2,29.8,0
E02001902,87.7,12.3,0
E02001903,82.4,17.5,0.1
E02001904,83.4,16.6,0
E02001905,54.5,45.3,0.1
E02001906,91.7,8.3,0
E02001907,76.8,23.1,0
E02001908,90.4,9.6,0
E02001909,79.8,20.2,0
E02001910,65.1,34.9,0
E02001911,70.2,29.8,0
E02001913,62.9,37.1,0.1
E02001914,71.7,28.2,0
E02001915,67.8,32.1,0.1
E02001916,84.3,15.5,0.1
E02001918,45.2,54.8,0
E02001919,46.1,53.9,0
E02001920,78,22,0
E02001921,91.2,8.8,0
E02001922,83.4,16.6,0.1
E02001923,84.4,15.5,0.1
E02001924,82.1,17.9,0
E02001925,76.6,23.3,0
E02001926,87.3,12.7,0.1
E02001927,86,14,0.1
E02001928,79.1,20.8,0
E02001929,88.9,11.1,0
E02001930,85.9,14.1,0
E02001931,83.2,16.8,0
E02001932,79.3,20.7,0
E02001933,84.7,15.2,0
E02001934,94.9,5.1,0
E02001935,89.3,10.7,0.1
E02001936,80.1,19.9,0
E02001937,74.1,25.9,0
E02001938,83,17,0
E02001939,54.2,45.8,0.1
E02001941,82.4,17.5,0
E02001942,62.9,37.1,0
E02001943,86.5,13.5,0
E02001944,77.4,22.6,0
E02001945,88.6,11.4,0
E02001946,87.1,12.8,0
E02001947,66.9,33.1,0
E02001948,87.5,12.5,0
E02001949,74.1,25.9,0
E02001950,82,17.9,0.1
E02001951,81.8,18.1,0
E02001952,63,36.9,0.1
E02001953,86,13.9,0
E02001954,80.2,19.7,0
E02001955,74.9,25,0.1
E02001956,81.3,18.7,0
E02001957,90.3,9.6,0
E02001958,80.1,18.5,1.4
E02001959,95.9,4,0
E02001961,73.2,26.8,0
E02001962,93.6,6.4,0
E02001963,87.9,12.1,0.1
E02001964,81.3,18.4,0.2
E02001965,86.7,13.3,0
E02001966,86.1,13.8,0.1
E02001967,86.7,12.4,0.9
E02001968,96,3.9,0
E02001969,88.8,11.2,0
E02001970,79.2,17.5,3.3
E02001971,97.5,2.4,0
E02001972,77,22.9,0.1
E02001973,79.1,20.8,0.1
E02001974,89.4,10.5,0.1
E02001975,96.8,3.2,0
E02001976,76.6,23.4,0
E02001977,58.3,41.5,0.1
E02001978,90.5,9.4,0
E02001979,90.5,9.5,0
E02001980,85.4,14.6,0
E02001981,67.5,32.3,0.2
E02001982,79.9,20.1,0
E02001983,85.5,14.5,0
E02001984,92.2,7.8,0
E02001985,81.5,18.4,0.2
E02001986,59.1,40.8,0.1
E02001987,78.5,21.5,0
E02001988,28.3,71.6,0.1
E02001989,94.2,5.7,0.1
E02001990,96.1,3.9,0
E02001991,82.4,17.5,0.1
E02001992,79.6,20.3,0
E02001993,80.1,19.9,0
E02001994,89.2,10.8,0
E02001995,68.8,31.1,0.1
E02001996,60.4,39.6,0
E02001997,89.3,10.7,0
E02001998,97.7,2.3,0
E02001999,92.1,7.9,0.1
E02002021,54,46,0.1
E02002022,92.1,7.7,0.1
E02002023,96.6,3.4,0
E02002024,92.2,7.6,0.2
E02002025,89.5,10.5,0
E02002026,96.3,3.7,0
E02002027,92.9,7.1,0
E02002028,85.1,14.9,0
E02002029,88,12,0
E02002030,78.1,21.8,0.1
E02002031,82.6,17.3,0.2
E02002032,88.1,11.9,0.1
E02002033,88.2,11.5,0.4
E02002034,73.1,26.9,0
E02002035,89.1,10.9,0
E02002036,71.2,28.8,0
E02002037,91.6,8.4,0
E02002038,72,28,0
E02002039,80,20,0
E02002040,94.5,5.5,0
E02002041,92.7,7.2,0
E02002042,93.6,6.4,0
E02002074,91,9,0
E02002075,81.6,18.4,0
E02002076,85.4,14.6,0
E02002077,76.1,23.9,0
E02002078,93.8,6.1,0.1
E02002079,83.9,16.1,0
E02002080,83,16.3,0.6
E02002086,59.4,40.5,0.1
E02002087,67.3,32.7,0
E02002088,63.2,36.7,0.1
E02002089,90.3,9.5,0.2
E02002090,98,2,0
E02002091,91.7,8.3,0
E02002092,84.7,15.3,0
E02002093,69.1,30.9,0
E02002094,79.6,20.4,0
E02002095,82,17.8,0.1
E02002096,74.5,25.5,0
E02002097,86.8,10.3,3
E02002098,84.6,15.3,0
E02002099,71.9,28.1,0
E02002101,76,23.9,0.1
E02002102,81.3,18.6,0
E02002103,92.8,7.2,0
E02002104,97.4,2.4,0.1
E02002105,89.7,9.2,1.1
E02002106,83.5,16.4,0.1
E02002107,97.1,2.9,0
E02002108,91.1,8.8,0.1
E02002109,77.7,22.1,0.2
E02002905,96.9,2.3,0.8
E02002906,90.2,9.8,0.1
E02002907,79.4,18.8,1.7
E02002908,96.2,2.9,0.9
E02002909,87.3,9,3.7
E02002911,96.4,2.7,0.9
E02002912,94.5,4.7,0.8
E02002913,92.5,6.3,1.3
E02002914,81.6,17.3,1.1
E02002915,83.2,16.7,0.1
E02002916,67.4,32.6,0.1
E02002917,79.1,17.2,3.7
E02002918,92.3,7.7,0
E02002919,75.9,23.4,0.7
E02002920,92.8,6.8,0.3
E02002921,77.5,22.3,0.1
E02002922,92.9,5.8,1.4
E02002923,86.4,13.4,0.2
E02002925,93.6,5.6,0.7
E02002926,76.8,22,1.2
E02002927,93.3,5,1.7
E02003212,88.2,11.7,0
E02004600,85.5,13.5,1
E02004601,86.2,13.4,0.5
E02004602,82.8,17.2,0
E02004603,73,26.9,0.1
E02004604,60.2,39.8,0
E02004605,71.6,28.4,0
E02004606,74.4,25.5,0
E02004607,53.3,46.6,0.1
E02004608,32.5,67.4,0.1
E02004609,84.3,9.3,6.4
E02004610,62,38,0
E02004611,88.2,11.8,0
E02004612,92.3,6.1,1.7
E02004613,86.4,13.6,0
E02004614,90.6,9.4,0
E02004615,94.5,5.3,0.2
E02004616,88.1,11.9,0
E02004617,91.5,7.9,0.7
E02004618,95.4,3.7,1
E02004619,93.7,4.8,1.5
E02004620,90.9,9,0.1
E02004621,58.7,41.1,0.2
E02004622,80.8,17.7,1.5
E02004623,88.8,7.2,4
E02004624,96.7,3.1,0.1
E02004625,87.8,12.2,0.1
E02004626,95.9,3.6,0.4
E02004627,87.3,12.5,0.1
E02004628,95.5,4.2,0.3
E02004629,89.6,9,1.4
E02004630,93.2,5.2,1.7
E02004631,95.6,3.9,0.5
E02004632,89.5,9.2,1.2
E02004633,96.9,3,0.1
E02004634,89.6,9.5,0.9
E02004635,93.6,4.7,1.7
E02004636,96.4,3.6,0
E02004637,59.9,40,0
E02004638,92.2,7.7,0
E02004639,40.1,59.1,0.9
E02004640,80.4,19.6,0
E02004641,92,7.7,0.4
E02004642,91,9,0
E02004643,82.4,17.6,0.1
E02004644,87.2,12.7,0.2
E02004645,94.6,5,0.4
E02004646,73.7,26.2,0
E02004647,91.9,8,0.1
E02004648,91,6.3,2.7
E02004649,88.6,11.3,0.1
E02004650,89,10,1
E02004651,91.3,8.4,0.3
E02004652,94.9,5,0.1
E02004653,93.8,3,3.2
E02004654,86.1,13.9,0.1
E02004655,87.7,12.3,0
E02004656,76.4,23.5,0.1
E02004657,91.6,7.7,0.6
E02004658,95.7,4.2,0.1
E02004659,95,4.8,0.2
E02004660,92.6,6.5,0.9
E02004661,90.5,8.7,0.9
E02004662,89.2,7.3,3.5
E02004663,81.7,18.1,0.1
E02004664,81.8,18.1,0.1
E02004665,88.9,11,0.2
E02004666,93.4,6.4,0.2
E02004667,73.8,24.2,2
E02004668,93.7,6.1,0.2
E02004669,93.6,4.4,2
E02004671,90.7,4.4,4.9
E02004672,89.1,10.8,0.1
E02004673,86.3,7.3,6.4
E02004674,89,10.9,0.1
E02005929,95.9,3.3,0.8
E02005984,96.4,3.4,0.2
E02005986,84.2,15.7,0.1
E02005993,81.8,18.2,0
E02005994,94.7,5,0.3
E02005995,93.1,5.9,1
E02005997,93.7,6.2,0.1
E02005999,94.9,4.8,0.3
E02006000,86.4,13.5,0.1
E02006001,91.3,8.5,0.2
E02006002,74.9,25.1,0.1
E02006004,93.8,5.7,0.5
E02006005,87.4,11.9,0.7
E02006006,84.8,11.3,3.9
E02006007,92.8,3.8,3.4
E02006014,89.6,2.4,8.1
E02006043,93.5,5.8,0.7
E02006045,88.6,10.7,0.7
E02006046,93.3,3.4,3.3
E02006187,91.1,7.5,1.4
E02006487,81.2,18.7,0.1
E02006488,89,8,3
E02006489,89.1,10.6,0.3
E02006490,95.1,4.9,0
E02006495,91.4,7.6,0.9
E02006504,93.6,3.2,3.2
E02006505,79.5,13.1,7.5
E02006506,86.6,13.2,0.2
E02006508,95.1,4.6,0.3
E02006509,84.3,15.5,0.1
E02006510,88.2,4.7,7.1
E02006511,94.2,5.7,0.2
E02006512,70.2,29.6,0.2
E02006513,85.2,14.7,0.1
E02006514,78.5,21.4,0.1
E02006515,92.7,5.2,2.2
E02006516,93.7,4.6,1.6
E02006517,93.6,5.6,0.8
E02006518,93.1,6.7,0.2
E02006519,78.1,21.2,0.7
E02006520,87.2,12.8,0
E02006521,89,10.9,0.1
E02006522,93,6.2,0.8
E02006523,94.1,5.7,0.2
E02006524,78.7,21.3,0
E02006525,60.7,39.2,0.1
E02006526,80.3,19.6,0.1
E02006527,58.7,41.3,0
E02006528,66.8,33.2,0
E02006529,73,26.8,0.2
E02006530,80.6,18.3,1.1
E02006531,66.7,33.3,0
E02006532,94.1,5.7,0.1
E02006533,92.2,7.7,0.1
E02006644,93.2,6,0.9
E02006696,89.4,10.5,0.1
E02006697,91.8,6.5,1.8
E02006698,93.5,6.5,0.1
E02006699,89.3,10.7,0
E02006700,93.2,4,2.8
E02006701,94.2,5.6,0.2
E02006702,89.2,10.6,0.1
E02006703,94.4,4.7,1
E02006704,88.6,6,5.4
E02006705,87.8,12.1,0.1
E02006706,63.4,36.4,0.2
E02006707,96.5,3.5,0
E02006708,78.9,21.1,0.1
E02006709,93.4,5.8,0.8
E02006710,92.6,6.4,1
E02006711,93.1,4.7,2.2
E02006712,97.4,2.4,0.2
E02006713,76.7,22.7,0.6
E02006714,91.7,4,4.4
E02006715,87.8,12,0.2
E02006716,81.1,18.8,0.1
E02006717,94.6,4.2,1.2
E02006718,84,15.9,0.1
E02006719,65.5,34.4,0
E02006720,87.5,9,3.5
E02006721,92.2,7.8,0
E02006722,78.9,21.1,0.1
E02006723,81,18.9,0
E02006724,68.7,30.9,0.5
E02006725,80.2,19.8,0
E02006726,76,24,0
E02006727,89.5,10.5,0
E02006728,90.5,9.5,0
E02006729,95.9,4.1,0
E02006730,84.1,15.8,0.1
E02006731,81.6,18.4,0
E02006732,92.8,7.2,0
E02006733,87.3,12.7,0
E02006734,87.2,12.1,0.6
E02006735,61.3,38.7,0
E02006736,90.2,9.5,0.3
E02006737,83.2,16.8,0.1
E02006738,81.5,18.5,0
E02006739,89.9,10.1,0
E02006740,50.7,49.2,0
E02006741,93.7,6.3,0
E02006742,78.6,21.4,0
E02006743,86.7,13.3,0
E02006744,51.7,48.2,0
E02006745,90.4,9.6,0
E02006746,75.7,24,0.3
