geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02001882,11,43.8,45.3
E02001883,11.3,52.4,36.3
E02001884,10.8,24.4,64.9
E02001886,14.4,41.2,44.4
E02001888,10.4,50,39.6
E02001889,10.3,27.4,62.3
E02001890,20.2,46.2,33.6
E02001892,11.6,31.9,56.5
E02001893,10.9,50.6,38.5
E02001895,10.7,52.4,36.9
E02001896,10.4,24.2,65.4
E02001897,9.7,29,61.4
E02001898,12.3,59.6,28.1
E02001899,10.3,64.8,24.9
E02001900,15.1,45.6,39.3
E02001901,16.2,58,25.8
E02001902,12.6,56.2,31.2
E02001903,10.6,22.3,67.1
E02001904,12.6,40,47.4
E02001905,32.4,31.5,36.1
E02001906,12.2,58.6,29.2
E02001907,13.1,59,28
E02001908,10,24,66
E02001909,9.3,25.3,65.5
E02001910,9.8,28.7,61.4
E02001911,11,48,41
E02001913,18.6,47.3,34.1
E02001914,11.5,39.9,48.5
E02001915,11.9,52.6,35.6
E02001916,13.5,40,46.5
E02001918,11.4,50.4,38.2
E02001919,12,40.7,47.3
E02001920,10,54.9,35.1
E02001921,11.5,52.2,36.2
E02001922,39.5,31.1,29.4
E02001923,9.8,39,51.2
E02001924,12,48.2,39.9
E02001925,13.6,57.9,28.5
E02001926,16.9,49.7,33.3
E02001927,10.4,52.5,37.1
E02001928,9.7,58.4,31.9
E02001929,11.9,45.3,42.8
E02001930,12.6,57,30.4
E02001931,11,53.4,35.6
E02001932,12.1,52.6,35.3
E02001933,11,53.1,35.9
E02001934,12.1,48.3,39.6
E02001935,10,60.2,29.8
E02001936,10.7,63.6,25.7
E02001937,11,48.4,40.5
E02001938,12.9,60.4,26.7
E02001939,9.1,65,25.9
E02001941,9.5,49.4,41.1
E02001942,11.8,63.5,24.7
E02001943,10.4,55.8,33.8
E02001944,11.6,54.7,33.7
E02001945,11.1,49.3,39.6
E02001946,9.4,65.2,25.4
E02001947,9.1,51.8,39.2
E02001948,11.5,58.1,30.4
E02001949,11.2,54.1,34.7
E02001950,10.4,62,27.6
E02001951,9.8,53.2,37.1
E02001952,11.3,54.2,34.5
E02001953,10,63.2,26.7
E02001954,10.3,54.2,35.5
E02001955,10.8,59,30.2
E02001956,12.6,58.2,29.2
E02001957,11.8,63.2,25
E02001958,13,53.7,33.3
E02001959,13.1,57.8,29.1
E02001961,12.5,51.2,36.3
E02001962,15,42.8,42.2
E02001963,11.6,62,26.4
E02001964,12.7,47.4,40
E02001965,11.6,62.1,26.3
E02001966,13.5,32.4,54.1
E02001967,10.4,72.3,17.4
E02001968,14.3,46.1,39.6
E02001969,11.9,53.1,35.1
E02001970,10,61.4,28.5
E02001971,12.9,62,25.1
E02001972,15.1,33.9,51
E02001973,14.8,51.1,34.2
E02001974,13.5,64.5,22
E02001975,15.9,56.9,27.2
E02001976,11.1,59,29.9
E02001977,20.1,40.1,39.8
E02001978,12.9,52.8,34.3
E02001979,10.5,68.9,20.6
E02001980,8.7,77.3,14
E02001981,26,29.7,44.2
E02001982,12.8,66.4,20.8
E02001983,13.5,62.1,24.4
E02001984,17.3,52.3,30.4
E02001985,35,30,34.9
E02001986,11.4,60.6,28
E02001987,21,49.8,29.2
E02001988,28.3,29.2,42.5
E02001989,16.8,57.5,25.7
E02001990,10.7,68.7,20.6
E02001991,15.4,64.5,20.1
E02001992,13.4,53.4,33.2
E02001993,19.4,45.6,35
E02001994,12.6,60.7,26.8
E02001995,20.1,51.7,28.2
E02001996,12.5,51.1,36.3
E02001997,10.9,70.1,19
E02001998,11.9,67.3,20.8
E02001999,25,35.6,39.4
E02002021,12.1,55.4,32.5
E02002022,11.5,62.2,26.3
E02002023,9.6,70,20.4
E02002024,11.6,64.9,23.5
E02002025,11.4,57,31.6
E02002026,10.8,69.4,19.8
E02002027,12.9,70.1,17.1
E02002028,9.3,75.3,15.4
E02002029,10.6,68.9,20.4
E02002030,10.9,62.4,26.7
E02002031,11,56.3,32.7
E02002032,9.5,61.1,29.4
E02002033,10.2,67,22.7
E02002034,11.1,66.6,22.2
E02002035,9.7,71.3,19
E02002036,11.4,54.3,34.3
E02002037,9.5,72,18.5
E02002038,10.2,64.8,24.9
E02002039,10,69.4,20.6
E02002040,8.9,75.8,15.3
E02002041,7.5,71.9,20.5
E02002042,9.6,72.7,17.7
E02002074,10.1,56.5,33.5
E02002075,11.2,56.6,32.3
E02002076,15.3,54,30.6
E02002077,11.3,55.2,33.5
E02002078,11.8,62.6,25.5
