geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02001882,91.9,0.1,7.3,0.7
E02001883,93.3,0.1,6.2,0.4
E02001884,94.1,0.1,4,1.8
E02001886,86.7,1.1,10.4,1.9
E02001888,91.4,0.2,7.9,0.5
E02001889,93.9,0.1,4.1,1.9
E02001890,74.7,2.7,18.5,4
E02001892,94.1,0.1,4.7,1.1
E02001893,91.4,0.2,7.6,0.8
E02001895,93.1,0.3,6.2,0.4
E02001896,93.9,0.1,4.6,1.5
E02001897,91.9,0.2,6.9,1
E02001898,93.2,0.2,6.1,0.5
E02001899,91.4,0.3,7.4,0.9
E02001900,85,1.3,11,2.6
E02001901,82.5,2,13.7,1.9
E02001902,92.7,0.1,6.6,0.6
E02001903,95.1,0,3.9,1
E02001904,91.2,0.1,7.2,1.5
E02001905,52.6,3.4,37.6,6.4
E02001906,92.4,0.2,6.6,0.9
E02001907,89.7,0.3,9.5,0.5
E02001908,95.1,0.2,3.8,0.9
E02001909,94,0.2,4.6,1.2
E02001910,93,0.2,5.5,1.4
E02001911,93.1,0.3,5.9,0.6
E02001913,76.5,4.9,14.5,4
E02001914,90.1,0.6,8.2,1.1
E02001915,90.6,0.2,8.5,0.7
E02001916,89.8,0.1,9,1.1
E02001918,87.2,0.8,11.2,0.8
E02001919,90.5,0.3,8.5,0.7
E02001920,92.4,0.3,6.6,0.6
E02001921,89.9,0.5,8.4,1.2
E02001922,27.5,31.2,37,4.3
E02001923,92,0.1,6.9,0.9
E02001924,90.6,0.2,8.9,0.4
E02001925,83.8,2.8,11.9,1.5
E02001926,81.6,4.3,12.1,2.1
E02001927,92.1,0.4,6.7,0.9
E02001928,94.6,0.1,5,0.3
E02001929,93,0.1,6.3,0.6
E02001930,90,0.6,8.8,0.6
E02001931,92.4,0.1,6.8,0.6
E02001932,92.4,0.2,7.1,0.3
E02001933,91.9,0.3,7.4,0.4
E02001934,92.8,0.1,6.7,0.4
E02001935,93.1,0.2,6,0.7
E02001936,92.5,0.3,6.5,0.6
E02001937,92.7,0.1,6.6,0.5
E02001938,88.8,0.9,9.5,0.7
E02001939,92.8,0.2,6.5,0.6
E02001941,92.6,0.1,6.5,0.7
E02001942,91.4,0.3,7.8,0.5
E02001943,92.8,0.2,6.8,0.2
E02001944,91.9,0.4,7.1,0.6
