geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00054703,26.4,35.7,20.2,17.8
E00054704,28.1,47.4,11.7,12.9
E00054705,47.2,30.8,11.9,10.1
E00054706,24.3,44.3,10,21.4
E00054707,26.8,54.4,9.4,9.4
E00054708,29.7,37.7,13.8,18.8
E00054709,26.9,44.4,12.9,15.8
E00054710,34.8,35.6,17,12.6
E00054711,48.7,26.5,14.5,10.3
E00054712,36.1,33.1,18,12.8
E00054713,27.3,50.3,11.2,11.2
E00054714,13.3,31.7,25,30
E00054715,26.4,38.8,17.4,17.4
E00054717,51.4,37.1,6.4,5
E00054718,50,35.8,7.5,6.7
E00054719,31.8,33.1,19.5,15.6
E00054720,41.3,33,13.8,11.9
E00054721,35.9,29,18.3,16.8
E00054722,30.2,36.5,19.8,13.5
E00054726,21.5,43.6,17.4,17.4
E00054727,16.8,43.7,22.7,16.8
E00054728,26.4,35.3,21.4,16.9
E00054729,27.9,51.5,12.1,8.5
E00054730,47.1,29.4,10.5,13.1
E00054731,54.1,32,5.7,8.2
E00054732,50,34.6,9.2,6.2
E00054733,32.9,46.8,10.1,10.1
E00054735,22.7,42.2,16.4,18.8
E00054736,26.6,39.4,18.3,15.6
E00054742,34.3,33.1,16,16.6
E00054743,23.7,45.5,17.5,13.3
E00054744,30.3,34.5,13.4,21.8
E00054745,22.4,36.2,23.3,18.1
E00054746,28.4,36.3,24.5,10.8
E00054747,33.3,47.4,9.6,9.6
E00054748,21.9,47.6,13.3,17.1
E00054749,32.6,41.1,13.5,12.8
E00054750,54.5,23.4,11.7,10.4
E00054751,23.1,42.1,14,20.7
E00054752,28.6,42.9,12.2,16.3
E00054753,22.3,41,14.4,22.3
E00054754,26.8,31.7,24.6,16.9
E00054755,29.3,26.8,21.3,22.6
E00054756,19.6,40.2,23.5,16.7
E00054757,33.6,39.2,11.2,16.1
E00054862,27.3,39.6,13.6,19.5
E00054863,31.8,45.7,10.9,11.6
E00054864,49.2,37.3,7.1,6.3
E00054881,30.6,39.9,15.8,13.7
E00054883,33.6,38.9,17.6,9.9
E00054884,30.6,43.8,13.1,12.5
E00054885,35.5,32.2,12.4,19.8
