areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00005055,91.2,4.8,1.5,2.4
E00005056,93.1,2.7,0.7,3.4
E00005057,92.4,4.1,1.3,2.2
E00005058,90.6,3.6,2.3,3.6
E00005059,91,4.3,1.7,3
E00005060,85.8,7.1,1.1,6
E00005061,90.7,4,3.2,2.1
E00005062,91.2,2.6,3.6,2.6
E00005063,92.9,4.6,0.6,1.8
E00005064,91.7,4.1,1.8,2.4
E00005065,91.6,5,1.3,2.2
E00005066,90.2,3.9,2.8,3.1
E00005067,93.6,2.4,1.4,2.7
E00005068,89.8,7,0,3.2
E00005069,89.1,6.3,1.8,2.8
E00005070,92.5,5,1.1,1.4
E00005071,91.8,0.5,2.9,4.8
E00005072,90.7,8,0.3,1
E00005073,90.9,6.3,1.4,1.4
E00005074,92.4,6,0.6,0.9
E00005075,94.8,3.4,0.4,1.5
E00005076,91,5.9,2,1.2
E00005077,89.4,2.1,2.1,6.4
E00005078,91.6,5.9,0.3,2.2
E00005079,90.8,5.9,1.6,1.6
E00005080,89.7,5.4,3,1.8
E00005081,91.2,4.6,1.6,2.6
E00005082,91.3,3,3.5,2.2
E00005083,90.7,5.4,1.6,2.3
E00005084,91.8,5.1,2.2,0.9
E00005085,89.6,5.6,0.9,3.9
E00005086,94.6,3.9,1.2,0.3
E00005087,89.1,3.5,2.2,5.1
E00005088,94.4,2.8,0.3,2.5
E00005089,91.2,3.1,2.2,3.5
E00005090,90.8,4.4,2.2,2.6
E00005091,89.2,5.7,2,3.1
E00005092,89.9,4.4,2,3.6
E00005093,89.2,5,2.5,3.3
E00005094,89.4,6.2,1.7,2.7
E00005095,91.4,6.6,0.9,1.2
E00005097,91.9,5.9,1.7,0.5
E00005098,88.7,9,0.9,1.4
E00005099,93.6,2.6,1.9,1.9
E00005100,91.5,4.3,2.3,2
E00005101,92.2,3.2,2,2.6
E00005103,94.3,4.3,1.1,0.4
E00005104,93.5,3.6,2,1
E00005105,90.3,4.2,4.2,1.3
E00005106,93.9,2.6,1.6,1.9
E00005107,93.3,3.5,1,2.2
E00005108,91.1,3.2,2.8,2.8
E00005109,90.7,4.5,1.8,3
E00005110,89,3.2,2.9,4.8
E00005111,95.2,2.7,0.9,1.2
E00005112,94.4,4.5,0,1
E00005113,92.4,5,0.3,2.3
E00005114,88.8,6,2.3,2.9
E00005115,92.6,4.6,1.2,1.6
E00005116,94.5,4.1,0,1.4
E00005117,89.9,3.7,1.8,4.6
E00005118,93.3,3.1,1,2.6
E00005119,91.4,4.9,0.3,3.4
E00005120,91.5,3.3,1.4,3.8
