areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00005055,12.6,65.7,21.7
E00005056,11.4,76.3,12.3
E00005057,9.1,63.6,27.3
E00005058,18,72,10
E00005059,15.1,74.6,10.3
E00005060,9.7,60.2,30.1
E00005061,9.6,58.8,31.6
E00005062,15.2,45.7,39.1
E00005063,10.7,65.6,23.8
E00005064,9.9,66.7,23.4
E00005065,12.6,70.1,17.3
E00005066,9.7,51.7,38.6
E00005067,9.3,68,22.7
E00005068,14,68.8,17.2
E00005069,11.4,60.2,28.4
E00005070,15.9,68.2,15.9
E00005071,8.7,64.3,27
E00005072,8.6,81.9,9.5
E00005073,15.6,68.8,15.6
E00005074,12.1,71,16.8
E00005075,7.8,77.5,14.7
E00005076,6.9,78.2,14.9
E00005077,8.3,76.1,15.6
E00005078,10.1,73.7,16.2
E00005079,16.3,71.2,12.5
E00005080,17.8,65.4,16.8
E00005081,23.2,59.6,17.2
E00005082,10.9,66.3,22.8
E00005083,15.1,67,17.9
E00005084,10.1,77.8,12.1
E00005085,10.6,69.1,20.2
E00005086,14.5,64.5,20.9
E00005087,9.3,75.4,15.3
E00005088,15.5,61.8,22.7
E00005089,11,79.8,9.2
E00005090,15.3,75.7,9
E00005091,10.9,70.6,18.5
E00005092,8.6,75.9,15.5
E00005093,13.8,61.7,24.5
E00005094,19.1,60.8,20.1
E00005095,10.5,73.3,16.2
E00005097,10.6,68.9,20.5
E00005098,7.4,74.6,18
E00005099,23,51.6,25.4
E00005100,13,72.8,14.1
E00005101,16.8,67.4,15.8
E00005103,9.1,74,16.9
E00005104,15.6,64.4,20
E00005105,14.4,62.4,23.2
E00005106,11.5,67.8,20.7
E00005107,9.8,68.6,21.6
E00005108,16.1,55.1,28.8
E00005109,13.4,65.2,21.4
E00005110,13.4,59.7,26.9
E00005111,14.6,62.1,23.3
E00005112,20.5,52.6,26.9
E00005113,15.7,62.9,21.3
E00005114,8.7,62.1,29.1
E00005115,10.6,64.4,25
E00005116,18.8,61.7,19.5
E00005117,14.8,54.7,30.5
E00005118,9.8,33.5,56.7
E00005119,16.2,59.6,24.2
E00005120,10.4,63.6,26
E00005121,12.4,66.1,21.5
E00005122,19.6,61.6,18.8
E00005123,16.3,56.7,27
E00005124,7.7,73.1,19.2
E00005125,12.5,54.5,33
E00005126,13.7,72.5,13.7
E00005127,8.6,69.1,22.2
E00005128,14.3,66.1,19.6
E00005129,21,58,21
E00005130,5.6,60.3,34.1
E00005131,13.5,54.1,32.4
E00005322,8.9,67.1,24.1
E00005323,19.3,64,16.7
E00005324,17.5,63.8,18.8
E00005325,20.6,47.1,32.4
E00005326,17.5,60.6,21.9
E00005327,20.6,57.4,22.1
E00005328,5.1,70.1,24.8
E00005329,8.8,69.3,21.9
E00005330,9.6,85.3,5.1
E00005331,6,85.4,8.6
E00005332,6.9,77.9,15.2
E00005333,15.6,50.5,33.9
E00005334,8,70,22
E00005335,15.7,47.9,36.4
E00005336,27.8,51.3,20.9
E00005339,8.1,74.3,17.6
E00005340,15.2,57.6,27.3
E00005341,15.4,53.8,30.8
E00005342,14.5,56.5,29
E00005343,18.2,50.9,30.9
E00005344,16.5,61.2,22.4
E00005345,13.5,56.5,30.1
E00005346,9.8,62.3,27.9
E00005347,24.7,49.3,26
E00005348,12.8,52.3,34.9
E00005349,9.6,69.4,21
E00005350,12.5,61.5,26
E00005351,17,54.7,28.3
E00005352,12.5,70.3,17.2
E00005353,22.2,55.6,22.2
E00005354,11.8,72,16.1
E00005355,10.9,76.5,12.6
E00005356,16.7,61.5,21.8
E00005357,16.2,59,24.8
E00005358,12.3,51.9,35.8
E00005359,7.6,76.6,15.9
E00005360,24.1,60.2,15.7
E00005361,7.9,78.6,13.6
E00005362,11.2,56.9,31.9
E00005363,17.7,63.3,19
E00005441,10,71.5,18.5
E00005442,17.3,45.3,37.3
E00005443,14.5,65.2,20.3
