areacd,sex-001,sex-002
E00082123,56.1,43.9
E00082124,48,52
E00082125,52.3,47.7
E00082126,51.2,48.8
E00082127,48.2,51.8
E00082130,52.5,47.5
E00082188,50,50
E00082189,50,50
E00082190,53.2,46.8
E00082191,52.6,47.4
E00082192,48.4,51.6
E00082281,50.9,49.1
E00082282,50.3,49.7
E00082283,53.6,46.4
E00082284,48.7,51.3
E00082285,51.6,48.4
E00082286,51.4,48.6
E00082287,51.9,48.1
E00082288,47.4,52.6
E00082289,52.7,47.3
E00082290,51.6,48.4
E00082291,48.5,51.5
E00082292,54.5,45.5
E00082293,48.9,51.1
E00082294,51.6,48.4
E00082295,54.6,45.4
E00082296,49.6,50.4
E00082297,53,47
E00082298,49.6,50.4
E00082299,53.7,46.3
E00082302,52,48
E00082303,51.8,48.2
E00082306,46.9,53.1
E00082307,49.8,50.2
E00082308,55.6,44.4
E00082309,48.9,51.1
E00082310,46.9,53.1
E00082311,50.1,49.9
E00082312,44.1,55.9
E00082313,52.8,47.2
E00082314,48.3,51.7
E00082336,50.2,49.8
E00082371,53,47
E00082372,47.8,52.2
E00082373,48.2,51.8
E00082374,50.3,49.7
E00082376,52.6,47.4
E00082378,54.2,45.8
E00082379,51.3,48.7
E00082380,51.3,48.7
E00082381,51.8,48.2
E00082382,50.6,49.4
E00082383,50,50
E00082384,49.6,50.4
E00082392,49.5,50.5
E00082401,50.7,49.3
E00082402,48.4,51.6
E00082403,47.9,52.1
E00082404,50.9,49.1
E00082435,47.3,52.7
E00082436,48.6,51.4
E00082438,50,50
E00082439,51.5,48.5
E00082440,49.8,50.2
E00082441,50.2,49.8
E00082442,53,47
E00082444,51.1,48.9
E00082445,47.5,52.5
E00082446,50.8,49.2
E00082447,51.3,48.7
E00082448,50.4,49.6
E00082449,50.5,49.5
E00082450,53.8,46.2
E00082451,48.4,51.6
E00082452,47,53
E00082479,52.5,47.5
E00082482,52.7,47.3
E00082485,51.9,48.1
E00082496,50.9,49.1
E00082497,53.5,46.5
E00082498,51.3,48.7
E00082499,48,52
E00082500,50.9,49.1
E00082501,50.8,49.2
E00082502,50.2,49.8
E00082519,50.2,49.8
