geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00130100,95,0,5,0
E00130101,95.2,0,4.5,0.3
E00130104,90.4,0,9.2,0.4
E00130107,89.7,0,10.3,0
E00130108,93.7,0.6,5.3,0.4
E00130109,84.4,0,15.6,0
E00130110,94.7,0.4,4.9,0
E00130111,93.6,0,6,0.4
E00130339,93.4,0.3,6.3,0
E00130340,93.9,0,5.7,0.4
E00131011,86.6,0,12.1,1.3
E00131013,92.9,0.7,6.4,0
E00131014,90.5,0.3,9.2,0
E00131015,89.8,0,10.2,0
E00131016,86.3,0,13.7,0
E00131017,96.6,0,3.4,0
E00131018,91.3,0,8.4,0.4
E00131019,92.9,0,6.3,0.8
E00131020,90,0.7,9.3,0
E00131021,90.3,0.3,9.1,0.3
E00131022,91.4,0,7.7,0.9
E00131023,84.5,0,15.5,0
E00131024,92.7,0,7.3,0
E00131103,88.6,0,10.9,0.4
E00131105,91.9,0,7.6,0.5
E00131107,92.7,0,7.3,0
E00131109,85.2,0.8,13.2,0.8
E00131111,89.5,0,10.1,0.4
E00131146,92.1,0.4,5.7,1.8
E00131151,92.7,0,6.9,0.4
E00131152,95.6,0,4.4,0
E00131153,95,0,5,0
E00131154,93.8,0.5,5.8,0
E00131155,90.8,0,9.2,0
E00131160,97.7,0,1.8,0.5
E00131262,89.1,1.1,9.8,0
E00131263,91.7,0.3,8,0
E00131264,89.6,0,10.4,0
E00131265,94.3,0.3,5.4,0
E00131267,94.6,0,5.4,0
E00131268,93.4,0.8,5.8,0
E00131269,94.2,0,3.3,2.5
E00131270,93.3,0,6.7,0
E00131272,92.3,0.4,7.3,0
E00131273,92.9,0,7.1,0
E00131274,93.2,0,5.5,1.3
E00131275,92.9,0,7.1,0
E00131276,91.4,0,8.6,0
E00131277,92.5,0,6.9,0.6
E00131278,94.8,0,5.2,0
E00131279,94.9,0,4.7,0.4
E00131280,90.7,0.5,8.6,0.2
E00131281,92.6,0,7.1,0.3
E00131283,91.3,0.8,7.4,0.5
E00131284,90.1,0,9.9,0
E00131285,96.9,0,3.1,0
E00131286,89.2,0.2,10.6,0
E00131287,92.7,0.4,6.9,0
E00131288,90.4,0,8.1,1.5
E00131289,97.7,0,2.3,0
E00131290,94.4,0,4.6,0.9
E00131292,89.7,0,10.3,0
E00131293,85.3,0.8,14,0
E00131294,93.6,0,6.4,0
E00131295,94.4,0.4,4.9,0.4
E00131296,91.6,0,8.1,0.3
E00131297,89.1,0.2,10.6,0.2
E00131298,96.6,0,3.4,0
E00131299,89.1,0,10.5,0.3
E00131300,93.1,0,6.9,0
E00131301,92.2,0,7.8,0
E00131302,91.6,0,8.4,0
E00131303,96.5,0,3.5,0
E00131304,91.4,0.7,7.9,0
E00131305,92.4,0,6.5,1
E00131306,98,0.7,1.4,0
E00131308,92.8,0.6,5.4,1.2
E00131309,93.3,0.3,6.4,0
E00131311,94,0,6,0
E00131312,94.2,0.2,5.6,0
E00131313,97.1,0,2.9,0
E00131314,92.2,0.8,6.2,0.8
E00131315,92,0,8,0
E00131316,93.8,0.4,5.8,0
E00131317,93.2,0,6.4,0.4
E00131318,83.8,0,16.2,0
E00131319,87.2,0,12.4,0.4
E00131320,92.7,0,7.3,0
E00131321,90.1,0,9.9,0
E00131322,94.7,0,4.7,0.7
E00131324,93.9,0.3,5.8,0
E00131325,92.8,0.6,5.9,0.6
E00131326,90.5,0,9.4,0.2
E00131327,91.2,0,7.4,1.4
E00131631,89.2,0.7,10.1,0
E00131632,95.8,0,4.2,0
E00131640,96.8,0,3.2,0
E00131641,87.2,0,11.6,1.2
E00131642,94.1,0,5.1,0.7
E00131643,98,0,2,0
E00131644,91,0.3,8.4,0.3
E00131645,93.6,0.2,6.2,0
E00131646,88.1,0,10.8,1
E00131647,91.2,0,8.8,0
E00131649,94.7,0,5.3,0
E00131651,91.6,0,8.2,0.2
E00131652,94.1,0,5.9,0
E00131653,88,0,12,0
E00131654,93.2,0.7,6.2,0
E00131655,93.7,0.4,6,0
E00170677,92,0,7.8,0.2
E00170678,88.9,0,10.6,0.6
E00170679,96.6,0,3.2,0.2
E00170680,90.5,0,9.5,0
E00170684,90.1,0.5,9,0.5
E00170703,90.6,0.3,9.1,0
E00170710,96.9,0,3.1,0
E00187342,91.7,0,8.3,0
E00187353,97.4,0.4,2.3,0
E00187354,89.5,0,9.6,0.9
E00187383,86.5,0.3,13.2,0
E00187387,95.4,0,4,0.6
E00187420,92.5,0.3,7.1,0
E00187462,86.1,0,11.5,2.4
E00187467,92.5,0,7.5,0
E00187470,78.9,0,21.1,0
E00187486,95.3,0.2,4.4,0
E00187487,93,0.2,6.7,0
E00187493,89.4,0,10.3,0.3
