areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00073344,71.9,16.9,11.2
E00073348,72.7,16.6,10.7
E00073598,71.7,21.1,7.2
E00073599,76.5,14.4,9.1
E00073600,81,12.8,6.3
E00073601,72.8,17.2,10
E00073602,78.7,14.8,6.5
E00073604,76.8,13.1,10.1
E00073606,83,9.3,7.8
E00073614,73.6,15.2,11.2
E00073615,81.2,9.6,9.1
E00073616,79,13.3,7.7
E00073620,88.1,6.9,5
E00073622,81.5,10.2,8.3
E00073624,71.6,10.7,17.6
E00073625,81.7,10.7,7.6
E00073626,83.6,2.6,13.8
E00073627,79,12.5,8.5
E00073629,81.8,10,8.2
E00073630,63.4,26.5,10.1
E00073631,86.2,9.9,3.9
E00073632,83.3,8.3,8.3
E00073633,72.3,12.9,14.8
E00073634,77,11.7,11.3
E00073635,82.9,10.9,6.2
E00073672,78.6,13.6,7.8
E00073673,67.8,14.9,17.4
E00073674,75.5,7.7,16.9
E00073675,92.6,3.1,4.3
E00073676,82.4,11.4,6.2
E00073677,74.6,5.5,19.9
E00073678,59.1,24.5,16.4
E00073679,68.2,11.8,20
E00073680,55.9,15.2,29
E00073681,80.1,13,7
E00073682,76.7,9.4,13.9
E00073683,74.5,7.3,18.2
E00073684,73.7,16.4,9.9
E00073685,77.9,12.1,10
E00073688,72.7,10.8,16.5
E00073689,75.8,11.5,12.7
E00073690,79,11,9.9
E00073691,83.2,7.1,9.7
E00073692,76.3,9.8,13.9
E00073693,67.9,18.8,13.3
E00073695,86.5,5.5,8
E00073696,79.4,10.9,9.7
E00073697,72.2,18.1,9.6
E00073698,66.6,17,16.4
E00073699,67,17.1,15.9
E00073700,72.5,9.5,17.9
E00073701,81,8.9,10.1
E00073702,77.3,9.8,12.9
E00073703,73.8,11.3,14.8
E00073704,85.5,6,8.5
E00073705,84.6,5.1,10.2
E00073706,70,13.2,16.8
E00073707,77.9,14.5,7.6
E00073708,78.5,9.6,11.9
E00073852,73.7,9.4,16.9
E00073853,84.3,8,7.7
E00073854,81.9,8.6,9.5
E00073855,72.6,15.3,12.1
E00073856,72.4,11.8,15.8
E00073857,77.1,12.7,10.2
E00073858,78,6.7,15.3
E00073859,71.9,18.4,9.7
E00073860,68,10.1,21.9
E00073861,62.7,21.3,16
E00073862,73.2,13.9,13
E00073864,74,13.1,12.9
E00073865,85.7,2.1,12.2
E00073866,82.4,8.3,9.2
E00073867,81.9,10.4,7.8
E00073868,81.3,8.2,10.5
E00073869,77.2,7.8,15
